time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
120.0,-4542.276806533758,-4542.276806533758,0.0,301.15,9.702365782252862,47.55467250331393,3.076502719536198e-11,-6.42921804683283e-09,1.4154174922992e-12
240.0,-3309.4345774990197,-3309.4345774990197,0.0,292.4846789967643,13.126624476921107,40.70524596653901,4.0861419912581104e-11,1.2551286090456415e-06,3.7925771900109826e-10
360.0,-2502.8122245345166,-2502.8122245345166,0.0,286.15867678145327,15.146492547632535,36.00326110869239,4.183240955088114e-11,2.7926662369281985e-06,1.1158113299720639e-09
480.0,-1953.5767559703054,-1953.5767559703054,0.0,281.3617577209302,16.35955038659512,32.63935670107771,4.285063942262585e-11,1.7676052266324405e-06,9.003941555349842e-10
600.0,-1530.390800659873,-1530.390800659873,0.0,277.6065391193476,17.314971330845797,30.068228013533833,3.658999589184416e-11,1.2626912848645588e-06,6.077068897668991e-10
720.0,-1201.267509347983,-1201.267509347983,0.0,274.6561756043865,18.051853932618158,28.062416531475204,4.574077573062022e-11,2.5148626718873857e-06,1.1609438571030662e-09
840.0,-943.6440181736317,-943.6440181736317,0.0,272.33364127552386,18.581570301910325,26.44527045269518,3.9828749088471433e-11,-7.944913704704959e-08,3.5630796068439933e-11
960.0,-728.9412643036467,-728.9412643036467,0.0,270.50406975523254,19.039911748419613,25.114422278698207,3.519569651194804e-11,-6.702152859361377e-07,2.933378818452105e-10
1080.0,-549.2094067382793,-549.2094067382793,0.0,269.08701947690065,19.430307899261983,24.007052941042293,4.332902978601931e-11,-1.7246421748495777e-06,7.396701173372745e-10
1200.0,-405.391687372257,-405.391687372257,0.0,268.01671772235426,19.706777086816754,23.085041146205914,4.105525799867975e-11,-2.455578282933857e-07,1.038381480017419e-10
1320.0,-280.99160506740907,-280.99160506740907,0.0,267.2248327778839,19.962722714905148,22.304319421248888,4.166184534070908e-11,-3.0616024560004007e-07,1.2780498013406669e-10
1440.0,-183.41772139771,-183.41772139771,0.0,266.67485797341726,20.114718123427455,21.64319913097669,3.0014161075862285e-11,-4.918017850741307e-07,2.0374872686770468e-10
1560.0,-103.37055785226924,-103.37055785226924,0.0,266.3152691486893,20.210345982841645,21.0717672919521,2.801654613992524e-11,-7.590146964275846e-07,3.129645813881578e-10
1680.0,-36.69213212992001,-36.69213212992001,0.0,266.11250027052466,20.270566249108207,20.576334007944247,2.8488778736388696e-11,-1.06959514312166e-06,4.397160271602823e-10
1800.0,33.37016682166541,33.37016682166541,0.0,266.0409267361206,20.423024527943305,20.1449397917452,3.430186402617293e-11,-1.522106970242021e-06,6.210747450585471e-10
1920.0,73.1741705911337,73.1741705911337,0.0,266.10799133052296,20.401859493518266,19.7920747250807,3.539161252287316e-11,-1.6213743663229252e-06,6.622657634214016e-10
2040.0,116.1821232085391,116.1821232085391,0.0,266.25410177939364,20.440770831724176,19.472586456102245,3.7918794072475334e-11,-1.866092603108882e-06,7.607722732471098e-10
2160.0,142.39718422630676,142.39718422630676,0.0,266.48609664718526,20.388081759204056,19.20143854103583,3.8903291757398786e-11,-1.953880229166316e-06,7.986202642974044e-10
2280.0,171.50340109192024,171.50340109192024,0.0,266.7707948162306,20.38282817741958,18.95363315075038,3.897734265594618e-11,-2.1083835690660635e-06,8.619933859332977e-10
2400.0,195.40544787474198,195.40544787474198,0.0,267.1142744207643,20.377722352592528,18.749343600376854,4.256085867148836e-11,-2.391138934854098e-06,9.778402829163946e-10
2520.0,215.28574536586268,215.28574536586268,0.0,267.5063527614687,20.363840466700303,18.56979256977385,3.8162410293817903e-11,-2.2653117923709942e-06,9.270156236308974e-10
2640.0,228.29481212916633,228.29481212916633,0.0,267.93915752263155,20.317418441250965,18.414961654139745,3.6010116081610185e-11,-2.324180030655043e-06,9.53278930496489e-10
2760.0,227.67949001472675,227.67949001472675,0.0,268.3990089220907,20.17583027457275,18.27850117106296,4.0807996510901144e-11,-2.4064480612651096e-06,9.939483813535689e-10
2880.0,239.95892736721987,239.95892736721987,0.0,268.8584885339668,20.143247315295586,18.143589567024566,3.94261351822782e-11,-2.425302454867051e-06,1.003356284823641e-09
3000.0,233.89848438146936,233.89848438146936,0.0,269.3437529726598,19.981443565989622,18.032289509376657,4.2045382727309025e-11,-2.4120864452470414e-06,1.0059693790728953e-09
3120.0,248.13991641500328,248.13991641500328,0.0,269.81766532741534,19.982711087035163,17.914878428740916,4.3296828330891644e-11,-2.5803063294915773e-06,1.0760578307972466e-09
3240.0,245.30391352598076,245.30391352598076,0.0,270.3215106894879,19.866682528866527,17.82248323157326,2.894962385885882e-11,-2.1492114115062577e-06,9.015141340212137e-10
3360.0,238.88251074870342,238.88251074870342,0.0,270.8205703747155,19.72591925031037,17.735231641889442,3.4842825754809755e-11,-2.2618078503455763e-06,9.555143420037696e-10
3480.0,231.27149765530908,231.27149765530908,0.0,271.3075131869631,19.574703323928283,17.647440825863548,3.327896665055672e-11,-2.1124591285115457e-06,8.993150894609209e-10
3600.0,239.2897856077663,239.2897856077663,0.0,271.77986751402227,19.55556426966476,17.561482705105114,2.945634608334927e-11,-2.1393912845724117e-06,9.11672016154803e-10
3720.0,232.35392775185176,232.35392775185176,0.0,272.2696397636757,19.42650096347142,17.490218213602276,3.592848219953341e-11,-2.2324454107547353e-06,9.57646041933692e-10
3840.0,229.04725920291733,229.04725920291733,0.0,272.74614206930846,19.32666754898791,17.41794037062032,3.606730492529096e-11,-2.2011932401255763e-06,9.491174282659538e-10
3960.0,222.46457907548717,222.46457907548717,0.0,273.21680366412625,19.202407506154458,17.34853599644811,3.4844433528716735e-11,-2.089274602212754e-06,9.066895221094596e-10
4080.0,207.05144916328265,207.05144916328265,0.0,273.67483524622384,19.0089622044991,17.283533444746887,3.8096077046015133e-11,-2.0069828110536037e-06,8.798406024933618e-10
4200.0,207.83863993696872,207.83863993696872,0.0,274.1019329335626,18.933463623507993,17.20147494143121,3.348493340137871e-11,-1.91224512491317e-06,8.41651393417396e-10
4320.0,214.78014344295227,214.78014344295227,0.0,274.5315503743781,18.924677386082795,17.13484284113057,2.8623809645162532e-11,-1.9513146867211617e-06,8.592461256240305e-10
4440.0,191.65054922913873,191.65054922913873,0.0,274.97645177236313,18.680433116807155,17.08334519148662,3.5018862231035495e-11,-1.8093252549533645e-06,8.07139232996637e-10
4560.0,193.2669376975195,193.2669376975195,0.0,275.37413248113165,18.614111047553912,17.003553218114845,3.3693145514624507e-11,-1.8351685184825328e-06,8.215848153202089e-10
4680.0,192.88436337590903,192.88436337590903,0.0,275.7760078166403,18.54628240882357,16.938912698845336,3.4057288299311287e-11,-1.8214789179182844e-06,8.18438469125803e-10
4800.0,188.0007114961855,188.0007114961855,0.0,276.17789996861995,18.451995357519085,16.885322746544816,3.415974931406864e-11,-1.8207267942216276e-06,8.222808965208974e-10
4920.0,184.60998542371453,184.60998542371453,0.0,276.5703833841893,18.364776843970468,16.8263602838155,3.41659398619827e-11,-1.7948815695945086e-06,8.144583808650185e-10
5040.0,163.08617620861537,163.08617620861537,0.0,276.95654656580984,18.127864190948344,16.768812708333936,3.0963920476684926e-11,-1.7051135898782377e-06,7.838364059869225e-10
5160.0,173.95027957116721,173.95027957116721,0.0,277.29827399409436,18.14319759175564,16.69361191418458,3.499454233033746e-11,-1.7373601508552383e-06,7.979850951800174e-10
5280.0,156.2453844548828,156.2453844548828,0.0,277.66357499574076,17.94482624057995,16.642781355943367,3.284065267251338e-11,-1.7015071591686137e-06,7.901567915068797e-10
5400.0,152.92736063473464,152.92736063473464,0.0,277.9922657286892,17.84639970450748,16.572005020264946,3.325976491694887e-11,-1.4743694123353634e-06,6.884532439536346e-10
5520.0,155.30091468064077,155.30091468064077,0.0,278.31462065747667,17.794350737014916,16.500176434392838,3.8845363373413115e-11,-1.6340086403943133e-06,7.652281823145001e-10
5640.0,146.99426567821757,146.99426567821757,0.0,278.64265311967756,17.669158916337764,16.44420669032876,3.2730394012147794e-11,-1.4428630663587683e-06,6.804997874123608e-10
5760.0,144.2651523014382,144.2651523014382,0.0,278.95371846270336,17.58128255315482,16.379072938624425,3.4195359508026226e-11,-1.4422093386201595e-06,6.835912635401783e-10
5880.0,135.5150965207099,135.5150965207099,0.0,279.25960771459887,17.44476390952358,16.315471425828235,3.1745779554941475e-11,-1.5227314520416257e-06,7.27406162263167e-10
6000.0,147.65540009490257,147.65540009490257,0.0,279.54747701723204,17.47877890818977,16.248317227808794,3.4888542741359474e-11,-1.5508146020692948e-06,7.393797407202613e-10
6120.0,128.29689540549575,128.29689540549575,0.0,279.86182689541107,17.27212338213591,16.202982575011056,2.753335625802102e-11,-1.4494866320546862e-06,6.993381763133667e-10
6240.0,136.03332247474037,136.03332247474037,0.0,280.13540537836326,17.265229851601436,16.13161881876746,3.8002791929508735e-11,-1.4653367088612868e-06,7.072676903503882e-10
6360.0,124.01286572502056,124.01286572502056,0.0,280.4261050157303,17.115859696969984,16.0824191373867,2.934466201080518e-11,-1.424973447683442e-06,6.937880387508399e-10
6480.0,114.42349985159834,114.42349985159834,0.0,280.6915759515839,16.971453309988583,16.01792413233008,2.538353882636997e-11,-1.467421981260486e-06,7.205344343319692e-10
6600.0,119.92898821569882,119.92898821569882,0.0,280.936959352572,16.946318093019027,15.94690984683082,3.301780414376151e-11,-1.3268859646586861e-06,6.524947176211352e-10
6720.0,113.6564785699876,113.6564785699876,0.0,281.1946982451586,16.83171977230082,15.884582439770416,2.963591211304136e-11,-1.3336607480596285e-06,6.602913854027622e-10
6840.0,108.59916981426218,108.59916981426218,0.0,281.4394026995695,16.726179895655875,15.821186801823327,2.757617396220421e-11,-1.4456435906140541e-06,7.202499313613529e-10
6960.0,117.93367337631618,117.93367337631618,0.0,281.6736554250481,16.736282845190594,15.753502222692727,3.7258268046965445e-11,-1.3234278100071606e-06,6.589614423588819e-10
7080.0,106.77123359841232,106.77123359841232,0.0,281.9285960225306,16.592814274597803,15.703053982316273,2.7065467058180825e-11,-1.4753712207493663e-06,7.409689501396774e-10
7200.0,107.12118690184836,107.12118690184836,0.0,282.1597935650828,16.53611328718451,15.64343671886989,3.1013158112890416e-11,-1.2959060455841609e-06,6.530686418860029e-10
7320.0,94.5788711781847,94.5788711781847,0.0,282.3922050522953,16.372582041400694,15.58442476767013,3.663064239783576e-11,-1.6694829270136324e-06,8.497351053080071e-10
7440.0,93.5372539885218,93.5372539885218,0.0,282.5977367629739,16.29133465348812,15.511857523889958,2.490054859969724e-11,-1.5632577969881822e-06,7.996366525713485e-10
7560.0,98.17304534981042,98.17304534981042,0.0,282.80140417873906,16.26224107214679,15.444132350683008,3.153092069308762e-11,-1.2258433770284682e-06,6.281644350195762e-10
7680.0,91.33957538608271,91.33957538608271,0.0,283.01561224644564,16.1452325344191,15.384069392867852,2.526172222165177e-11,-1.6000671365645758e-06,8.258718340710815e-10
7800.0,90.90794974444015,90.90794974444015,0.0,283.2152550427291,16.082881715972658,15.3253154574085,2.614046858377032e-11,-1.283258740158999e-06,6.649195724692666e-10
7920.0,97.19489834441863,97.19489834441863,0.0,283.4143401873,16.07308054638875,15.263123050609982,3.1584160416423555e-11,-1.149033323599724e-06,5.957338214680765e-10
