time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
120.0,fixed-domain-moisture,650.0,-1.832094457835549e-05,1.832094457835549e-05,-1.832094457981665e-05,1.4611623271997692e-15,1.611604728173998e-11
240.0,fixed-domain-moisture,650.0,-1.60844150945745e-05,1.60844150945745e-05,-1.6084415096073125e-05,1.4986249003909324e-15,9.349335547718191e-12
360.0,fixed-domain-moisture,650.0,-1.4485453882155997e-05,1.4485453882155997e-05,-1.4485453893329522e-05,1.117352500942196e-14,1.6960552772189158e-11
480.0,fixed-domain-moisture,650.0,-1.3267941416366808e-05,1.3267941416366808e-05,-1.3267941431729413e-05,1.536260437709925e-14,4.670607007763013e-11
600.0,fixed-domain-moisture,650.0,-1.2317309038509844e-05,1.2317309038509844e-05,-1.231730905136459e-05,1.2854746496318396e-14,2.97922768017077e-11
720.0,fixed-domain-moisture,650.0,-1.155654857425231e-05,1.155654857425231e-05,-1.1556548572451559e-05,-1.8007513882811743e-15,8.079782982744948e-12
840.0,fixed-domain-moisture,650.0,-1.0929156472431103e-05,1.0929156472431103e-05,-1.0929156485646117e-05,1.3215013325708173e-14,2.9372585691440136e-11
960.0,fixed-domain-moisture,650.0,-1.0411888229608743e-05,1.0411888229608743e-05,-1.0411888237637953e-05,8.029209960206014e-15,1.5880898151956018e-11
1080.0,fixed-domain-moisture,650.0,-9.9788368731332e-06,9.9788368731332e-06,-9.978836902532291e-06,2.939909058384538e-14,3.4501750146333975e-11
1200.0,fixed-domain-moisture,650.0,-9.61154945882582e-06,9.61154945882582e-06,-9.6115494695012e-06,1.0675379850944022e-14,1.6301762731656704e-11
1320.0,fixed-domain-moisture,650.0,-9.303095564639304e-06,9.303095564639304e-06,-9.303095566804167e-06,2.164863747251486e-15,3.8376504631023104e-11
