time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
30.0,fixed-domain-moisture,650.0,-2.0060301892756363e-05,2.0060301892756363e-05,-2.006030190189263e-05,9.136266775674334e-15,2.905453452438928e-12
60.0,fixed-domain-moisture,650.0,-1.9123746576337464e-05,1.9123746576337464e-05,-1.912374658455692e-05,8.219455254225225e-15,2.0269707166097433e-12
90.0,fixed-domain-moisture,650.0,-1.8330982602999914e-05,1.8330982602999914e-05,-1.8330982608313332e-05,5.313417349335492e-15,1.3598450121745033e-12
120.0,fixed-domain-moisture,650.0,-1.7638251268910094e-05,1.7638251268910094e-05,-1.7638251272052752e-05,3.142658252771116e-15,9.216009056598884e-13
150.0,fixed-domain-moisture,650.0,-1.7021264005657584e-05,1.7021264005657584e-05,-1.7021264042034888e-05,3.637730375716415e-14,7.684900828274592e-12
180.0,fixed-domain-moisture,650.0,-1.646547021247444e-05,1.646547021247444e-05,-1.6465470241044867e-05,2.857042808715113e-14,5.678088064108705e-12
210.0,fixed-domain-moisture,650.0,-1.595974863583547e-05,1.595974863583547e-05,-1.5959748658452612e-05,2.2617141720669004e-14,4.368047443634639e-12
240.0,fixed-domain-moisture,650.0,-1.549703259639356e-05,1.549703259639356e-05,-1.549703261453341e-05,1.8139850922358966e-14,3.4700899483009805e-12
270.0,fixed-domain-moisture,650.0,-1.507484066320718e-05,1.507484066320718e-05,-1.5074840677593331e-05,1.438615157176807e-14,2.7611286138863385e-12
300.0,fixed-domain-moisture,650.0,-1.4686751688929452e-05,1.4686751688929452e-05,-1.4686751700431067e-05,1.150161475121144e-14,2.2276893909050177e-12
330.0,fixed-domain-moisture,650.0,-1.4326054386265661e-05,1.4326054386265661e-05,-1.4326054395641128e-05,9.375467185913054e-15,1.839497275069937e-12
360.0,fixed-domain-moisture,650.0,-1.3990451180444867e-05,1.3990451180444867e-05,-1.3990451188108542e-05,7.663674585884316e-15,1.521066005891838e-12
390.0,fixed-domain-moisture,650.0,-1.3677768903409264e-05,1.3677768903409264e-05,-1.3677768909648578e-05,6.239314146176851e-15,1.2544348373253996e-12
420.0,fixed-domain-moisture,650.0,-1.338559268508405e-05,1.338559268508405e-05,-1.3385592690231825e-05,5.14777497430223e-15,1.0528736486265563e-12
450.0,fixed-domain-moisture,650.0,-1.3110168379567582e-05,1.3110168379567582e-05,-1.3110168383897083e-05,4.329500489673108e-15,9.001473216053788e-13
480.0,fixed-domain-moisture,650.0,-1.2850623223727668e-05,1.2850623223727668e-05,-1.2850623227351825e-05,3.624157519769612e-15,7.646077634864557e-13
510.0,fixed-domain-moisture,650.0,-1.260776991979093e-05,1.260776991979093e-05,-1.260776992280409e-05,3.0131604676630896e-15,6.436805740730515e-13
