time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
300.0,-9063.552088648285,-9063.552088648285,0.0,301.15,13.62198071848615,43.83382101655999,2.957351496700132e-11,7.738672138657421e-07,8.538233203679361e-11
600.0,-4373.537631249479,-4373.537631249479,0.0,283.78168987157295,16.609218366545292,31.187677138306572,4.463049494952111e-11,2.789047357509844e-07,5.5973883417408204e-11
900.0,-2420.0919623831055,-2420.0919623831055,0.0,275.35405681836676,18.11743420132283,26.18440742008502,3.958243473925827e-11,3.2455513974127825e-06,5.971322725848621e-10
1200.0,-1280.3784357695406,-1280.3784357695406,0.0,270.66215137463496,19.083960325791065,23.351888453469716,3.1452816876667955e-11,2.534054829084198e-06,4.426151221277244e-10
1500.0,-595.37452828261,-595.37452828261,0.0,268.1653975849375,19.560909703373056,21.54549145679357,3.6855293153412625e-11,-2.2564557866644464e-06,3.845178676728152e-10
1800.0,-105.82127678755414,-105.82127678755414,0.0,266.9983693228089,19.918318371239778,20.27105595031669,4.152703214832712e-11,-3.0644805235624517e-06,5.128412393132009e-10
2100.0,163.74675751126622,163.74675751126622,0.0,266.7914254653729,19.96294146356003,19.417118929606357,3.7926023508079474e-11,-2.6748353150196635e-06,4.4663346496344354e-10
2400.0,365.7760569210826,365.7760569210826,0.0,267.11834906064917,19.98352655249135,18.764273024350793,1.976310402135705e-11,-1.5210850961011602e-06,2.5372316744756045e-10
2700.0,485.20156323210233,485.20156323210233,0.0,267.8504335005227,19.928181139014093,18.31084258674016,3.4053446289978193e-11,-2.4500771473867644e-06,4.098178236966081e-10
3000.0,511.2274184776162,511.2274184776162,0.0,268.82606148608244,19.681371100563332,17.977279696713307,3.8135359432155205e-11,-2.677391421457287e-06,4.534561147149369e-10
3300.0,565.1603820142475,565.1603820142475,0.0,269.8590157139815,19.553055532390132,17.669187579727748,4.963883020733246e-11,-3.7844679354748223e-06,6.451622406202712e-10
3600.0,549.7217889886431,549.7217889886431,0.0,271.006772624374,19.301174784057018,17.468768810777227,4.6936360260892624e-11,-2.9952941531519173e-06,5.17290473535677e-10
3900.0,530.644507739314,530.644507739314,0.0,272.12870072446907,19.032909357250563,17.264094321297453,4.2779704891284044e-11,-3.046619212909718e-06,5.335704166792052e-10
4200.0,494.9840885387117,494.9840885387117,0.0,273.21709616183296,18.72720944167454,17.077262470330368,3.450688200926428e-11,-2.8645396241699927e-06,5.098712354148892e-10
4500.0,476.4741181978437,476.4741181978437,0.0,274.2373623406563,18.477428423066872,16.889181352612393,3.382289266413168e-11,-2.938499847005005e-06,5.30106206650964e-10
4800.0,464.4114726352185,464.4114726352185,0.0,275.22437320482294,18.268844709527016,16.72080645712575,3.584927897851048e-11,-3.0851613246341003e-06,5.629185230717262e-10
5100.0,406.7275157322731,406.7275157322731,0.0,276.19117114019565,17.927044796158874,16.57128640002944,4.0293744697954696e-11,-3.106557358023565e-06,5.776295709168213e-10
