time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
300.0,fixed-domain-moisture,650.0,-1.4470002951407523e-05,1.4470002951407523e-05,-1.4470002951401656e-05,-5.866550192683284e-18,6.517062501203353e-13
600.0,fixed-domain-moisture,650.0,-1.1982268278637547e-05,1.1982268278637547e-05,-1.1982268276484176e-05,-2.1533712042231395e-15,5.975227067651153e-12
900.0,fixed-domain-moisture,650.0,-1.0566349456554822e-05,1.0566349456554822e-05,-1.0566349441012486e-05,-1.554233629817714e-14,2.7859672479866423e-11
1200.0,fixed-domain-moisture,650.0,-9.654343610266226e-06,9.654343610266226e-06,-9.65434361112835e-06,8.62123686242583e-16,5.366788928492166e-12
1500.0,fixed-domain-moisture,650.0,-9.00685401388422e-06,9.00685401388422e-06,-9.006854035703529e-06,2.1819309529188917e-14,4.6936262349280066e-11
1800.0,fixed-domain-moisture,650.0,-8.561556227650358e-06,8.561556227650358e-06,-8.561556235079946e-06,7.429588560581117e-15,2.1065688860183216e-11
2100.0,fixed-domain-moisture,650.0,-8.217537602921676e-06,8.217537602921676e-06,-8.217537603528461e-06,6.067856042927741e-16,1.0779791276703922e-12
2400.0,fixed-domain-moisture,650.0,-7.971329582638713e-06,7.971329582638713e-06,-7.97132958458869e-06,1.9499765707307534e-15,2.8815046875455314e-12
2700.0,fixed-domain-moisture,650.0,-7.786683447054477e-06,7.786683447054477e-06,-7.786683450831497e-06,3.777019861694701e-15,5.49096827887686e-12
3000.0,fixed-domain-moisture,650.0,-7.624690317363455e-06,7.624690317363455e-06,-7.624690322290154e-06,4.9266993750688576e-15,7.263010754852635e-12
3300.0,fixed-domain-moisture,650.0,-7.50709318258738e-06,7.50709318258738e-06,-7.507093190647541e-06,8.060161391131634e-15,1.2076552573536176e-11
3600.0,fixed-domain-moisture,650.0,-7.401784183872595e-06,7.401784183872595e-06,-7.401784189919185e-06,6.046590433753975e-15,1.1579444448045197e-11
