time_s,proxy_scale,L_v_J_per_kg,j_w_outer_max_kg_m2_s,raw_boundary_loss_rate_kg_s,proxy_boundary_loss_rate_kg_s,latent_power_W,boundary_latent_heat_flux_max_W_m2,component_mode,bound_fraction,release_tau_s,free_flux_factor,total_water_kg,bound_water_kg,liquid_water_kg,phase_split_residual_kg,moisture_predictor_relative_residual,source_definition
300.0,1.0,2400000.0,0.001102426318070006,1.8648535865743846e-05,1.8648535865743846e-05,44.75648607778523,2645.8231633680143,liquid_surface,0.0,0.0,1.0,0.25476493040628406,0.0,0.25476493040628406,0.0,4.154342482341606e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
600.0,1.0,2400000.0,0.0008155705693710164,1.3593853240340446e-05,1.3593853240340446e-05,32.62524777681707,1957.3693664904395,liquid_surface,0.0,0.0,1.0,0.2515530090789141,0.0,0.2515530090789141,0.0,4.8622105558365735e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
900.0,1.0,2400000.0,0.0006795633265984098,1.12850896447767e-05,1.12850896447767e-05,27.084215147464082,1630.9519838361834,liquid_surface,0.0,0.0,1.0,0.2484203378532747,0.0,0.2484203378532747,0.0,2.8928318693169025e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1200.0,1.0,2400000.0,0.0006010635479896202,9.985213146716999e-06,9.985213146716999e-06,23.964511552120797,1442.5525151750885,liquid_surface,0.0,0.0,1.0,0.24550185753384568,0.0,0.24550185753384568,0.0,4.035236345873681e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1500.0,1.0,2400000.0,0.0005507402821098079,9.169371424933073e-06,9.169371424933073e-06,22.006491419839374,1321.776677063539,liquid_surface,0.0,0.0,1.0,0.24276260355717344,0.0,0.24276260355717344,0.0,3.8379636368984996e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1800.0,1.0,2400000.0,0.0005155784232770095,8.60644853542618e-06,8.60644853542618e-06,20.65547648502283,1237.3882158648228,liquid_surface,0.0,0.0,1.0,0.24016787723049582,0.0,0.24016787723049582,0.0,3.132704755713992e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2100.0,1.0,2400000.0,0.0004918401798146122,8.231727199546309e-06,8.231727199546309e-06,19.75614527891114,1180.4164315550693,liquid_surface,0.0,0.0,1.0,0.23766573193175627,0.0,0.23766573193175627,0.0,4.085434581663488e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2400.0,1.0,2400000.0,0.00047785540724384944,7.949381554721215e-06,7.949381554721215e-06,19.078515731330917,1146.8529773852385,liquid_surface,0.0,0.0,1.0,0.2352463512862575,0.0,0.2352463512862575,0.0,4.710407840135681e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2700.0,1.0,2400000.0,0.00047069957159087705,7.752059698659576e-06,7.752059698659576e-06,18.604943276782983,1129.6789718181049,liquid_surface,0.0,0.0,1.0,0.23288033609031603,0.0,0.23288033609031603,0.0,4.0273593100338747e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3000.0,1.0,2400000.0,0.0004649851718641802,7.606602088038429e-06,7.606602088038429e-06,18.25584501129223,1115.9644124740323,liquid_surface,0.0,0.0,1.0,0.23055719658529664,0.0,0.23055719658529664,0.0,3.606616908971306e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
