time_s,proxy_scale,L_v_J_per_kg,j_w_outer_max_kg_m2_s,raw_boundary_loss_rate_kg_s,proxy_boundary_loss_rate_kg_s,latent_power_W,boundary_latent_heat_flux_max_W_m2,component_mode,bound_fraction,release_tau_s,free_flux_factor,total_water_kg,bound_water_kg,liquid_water_kg,phase_split_residual_kg,moisture_predictor_relative_residual,source_definition
150.0,1.0,2400000.0,0.0011503342198488776,1.943400996629464e-05,1.943400996629464e-05,46.64162391910713,2760.8021276373065,liquid_surface,0.0,0.0,1.0,0.2574443896719291,0.0,0.2574443896719291,0.0,3.478096082373674e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
300.0,1.0,2400000.0,0.000960434700804824,1.6050762373129558e-05,1.6050762373129558e-05,38.52182969551094,2305.043281931578,liquid_surface,0.0,0.0,1.0,0.255342746964287,0.0,0.255342746964287,0.0,4.079881034907431e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
450.0,1.0,2400000.0,0.0008396812790531613,1.3946542307260984e-05,1.3946542307260984e-05,33.47170153742636,2015.2350697275872,liquid_surface,0.0,0.0,1.0,0.25340960824898634,0.0,0.25340960824898634,0.0,1.1249487806757988e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
600.0,1.0,2400000.0,0.0007563351725978566,1.253409118010391e-05,1.253409118010391e-05,30.081818832249386,1815.204414234856,liquid_surface,0.0,0.0,1.0,0.25161496104722,0.0,0.25161496104722,0.0,4.0834239711049366e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
750.0,1.0,2400000.0,0.0006948577889666877,1.1509134603419286e-05,1.1509134603419286e-05,27.621923048206288,1667.6586935200503,liquid_surface,0.0,0.0,1.0,0.24993812126814396,0.0,0.24993812126814396,0.0,8.48408787106654e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
900.0,1.0,2400000.0,0.0006475142388263614,1.0730580972214236e-05,1.0730580972214236e-05,25.753394333314166,1554.0341731832675,liquid_surface,0.0,0.0,1.0,0.24835722280804953,0.0,0.24835722280804953,0.0,1.7631098333029983e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1050.0,1.0,2400000.0,0.0006095573600565281,1.0112245545838291e-05,1.0112245545838291e-05,24.2693893100119,1462.9376641356675,liquid_surface,0.0,0.0,1.0,0.24685792833307327,0.0,0.24685792833307327,0.0,4.144017248118805e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1200.0,1.0,2400000.0,0.0005790853242681598,9.621021448370025e-06,9.621021448370025e-06,23.09045147608806,1389.8047782435833,liquid_surface,0.0,0.0,1.0,0.24542302736677588,0.0,0.24542302736677588,0.0,1.673160202983266e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1350.0,1.0,2400000.0,0.0005544234921986213,9.226736364613461e-06,9.226736364613461e-06,22.144167275072306,1330.6163812766913,liquid_surface,0.0,0.0,1.0,0.24404107907755318,0.0,0.24404107907755318,0.0,8.205299702456648e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1500.0,1.0,2400000.0,0.0005340891731414597,8.903472724189145e-06,8.903472724189145e-06,21.368334538053947,1281.8140155395033,liquid_surface,0.0,0.0,1.0,0.24270364506871853,0.0,0.24270364506871853,0.0,1.1227886938153048e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1650.0,1.0,2400000.0,0.0005165962428723044,8.625212261617115e-06,8.625212261617115e-06,20.700509427881077,1239.8309828935307,liquid_surface,0.0,0.0,1.0,0.24140669312901994,0.0,0.24140669312901994,0.0,1.3209234040563617e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1800.0,1.0,2400000.0,0.0005021655576469299,8.396721199343625e-06,8.396721199343625e-06,20.1521308784247,1205.1973383526317,liquid_surface,0.0,0.0,1.0,0.2401411743208513,0.0,0.2401411743208513,0.0,1.4492866918607073e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1950.0,1.0,2400000.0,0.0004905917954944888,8.214704839461086e-06,8.214704839461086e-06,19.715291614706608,1177.4203091867732,liquid_surface,0.0,0.0,1.0,0.23890001855909743,0.0,0.23890001855909743,0.0,1.793452907843448e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2100.0,1.0,2400000.0,0.0004804402338148578,8.053810595520052e-06,8.053810595520052e-06,19.329145429248126,1153.0565611556588,liquid_surface,0.0,0.0,1.0,0.2376835242347421,0.0,0.2376835242347421,0.0,2.078927591734071e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2250.0,1.0,2400000.0,0.00047175903125768614,7.915822941039344e-06,7.915822941039344e-06,18.997975058494426,1132.2216750184468,liquid_surface,0.0,0.0,1.0,0.23648700809884302,0.0,0.23648700809884302,0.0,2.2130971837966476e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2400.0,1.0,2400000.0,0.00046601293851153766,7.8044187561244e-06,7.8044187561244e-06,18.730605014698558,1118.4310524276905,liquid_surface,0.0,0.0,1.0,0.23530630783244527,0.0,0.23530630783244527,0.0,2.3020473137726638e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2550.0,1.0,2400000.0,0.0004622774067044561,7.706818636477897e-06,7.706818636477897e-06,18.49636472754695,1109.4657760906946,liquid_surface,0.0,0.0,1.0,0.23414018674837286,0.0,0.23414018674837286,0.0,2.524901621512017e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2700.0,1.0,2400000.0,0.0004592177663149086,7.624147243696617e-06,7.624147243696617e-06,18.29795338487188,1102.1226391557807,liquid_surface,0.0,0.0,1.0,0.2329864835114223,0.0,0.2329864835114223,0.0,3.035200052611669e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2850.0,1.0,2400000.0,0.0004566954388210288,7.553729005602586e-06,7.553729005602586e-06,18.128949613446206,1096.069053170469,liquid_surface,0.0,0.0,1.0,0.23184311161405757,0.0,0.23184311161405757,0.0,3.834589672239774e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3000.0,1.0,2400000.0,0.0004541850804785951,7.4869362939905835e-06,7.4869362939905835e-06,17.9686471055774,1090.0441931486282,liquid_surface,0.0,0.0,1.0,0.2307109243723809,0.0,0.2307109243723809,0.0,4.1607328944848994e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3150.0,1.0,2400000.0,0.0004516771386191116,7.423578940559246e-06,7.423578940559246e-06,17.81658945734219,1084.025132685868,liquid_surface,0.0,0.0,1.0,0.22958876200903877,0.0,0.22958876200903877,0.0,4.2818405045545156e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3300.0,1.0,2400000.0,0.0004499120300359877,7.375111728896266e-06,7.375111728896266e-06,17.70026814935104,1079.7888720863705,liquid_surface,0.0,0.0,1.0,0.22847295189541433,0.0,0.22847295189541433,0.0,1.0250335001981225e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3450.0,1.0,2400000.0,0.00044825521645928365,7.330788066989759e-06,7.330788066989759e-06,17.59389136077542,1075.8125195022808,liquid_surface,0.0,0.0,1.0,0.22736460483965096,0.0,0.22736460483965096,0.0,1.3056577203492248e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
