time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
150.0,fixed-domain-moisture,650.0,-1.7394198989948962e-05,1.7394198989948962e-05,-1.7394198991269785e-05,1.3208225203668877e-15,8.249012056288428e-12
300.0,fixed-domain-moisture,650.0,-1.4991811489966714e-05,1.4991811489966714e-05,-1.499181148126672e-05,-8.699993985861534e-15,9.233570239859206e-12
450.0,fixed-domain-moisture,650.0,-1.3376765788378865e-05,1.3376765788378865e-05,-1.3376765762957344e-05,-2.542152042529517e-14,4.708760357506731e-11
600.0,fixed-domain-moisture,650.0,-1.2203888446252982e-05,1.2203888446252982e-05,-1.2203888444326575e-05,-1.9264070319404553e-15,1.2744829278187414e-11
750.0,fixed-domain-moisture,650.0,-1.1317876699599419e-05,1.1317876699599419e-05,-1.1317876698792417e-05,-8.070021701670621e-16,3.5728603144162244e-12
900.0,fixed-domain-moisture,650.0,-1.0613631940389965e-05,1.0613631940389965e-05,-1.0613631954021026e-05,1.3631060662806435e-14,2.928641244114806e-11
1050.0,fixed-domain-moisture,650.0,-1.0057230528909191e-05,1.0057230528909191e-05,-1.0057230535611509e-05,6.702317601739102e-15,1.2856712142672529e-11
1200.0,fixed-domain-moisture,650.0,-9.607273676590362e-06,9.607273676590362e-06,-9.6072737053258e-06,2.873543857560574e-14,3.9334641349756616e-11
1350.0,fixed-domain-moisture,650.0,-9.23949036459988e-06,9.23949036459988e-06,-9.239490372069264e-06,7.469383862509019e-15,1.2574467596877555e-11
1500.0,fixed-domain-moisture,650.0,-8.92460672715077e-06,8.92460672715077e-06,-8.92460673100093e-06,3.8501594626242155e-15,9.867627626258754e-12
1650.0,fixed-domain-moisture,650.0,-8.665283116485965e-06,8.665283116485965e-06,-8.665283127199571e-06,1.0713606447853609e-14,1.6742955927745268e-11
1800.0,fixed-domain-moisture,650.0,-8.456388104187305e-06,8.456388104187305e-06,-8.456388134106508e-06,2.991920269477741e-14,3.2744166155002114e-11
1950.0,fixed-domain-moisture,650.0,-8.270856405874058e-06,8.270856405874058e-06,-8.27085644580138e-06,3.992732217712649e-14,4.2204498112378676e-11
2100.0,fixed-domain-moisture,650.0,-8.114761893069914e-06,8.114761893069914e-06,-8.11476189699775e-06,3.927835772019224e-15,7.184214122446136e-12
2250.0,fixed-domain-moisture,650.0,-7.982739292991955e-06,7.982739292991955e-06,-7.982739299299237e-06,6.307281763930431e-15,9.962184656255304e-12
2400.0,fixed-domain-moisture,650.0,-7.87174067865837e-06,7.87174067865837e-06,-7.871740686887312e-06,8.228942023234473e-15,1.1215857495648406e-11
2550.0,fixed-domain-moisture,650.0,-7.774026304609814e-06,7.774026304609814e-06,-7.774026314745929e-06,1.0136114631008677e-14,1.2912741249801523e-11
2700.0,fixed-domain-moisture,650.0,-7.692897553485174e-06,7.692897553485174e-06,-7.692897565789197e-06,1.2304022614672595e-14,1.4867807250617712e-11
2850.0,fixed-domain-moisture,650.0,-7.614707659963571e-06,7.614707659963571e-06,-7.6147076648697326e-06,4.9061613671967826e-15,5.350653763808532e-12
3000.0,fixed-domain-moisture,650.0,-7.544439781513562e-06,7.544439781513562e-06,-7.544439786631141e-06,5.117578249732614e-15,5.5453094774444056e-12
3150.0,fixed-domain-moisture,650.0,-7.487201305348665e-06,7.487201305348665e-06,-7.487201311621477e-06,6.272811758141917e-15,6.630804523184801e-12
3300.0,fixed-domain-moisture,650.0,-7.4333040349204975e-06,7.4333040349204975e-06,-7.433304041346227e-06,6.4257291572085776e-15,6.712289640267097e-12
3450.0,fixed-domain-moisture,650.0,-7.380471584440992e-06,7.380471584440992e-06,-7.380471590404331e-06,5.9633389535001385e-15,6.215752378347463e-12
3600.0,fixed-domain-moisture,650.0,-7.337431092246644e-06,7.337431092246644e-06,-7.337431098842443e-06,6.595798973457138e-15,6.778767487694338e-12
3750.0,fixed-domain-moisture,650.0,-7.292936582494728e-06,7.292936582494728e-06,-7.2929365890561995e-06,6.561471269203763e-15,6.652956376386314e-12
3900.0,fixed-domain-moisture,650.0,-7.25186316676815e-06,7.25186316676815e-06,-7.251863173117816e-06,6.3496655985451414e-15,6.386237420993141e-12
4050.0,fixed-domain-moisture,650.0,-7.208750025244997e-06,7.208750025244997e-06,-7.2087500310726e-06,5.827602770735584e-15,5.856271077156145e-12
4200.0,fixed-domain-moisture,650.0,-7.168639772411778e-06,7.168639772411778e-06,-7.168639778417462e-06,6.005684671632223e-15,5.9829853346985726e-12
4350.0,fixed-domain-moisture,650.0,-7.134115118988887e-06,7.134115118988887e-06,-7.134115125293198e-06,6.304310372351463e-15,6.186398083856814e-12
4500.0,fixed-domain-moisture,650.0,-7.096383329374661e-06,7.096383329374661e-06,-7.09638333499906e-06,5.6243995666892775e-15,5.601159007370518e-12
4650.0,fixed-domain-moisture,650.0,-7.063096404763251e-06,7.063096404763251e-06,-7.063096410722122e-06,5.958871701736319e-15,5.86179511301231e-12
4800.0,fixed-domain-moisture,650.0,-7.03067267118153e-06,7.03067267118153e-06,-7.030672676782473e-06,5.600942683280964e-15,5.60607548664695e-12
4950.0,fixed-domain-moisture,650.0,-6.9954401780626735e-06,6.9954401780626735e-06,-6.99544018298047e-06,4.917796211760268e-15,5.2865650372947244e-12
5100.0,fixed-domain-moisture,650.0,-6.957739260476218e-06,6.957739260476218e-06,-6.95773926459321e-06,4.116991781668265e-15,4.777329772070533e-12
5250.0,fixed-domain-moisture,650.0,-6.9254819205131364e-06,6.9254819205131364e-06,-6.925481924894697e-06,4.3815608286772514e-15,5.0715654057139655e-12
5400.0,fixed-domain-moisture,650.0,-6.891073321742339e-06,6.891073321742339e-06,-6.891073325563855e-06,3.821516196479864e-15,4.766248452026287e-12
5550.0,fixed-domain-moisture,650.0,-6.858273062685984e-06,6.858273062685984e-06,-6.858273066695396e-06,4.009411821103391e-15,5.053464986511237e-12
5700.0,fixed-domain-moisture,650.0,-6.828827846450829e-06,6.828827846450829e-06,-6.8288278503301774e-06,3.879348217986599e-15,5.113493693986759e-12
5850.0,fixed-domain-moisture,650.0,-6.791301737407503e-06,6.791301737407503e-06,-6.791301740273934e-06,2.866431491309069e-15,4.307072813990714e-12
6000.0,fixed-domain-moisture,650.0,-6.762868737202264e-06,6.762868737202264e-06,-6.762868741008182e-06,3.805917237723229e-15,5.45177647951829e-12
6150.0,fixed-domain-moisture,650.0,-6.7314145486039085e-06,6.7314145486039085e-06,-6.7314145515593894e-06,2.955480912086861e-15,4.694061359854321e-12
6300.0,fixed-domain-moisture,650.0,-6.699608988165725e-06,6.699608988165725e-06,-6.699608991100042e-06,2.934316946866765e-15,4.855234911568713e-12
6450.0,fixed-domain-moisture,650.0,-6.665612449992665e-06,6.665612449992665e-06,-6.665612452167169e-06,2.174503829224187e-15,3.925747898226629e-12
6600.0,fixed-domain-moisture,650.0,-6.63420153826947e-06,6.63420153826947e-06,-6.634201540822656e-06,2.55318600192022e-15,4.607271765988074e-12
6750.0,fixed-domain-moisture,650.0,-6.600625206618017e-06,6.600625206618017e-06,-6.600625209056751e-06,2.4387332160213243e-15,4.4734760445640996e-12
6900.0,fixed-domain-moisture,650.0,-6.571020908098123e-06,6.571020908098123e-06,-6.5710209108103625e-06,2.7122393076567906e-15,5.142934883588814e-12
7050.0,fixed-domain-moisture,650.0,-6.539265909719924e-06,6.539265909719924e-06,-6.5392659119792945e-06,2.2593706013084372e-15,4.293877649305971e-12
7200.0,fixed-domain-moisture,650.0,-6.508768590175225e-06,6.508768590175225e-06,-6.5087685924187534e-06,2.24352854409594e-15,4.36055568087703e-12
7350.0,fixed-domain-moisture,650.0,-6.473512360944031e-06,6.473512360944031e-06,-6.473512362911897e-06,1.9678659065767642e-15,3.749949112534866e-12
7500.0,fixed-domain-moisture,650.0,-6.441071815383565e-06,6.441071815383565e-06,-6.441071817639931e-06,2.256365328411579e-15,4.454483381922845e-12
7650.0,fixed-domain-moisture,650.0,-6.407316743814817e-06,6.407316743814817e-06,-6.407316747017292e-06,3.2024748724732675e-15,9.945379356702273e-12
7800.0,fixed-domain-moisture,650.0,-6.375675352675576e-06,6.375675352675576e-06,-6.375675354709367e-06,2.0337913278945137e-15,4.002136402950155e-12
7950.0,fixed-domain-moisture,650.0,-6.345564664210035e-06,6.345564664210035e-06,-6.34556466650029e-06,2.2902551166312235e-15,4.604404026084433e-12
8100.0,fixed-domain-moisture,650.0,-6.309220153077701e-06,6.309220153077701e-06,-6.309220188270168e-06,3.519246729428126e-14,4.924599607720559e-11
8250.0,fixed-domain-moisture,650.0,-6.2826391043891745e-06,6.2826391043891745e-06,-6.28263910683365e-06,2.4444752523707612e-15,5.112936574615616e-12
8400.0,fixed-domain-moisture,650.0,-6.250936130394289e-06,6.250936130394289e-06,-6.2509361326899786e-06,2.295689680020807e-15,4.474513062950745e-12
8550.0,fixed-domain-moisture,650.0,-6.224548388629424e-06,6.224548388629424e-06,-6.224548391083894e-06,2.4544693941154147e-15,4.994581965716531e-12
8700.0,fixed-domain-moisture,650.0,-6.191076004738854e-06,6.191076004738854e-06,-6.191076038112795e-06,3.337394091960195e-14,4.948871831654052e-11
8850.0,fixed-domain-moisture,650.0,-6.162367576063214e-06,6.162367576063214e-06,-6.162367578344915e-06,2.2817009308969023e-15,4.60178556123504e-12
9000.0,fixed-domain-moisture,650.0,-6.135215168680396e-06,6.135215168680396e-06,-6.135215171333768e-06,2.653371364855564e-15,5.539163527468183e-12
9150.0,fixed-domain-moisture,650.0,-6.103593939103485e-06,6.103593939103485e-06,-6.103593943386524e-06,4.283039038450315e-15,1.327086810180351e-11
9300.0,fixed-domain-moisture,650.0,-6.074745552255455e-06,6.074745552255455e-06,-6.074745554779605e-06,2.5241505595212897e-15,5.199476783049176e-12
9450.0,fixed-domain-moisture,650.0,-6.0482544268936035e-06,6.0482544268936035e-06,-6.048254429444878e-06,2.551274248558267e-15,5.0433511746240555e-12
9600.0,fixed-domain-moisture,650.0,-6.014642680163643e-06,6.014642680163643e-06,-6.0146427082626364e-06,2.8098993265631908e-14,4.6834150674417523e-11
9750.0,fixed-domain-moisture,650.0,-5.985725520238688e-06,5.985725520238688e-06,-5.9857255243483245e-06,4.109636147554309e-15,1.4229196912558415e-11
9900.0,fixed-domain-moisture,650.0,-5.958491154688249e-06,5.958491154688249e-06,-5.958491157151527e-06,2.4632785367668594e-15,5.0735826744220635e-12
10050.0,fixed-domain-moisture,650.0,-5.930484700560107e-06,5.930484700560107e-06,-5.930484703255498e-06,2.6953909753029553e-15,5.523081168751346e-12
10200.0,fixed-domain-moisture,650.0,-5.900901342612352e-06,5.900901342612352e-06,-5.90090134760223e-06,4.989877868538661e-15,1.548708090536282e-11
10350.0,fixed-domain-moisture,650.0,-5.875194059928983e-06,5.875194059928983e-06,-5.875194062675607e-06,2.7466237631176317e-15,5.684610108988026e-12
10500.0,fixed-domain-moisture,650.0,-5.845555594285555e-06,5.845555594285555e-06,-5.8455555998258545e-06,5.5402993594222925e-15,1.3943453758101542e-11
10650.0,fixed-domain-moisture,650.0,-5.820931007322295e-06,5.820931007322295e-06,-5.820931010440766e-06,3.1184712269622696e-15,7.1279565052070166e-12
10800.0,fixed-domain-moisture,650.0,-5.79740845533025e-06,5.79740845533025e-06,-5.79740845854508e-06,3.2148296950419188e-15,6.322714463932931e-12
10950.0,fixed-domain-moisture,650.0,-5.767751426253769e-06,5.767751426253769e-06,-5.767751432408114e-06,6.154344883105983e-15,1.5845012961008175e-11
11100.0,fixed-domain-moisture,650.0,-5.742239994685316e-06,5.742239994685316e-06,-5.742239997566508e-06,2.8811927344808697e-15,5.9117047976209695e-12
11250.0,fixed-domain-moisture,650.0,-5.713978883840232e-06,5.713978883840232e-06,-5.7139788897667866e-06,5.926554853699726e-15,1.7171552548115104e-11
11400.0,fixed-domain-moisture,650.0,-5.68933951179079e-06,5.68933951179079e-06,-5.6893395150864695e-06,3.295679836890289e-15,7.0876624786065466e-12
11550.0,fixed-domain-moisture,650.0,-5.663161504702599e-06,5.663161504702599e-06,-5.663161511476721e-06,6.774122278743744e-15,1.7303602312119937e-11
11700.0,fixed-domain-moisture,650.0,-5.635823835270785e-06,5.635823835270785e-06,-5.6358238413660375e-06,6.095252476573734e-15,1.562006012495121e-11
11850.0,fixed-domain-moisture,650.0,-5.608801086169632e-06,5.608801086169632e-06,-5.608801089183259e-06,3.0136271828170268e-15,6.38332571158515e-12
12000.0,fixed-domain-moisture,650.0,-5.58679118297486e-06,5.58679118297486e-06,-5.5867911864066245e-06,3.431764150196165e-15,7.055044230351277e-12
12150.0,fixed-domain-moisture,650.0,-5.559228275669544e-06,5.559228275669544e-06,-5.559228282765675e-06,7.096131171004886e-15,1.7688030334088436e-11
12300.0,fixed-domain-moisture,650.0,-5.53007855343428e-06,5.53007855343428e-06,-5.530078559596542e-06,6.162262100063969e-15,1.7977857049266298e-11
12450.0,fixed-domain-moisture,650.0,-5.507390186510513e-06,5.507390186510513e-06,-5.507390192893705e-06,6.383192009630414e-15,2.086065549978938e-11
12600.0,fixed-domain-moisture,650.0,-5.482315840377266e-06,5.482315840377266e-06,-5.482315843980148e-06,3.602882593233426e-15,7.482422624819781e-12
12750.0,fixed-domain-moisture,650.0,-5.4600008031894955e-06,5.4600008031894955e-06,-5.46000081063581e-06,7.4463140731576e-15,2.0867411914796507e-11
12900.0,fixed-domain-moisture,650.0,-5.4340417386368235e-06,5.4340417386368235e-06,-5.43404174232934e-06,3.692516466744823e-15,7.529947852025621e-12
13050.0,fixed-domain-moisture,650.0,-5.410495404584061e-06,5.410495404584061e-06,-5.410495412232408e-06,7.648346677670802e-15,2.1108817135998856e-11
13200.0,fixed-domain-moisture,650.0,-5.386881918208606e-06,5.386881918208606e-06,-5.386881925496232e-06,7.287625838621296e-15,1.923944516710179e-11
13350.0,fixed-domain-moisture,650.0,-5.363932649852305e-06,5.363932649852305e-06,-5.363932653683853e-06,3.831548454707144e-15,8.163521255227907e-12
13500.0,fixed-domain-moisture,650.0,-5.341402318558477e-06,5.341402318558477e-06,-5.341402326930249e-06,8.371772106932282e-15,2.7140392603392933e-11
13650.0,fixed-domain-moisture,650.0,-5.318392296983393e-06,5.318392296983393e-06,-5.318392305404625e-06,8.421232054788355e-15,2.1940092488541253e-11
13800.0,fixed-domain-moisture,650.0,-5.291638956388948e-06,5.291638956388948e-06,-5.291638960187886e-06,3.7989376862378535e-15,7.349315958418695e-12
13950.0,fixed-domain-moisture,650.0,-5.271308480142802e-06,5.271308480142802e-06,-5.271308484011235e-06,3.8684325043953326e-15,8.395556990406096e-12
14100.0,fixed-domain-moisture,650.0,-5.248557190513584e-06,5.248557190513584e-06,-5.248557199120924e-06,8.607340439893175e-15,2.6833171281539786e-11
14250.0,fixed-domain-moisture,650.0,-5.2238155991649014e-06,5.2238155991649014e-06,-5.223815607638055e-06,8.47315348038915e-15,2.2160651277734833e-11
14400.0,fixed-domain-moisture,650.0,-5.203784904756538e-06,5.203784904756538e-06,-5.203784912909857e-06,8.153318921703609e-15,2.793402166822475e-11
14550.0,fixed-domain-moisture,650.0,-5.179302302743764e-06,5.179302302743764e-06,-5.179302311382887e-06,8.639122810140051e-15,2.341948415860496e-11
14700.0,fixed-domain-moisture,650.0,-5.15642580888595e-06,5.15642580888595e-06,-5.156425816797622e-06,7.911672280313219e-15,2.3393113416392322e-11
14850.0,fixed-domain-moisture,650.0,-5.133782752760776e-06,5.133782752760776e-06,-5.133782760823177e-06,8.062400946244174e-15,2.4158733503043824e-11
15000.0,fixed-domain-moisture,650.0,-5.111329484463017e-06,5.111329484463017e-06,-5.1113294926631475e-06,8.200130197533618e-15,2.4687295242480306e-11
15150.0,fixed-domain-moisture,650.0,-5.089047597252604e-06,5.089047597252604e-06,-5.089047605567238e-06,8.314633805409349e-15,2.5111027898066307e-11
15300.0,fixed-domain-moisture,650.0,-5.066925859471048e-06,5.066925859471048e-06,-5.066925867886468e-06,8.415419714704296e-15,2.548908624428618e-11
15450.0,fixed-domain-moisture,650.0,-5.04495643194711e-06,5.04495643194711e-06,-5.0449564404551425e-06,8.508032603091187e-15,2.5845571884922895e-11
15600.0,fixed-domain-moisture,650.0,-5.023133309141755e-06,5.023133309141755e-06,-5.023133317736539e-06,8.594784023483078e-15,2.619142473252279e-11
15750.0,fixed-domain-moisture,650.0,-5.001451522357764e-06,5.001451522357764e-06,-5.0014515310352424e-06,8.67747815605762e-15,2.6531736959425268e-11
15900.0,fixed-domain-moisture,650.0,-4.979906711961352e-06,4.979906711961352e-06,-4.9799067207183875e-06,8.75703572562848e-15,2.686915463837696e-11
16050.0,fixed-domain-moisture,650.0,-4.958494895812933e-06,4.958494895812933e-06,-4.9584949046472265e-06,8.834293600747545e-15,2.7205155724063903e-11
16200.0,fixed-domain-moisture,650.0,-4.937212344023514e-06,4.937212344023514e-06,-4.937212352933453e-06,8.909938725135038e-15,2.7540642568321553e-11
16350.0,fixed-domain-moisture,650.0,-4.916055511317991e-06,4.916055511317991e-06,-4.916055520302703e-06,8.984712252619806e-15,2.7876168491426173e-11
16500.0,fixed-domain-moisture,650.0,-4.895021000411243e-06,4.895021000411243e-06,-4.895021009470615e-06,9.059372277689642e-15,2.8212026145287817e-11
16650.0,fixed-domain-moisture,650.0,-4.874105541896451e-06,4.874105541896451e-06,-4.874105551031112e-06,9.134661648239287e-15,2.8548470723711388e-11
16800.0,fixed-domain-moisture,650.0,-4.853305982772196e-06,4.853305982772196e-06,-4.853305991983541e-06,9.211344387987166e-15,2.88855074588301e-11
16950.0,fixed-domain-moisture,650.0,-4.832619279364654e-06,4.832619279364654e-06,-4.832619288654821e-06,9.29016673295981e-15,2.922306588140806e-11
17100.0,fixed-domain-moisture,650.0,-4.812042492387401e-06,4.812042492387401e-06,-4.812042501759145e-06,9.371744476109872e-15,2.95608760733807e-11
17250.0,fixed-domain-moisture,650.0,-4.7915727829654165e-06,4.7915727829654165e-06,-4.791572792422094e-06,9.456677316764008e-15,2.9898578922655707e-11
17400.0,fixed-domain-moisture,650.0,-4.771207409039573e-06,4.771207409039573e-06,-4.771207418584928e-06,9.545354890077955e-15,3.023565738051453e-11
17550.0,fixed-domain-moisture,650.0,-4.750943721882513e-06,4.750943721882513e-06,-4.750943731520584e-06,9.63807111648441e-15,3.057148041231262e-11
17700.0,fixed-domain-moisture,650.0,-4.730779162637746e-06,4.730779162637746e-06,-4.730779172372669e-06,9.734923404772309e-15,3.090529639227318e-11
17850.0,fixed-domain-moisture,650.0,-4.710711258792218e-06,4.710711258792218e-06,-4.710711268628087e-06,9.835869403294287e-15,3.123637071279983e-11
18000.0,fixed-domain-moisture,650.0,-4.690737620734318e-06,4.690737620734318e-06,-4.6907376306751515e-06,9.94083372611804e-15,3.156389682676189e-11
18150.0,fixed-domain-moisture,650.0,-4.670855938301817e-06,4.670855938301817e-06,-4.670855948351244e-06,1.004942673808783e-14,3.188713516089782e-11
18300.0,fixed-domain-moisture,650.0,-4.651063982626685e-06,4.651063982626685e-06,-4.651063987767982e-06,5.141296866321629e-15,1.0832648989592543e-11
18450.0,fixed-domain-moisture,650.0,-4.631359581884202e-06,4.631359581884202e-06,-4.63135958706912e-06,5.184918216072278e-15,1.0962577810048214e-11
18600.0,fixed-domain-moisture,650.0,-4.61174064982884e-06,4.61174064982884e-06,-4.611740655057204e-06,5.228364230002846e-15,1.1092686130054348e-11
18750.0,fixed-domain-moisture,650.0,-4.592205161611712e-06,4.592205161611712e-06,-4.5922051668832175e-06,5.271505312072402e-15,1.1222728179794819e-11
18900.0,fixed-domain-moisture,650.0,-4.572751156219725e-06,4.572751156219725e-06,-4.572751161533965e-06,5.314239818327276e-15,1.1352594877398101e-11
19050.0,fixed-domain-moisture,650.0,-4.5533767338262295e-06,4.5533767338262295e-06,-4.553376739182776e-06,5.356546572943786e-15,1.1482141165124468e-11
19200.0,fixed-domain-moisture,650.0,-4.5340800532964885e-06,4.5340800532964885e-06,-4.534080058694784e-06,5.398295132848056e-15,1.161133338664055e-11
19350.0,fixed-domain-moisture,650.0,-4.5148593298527995e-06,4.5148593298527995e-06,-4.514859335292303e-06,5.439503285731978e-15,1.174019584373232e-11
19500.0,fixed-domain-moisture,650.0,-4.495712832898524e-06,4.495712832898524e-06,-4.495712838378684e-06,5.480160020167237e-15,1.1868772465743842e-11
19650.0,fixed-domain-moisture,650.0,-4.476638884000884e-06,4.476638884000884e-06,-4.4766388895150235e-06,5.514139593879291e-15,1.1993840324367535e-11
19800.0,fixed-domain-moisture,650.0,-4.457635854990883e-06,4.457635854990883e-06,-4.457635860544524e-06,5.553640975374495e-15,1.2122200672216034e-11
19950.0,fixed-domain-moisture,650.0,-4.438702166258867e-06,4.438702166258867e-06,-4.438702171851464e-06,5.5925968676516676e-15,1.2250681582716157e-11
20100.0,fixed-domain-moisture,650.0,-4.4198362851196746e-06,4.4198362851196746e-06,-4.419836290750731e-06,5.631056398621749e-15,1.2379491666760997e-11
20250.0,fixed-domain-moisture,650.0,-4.401036724326647e-06,4.401036724326647e-06,-4.401036729995688e-06,5.669040744108421e-15,1.2508768785459986e-11
20400.0,fixed-domain-moisture,650.0,-4.382302040688692e-06,4.382302040688692e-06,-4.3823020463952725e-06,5.706580397297784e-15,1.2638757855919188e-11
20550.0,fixed-domain-moisture,650.0,-4.363630833790399e-06,4.363630833790399e-06,-4.363630839534037e-06,5.74363808874016e-15,1.27694898779987e-11
