time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
600.0,fixed-domain-moisture,650.0,-1.2350026900670766e-05,1.2350026900670766e-05,-1.2350026897422175e-05,-3.248591581286528e-15,4.319339393324722e-11
1200.0,fixed-domain-moisture,650.0,-1.030627212904825e-05,1.030627212904825e-05,-1.0306272132951398e-05,3.90314814973855e-15,4.459349155002126e-11
1800.0,fixed-domain-moisture,650.0,-9.03870165095634e-06,9.03870165095634e-06,-9.038701655768645e-06,4.81230588147627e-15,3.067708002932966e-11
2400.0,fixed-domain-moisture,650.0,-8.36201265369823e-06,8.36201265369823e-06,-8.362012655528806e-06,1.8305771124198927e-15,9.013666134345996e-12
3000.0,fixed-domain-moisture,650.0,-7.928234759108343e-06,7.928234759108343e-06,-7.928234762298842e-06,3.190498673632039e-15,1.5441720859175307e-11
3600.0,fixed-domain-moisture,650.0,-7.641388510361598e-06,7.641388510361598e-06,-7.64138851461662e-06,4.2550225766869315e-15,2.227533495448296e-11
4200.0,fixed-domain-moisture,650.0,-7.400874056186192e-06,7.400874056186192e-06,-7.4008740546387465e-06,-1.5474453383718285e-15,1.7326967354584987e-11
4800.0,fixed-domain-moisture,650.0,-7.21733992211826e-06,7.21733992211826e-06,-7.217339921155226e-06,-9.630341093807768e-16,2.174224727189052e-11
5400.0,fixed-domain-moisture,650.0,-7.035598958943184e-06,7.035598958943184e-06,-7.035598958809971e-06,-1.3321287161468381e-16,1.7414309110207293e-11
6000.0,fixed-domain-moisture,650.0,-6.890184132149027e-06,6.890184132149027e-06,-6.890184135295957e-06,3.1469298399241195e-15,1.9766072603376194e-11
6600.0,fixed-domain-moisture,650.0,-6.735874870158771e-06,6.735874870158771e-06,-6.735874873455695e-06,3.2969241282898056e-15,2.362478867217128e-11
