time_s,proxy_scale,L_v_J_per_kg,j_w_outer_max_kg_m2_s,raw_boundary_loss_rate_kg_s,proxy_boundary_loss_rate_kg_s,latent_power_W,boundary_latent_heat_flux_max_W_m2,component_mode,bound_fraction,release_tau_s,free_flux_factor,total_water_kg,bound_water_kg,liquid_water_kg,phase_split_residual_kg,moisture_predictor_relative_residual,source_definition
300.0,1.0,2400000.0,0.0010960809399708931,1.850763443204832e-05,1.850763443204832e-05,44.41832263691597,2630.5942559301434,liquid_surface,0.0,0.0,1.0,0.2548072008382885,0.0,0.2548072008382885,0.0,3.810218647167598e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
600.0,1.0,2400000.0,0.0008059298753975984,1.335580749813569e-05,1.335580749813569e-05,32.05393799552566,1934.2317009542362,liquid_surface,0.0,0.0,1.0,0.25179696394760165,0.0,0.25179696394760165,0.0,4.7747290888067693e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
900.0,1.0,2400000.0,0.0006728395929839932,1.1146252180457592e-05,1.1146252180457592e-05,26.75100523309822,1614.8150231615837,liquid_surface,0.0,0.0,1.0,0.24873062954161723,0.0,0.24873062954161723,0.0,2.1753630400116162e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1200.0,1.0,2400000.0,0.0005960835921324209,9.893804409697842e-06,9.893804409697842e-06,23.745130583274822,1430.60062111781,liquid_surface,0.0,0.0,1.0,0.24585159308354368,0.0,0.24585159308354368,0.0,3.84314515821842e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1500.0,1.0,2400000.0,0.0005465690075860386,9.100772536502762e-06,9.100772536502762e-06,21.841854087606627,1311.7656182064925,liquid_surface,0.0,0.0,1.0,0.2431370088476067,0.0,0.2431370088476067,0.0,8.108749019058912e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
1800.0,1.0,2400000.0,0.0005117733107890888,8.546623506917267e-06,8.546623506917267e-06,20.51189641660144,1228.255945893813,liquid_surface,0.0,0.0,1.0,0.2405609438570901,0.0,0.2405609438570901,0.0,2.5573996780697368e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2100.0,1.0,2400000.0,0.0004882153248864061,8.174735990415228e-06,8.174735990415228e-06,19.619366376996545,1171.7167797273746,liquid_surface,0.0,0.0,1.0,0.23807395744500237,0.0,0.23807395744500237,0.0,2.7561262593028927e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2400.0,1.0,2400000.0,0.00047044288631227087,7.891444321808693e-06,7.891444321808693e-06,18.939466372340863,1129.0629271494502,liquid_surface,0.0,0.0,1.0,0.23566946810785583,0.0,0.23566946810785583,0.0,3.709327183010988e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
2700.0,1.0,2400000.0,0.00046138336700412663,7.69253291593421e-06,7.69253291593421e-06,18.462078998242102,1107.3200808099039,liquid_surface,0.0,0.0,1.0,0.23331809330265874,0.0,0.23331809330265874,0.0,4.5664165717112135e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3000.0,1.0,2400000.0,0.00045594396444716085,7.545209616799953e-06,7.545209616799953e-06,18.108503080319885,1094.265514673186,liquid_surface,0.0,0.0,1.0,0.23101007191131454,0.0,0.23101007191131454,0.0,1.4222800326710922e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3300.0,1.0,2400000.0,0.0004504295541107239,7.410525419754251e-06,7.410525419754251e-06,17.785261007410202,1081.0309298657373,liquid_surface,0.0,0.0,1.0,0.22874905538108453,0.0,0.22874905538108453,0.0,2.7190446838856862e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3600.0,1.0,2400000.0,0.0004471343676130579,7.321829474147186e-06,7.321829474147186e-06,17.572390737953246,1073.1224822713389,liquid_surface,0.0,0.0,1.0,0.22651189896838944,0.0,0.22651189896838944,0.0,4.5489244871665e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
3900.0,1.0,2400000.0,0.0004432692057273513,7.233468628191435e-06,7.233468628191435e-06,17.360324707659444,1063.8460937456432,liquid_surface,0.0,0.0,1.0,0.22430742375156845,0.0,0.22430742375156845,0.0,1.1373763456462985e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
4200.0,1.0,2400000.0,0.00043945327505214086,7.154093975717573e-06,7.154093975717573e-06,17.169825541722176,1054.687860125138,liquid_surface,0.0,0.0,1.0,0.22213011827577742,0.0,0.22213011827577742,0.0,1.3473506884432852e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
4500.0,1.0,2400000.0,0.0004352552583007397,7.075570113566156e-06,7.075570113566156e-06,16.981368272558775,1044.6126199217751,liquid_surface,0.0,0.0,1.0,0.2199807703176163,0.0,0.2199807703176163,0.0,1.7072322826526337e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
4800.0,1.0,2400000.0,0.000431272447662641,7.005878021140174e-06,7.005878021140174e-06,16.814107250736416,1035.0538743903385,liquid_surface,0.0,0.0,1.0,0.21785365994975736,0.0,0.21785365994975736,0.0,1.982962524988074e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
5100.0,1.0,2400000.0,0.0004275448465321695,6.944501990391476e-06,6.944501990391476e-06,16.666804776939543,1026.1076316772067,liquid_surface,0.0,0.0,1.0,0.21574588641124964,0.0,0.21574588641124964,0.0,2.5122384538335882e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
5400.0,1.0,2400000.0,0.0004228969503924054,6.8728813909619824e-06,6.8728813909619824e-06,16.494915338308758,1014.952680941773,liquid_surface,0.0,0.0,1.0,0.21366579873776578,0.0,0.21366579873776578,0.0,3.3644867786389523e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
5700.0,1.0,2400000.0,0.0004183935900866313,6.806867065099363e-06,6.806867065099363e-06,16.33648095623847,1004.1446162079151,liquid_surface,0.0,0.0,1.0,0.2116057075344994,0.0,0.2116057075344994,0.0,4.0616328066275414e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
6000.0,1.0,2400000.0,0.00041413639213280453,6.7470031286936135e-06,6.7470031286936135e-06,16.19280750886467,993.9273411187309,liquid_surface,0.0,0.0,1.0,0.20956328109646039,0.0,0.20956328109646039,0.0,4.9526118143102256e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
6300.0,1.0,2400000.0,0.0004100909962635295,6.6906834965221785e-06,6.6906834965221785e-06,16.05764039165323,984.2183910324709,liquid_surface,0.0,0.0,1.0,0.2075394795747641,0.0,0.2075394795747641,0.0,2.4371677993122276e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
6600.0,1.0,2400000.0,0.00040681751572620346,6.6296479482568076e-06,6.6296479482568076e-06,15.911155075816339,976.3620377428883,liquid_surface,0.0,0.0,1.0,0.2055373575611308,0.0,0.2055373575611308,0.0,3.186115729887933e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
6900.0,1.0,2400000.0,0.00040300288586073233,6.560540243961843e-06,6.560540243961843e-06,15.745296585508424,967.2069260657576,liquid_surface,0.0,0.0,1.0,0.20355803612770051,0.0,0.20355803612770051,0.0,3.966615761606834e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
7200.0,1.0,2400000.0,0.00039999911056336457,6.505543088147136e-06,6.505543088147136e-06,15.613303411553126,959.997865352075,liquid_surface,0.0,0.0,1.0,0.20159373812289189,0.0,0.20159373812289189,0.0,4.69598862860705e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
7500.0,1.0,2400000.0,0.0003962128356364176,6.4379736981327895e-06,6.4379736981327895e-06,15.451136875518694,950.9108055274022,liquid_surface,0.0,0.0,1.0,0.19965296325094276,0.0,0.19965296325094276,0.0,2.143829822147941e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
7800.0,1.0,2400000.0,0.00039273643898720014,6.3761960092500715e-06,6.3761960092500715e-06,15.302870422200172,942.5674535692804,liquid_surface,0.0,0.0,1.0,0.19773108780888624,0.0,0.19773108780888624,0.0,2.492273686651802e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
8100.0,1.0,2400000.0,0.00038875370242258433,6.306529137120411e-06,6.306529137120411e-06,15.135669929088985,933.0088858142024,liquid_surface,0.0,0.0,1.0,0.19583191969945984,0.0,0.19583191969945984,0.0,2.767913331130585e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
8400.0,1.0,2400000.0,0.0003850169600505033,6.241484655925068e-06,6.241484655925068e-06,14.979563174220162,924.0407041212079,liquid_surface,0.0,0.0,1.0,0.19395236877744923,0.0,0.19395236877744923,0.0,3.015710945451366e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
8700.0,1.0,2400000.0,0.0003818818825687989,6.186672507004686e-06,6.186672507004686e-06,14.848014016811245,916.5165181651173,liquid_surface,0.0,0.0,1.0,0.19208761133760274,0.0,0.19208761133760274,0.0,3.2790186717667517e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
9000.0,1.0,2400000.0,0.0003783198362979376,6.125014203365604e-06,6.125014203365604e-06,14.70003408807745,907.9676071150502,liquid_surface,0.0,0.0,1.0,0.19024375193988716,0.0,0.19024375193988716,0.0,3.457417848442195e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
9300.0,1.0,2400000.0,0.00037533899098640054,6.073314952615156e-06,6.073314952615156e-06,14.575955886276374,900.8135783673613,liquid_surface,0.0,0.0,1.0,0.1884130243683738,0.0,0.1884130243683738,0.0,3.617699766687618e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
9600.0,1.0,2400000.0,0.0003720609497452159,6.016988900420078e-06,6.016988900420078e-06,14.440773361008187,892.9462793885182,liquid_surface,0.0,0.0,1.0,0.18660172114226373,0.0,0.18660172114226373,0.0,3.5168023910506576e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
9900.0,1.0,2400000.0,0.0003684427866921221,5.955769809565498e-06,5.955769809565498e-06,14.293847542957195,884.2626880610931,liquid_surface,0.0,0.0,1.0,0.1848110662136185,0.0,0.1848110662136185,0.0,3.587928729993185e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
10200.0,1.0,2400000.0,0.00036507259334989415,5.8992804654862886e-06,5.8992804654862886e-06,14.158273117167093,876.1742240397459,liquid_surface,0.0,0.0,1.0,0.18303559533159633,0.0,0.18303559533159633,0.0,4.1924100734884146e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
10500.0,1.0,2400000.0,0.00036179610615908375,5.8447309097225804e-06,5.8447309097225804e-06,14.027354183334193,868.310654781801,liquid_surface,0.0,0.0,1.0,0.1812773554259708,0.0,0.1812773554259708,0.0,1.4933616651387495e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
10800.0,1.0,2400000.0,0.00035825389511700905,5.786261804321982e-06,5.786261804321982e-06,13.887028330372756,859.8093482808217,liquid_surface,0.0,0.0,1.0,0.1795376871156693,0.0,0.1795376871156693,0.0,1.630298695309752e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
11100.0,1.0,2400000.0,0.000355501560041481,5.741241545692621e-06,5.741241545692621e-06,13.77897970966229,853.2037440995545,liquid_surface,0.0,0.0,1.0,0.177808348920784,0.0,0.177808348920784,0.0,1.7203301125241577e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
11400.0,1.0,2400000.0,0.0003521930318261251,5.687185249535734e-06,5.687185249535734e-06,13.64924459888576,845.2632763827003,liquid_surface,0.0,0.0,1.0,0.17609793662459577,0.0,0.17609793662459577,0.0,1.9246195460343284e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
11700.0,1.0,2400000.0,0.00034941425886038575,5.64251065403857e-06,5.64251065403857e-06,13.542025569692568,838.5942212649257,liquid_surface,0.0,0.0,1.0,0.17439998303332596,0.0,0.17439998303332596,0.0,2.142051465174307e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
12000.0,1.0,2400000.0,0.00034584978665601264,5.583401364172677e-06,5.583401364172677e-06,13.400163274014425,830.0394879744304,liquid_surface,0.0,0.0,1.0,0.17272312939564965,0.0,0.17272312939564965,0.0,2.4613354317933502e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
12300.0,1.0,2400000.0,0.00034324079867367876,5.535316623919808e-06,5.535316623919808e-06,13.28475989740754,823.777916816829,liquid_surface,0.0,0.0,1.0,0.1710574686719124,0.0,0.1710574686719124,0.0,2.5344091800340992e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
12600.0,1.0,2400000.0,0.00034027115220849874,5.481405199440565e-06,5.481405199440565e-06,13.155372478657357,816.650765300397,liquid_surface,0.0,0.0,1.0,0.16941076508317393,0.0,0.16941076508317393,0.0,2.946525291338698e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
12900.0,1.0,2400000.0,0.00033781279524647755,5.436254536418012e-06,5.436254536418012e-06,13.047010887403228,810.7507085915461,liquid_surface,0.0,0.0,1.0,0.16777544390228089,0.0,0.16777544390228089,0.0,3.101336719573403e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
