time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
75.0,-3057.103896190853,-3057.103896190853,0.0,301.1499999999999,7.483463627689291,48.244848913077135,3.737234263682673e-11,2.132355803041719e-07,6.975084509553735e-11
150.0,-2434.5178459473686,-2434.5178459473686,0.0,295.3231431735624,10.70819519379781,43.168433169246946,3.6431182350827804e-11,2.211316314060241e-06,9.083179725880092e-10
225.0,-2012.4137736205216,-2012.4137736205216,0.0,290.6797916994354,12.59260552826406,39.42478919985747,3.785262097739e-11,1.7489842321083415e-06,8.690977248489779e-10
300.0,-1687.0083730152226,-1687.0083730152226,0.0,286.8361790486139,14.031227988727133,36.524672983245765,3.5354753323559054e-11,1.5736748082417762e-06,9.328197971116865e-10
375.0,-1438.38414562463,-1438.38414562463,0.0,283.60870551448613,15.028050911808348,34.20650621161175,2.6532135389749545e-11,1.8606251614983194e-06,1.2935523289505723e-09
450.0,-1236.117560463907,-1236.117560463907,0.0,280.8518485514356,15.80146493720772,32.283032449511715,3.22891946409928e-11,2.958892764581833e-06,2.3936985115488364e-09
525.0,-1065.0926886152433,-1065.0926886152433,0.0,278.4781978861067,16.45535406730753,30.65658992863938,2.766890450764185e-11,9.84645566859399e-07,7.978319703377527e-10
600.0,-919.0336045730775,-919.0336045730775,0.0,276.4291020670649,17.011997500110493,29.2657788884522,4.828038474087403e-11,-4.474494517126004e-07,3.506932498351584e-10
675.0,-789.0865582371244,-789.0865582371244,0.0,274.6577066128134,17.543804234280493,28.064958335141075,3.295817368912962e-11,-6.72580881655449e-07,5.1116308464138e-10
750.0,-681.5268242949021,-681.5268242949021,0.0,273.134024279868,17.93653025675732,27.023554559996224,4.052783163683596e-11,-1.551984155412356e-06,1.153685901116183e-09
825.0,-587.0693870598334,-587.0693870598334,0.0,271.8156407237515,18.26886122734465,26.09645303820237,3.180273833146758e-11,-1.245504449798318e-06,9.090181260151085e-10
900.0,-504.5661729222654,-504.5661729222654,0.0,270.67797334967014,18.544039952021897,25.27158891184515,2.440838902811247e-11,-9.355214842798887e-07,6.726484532319231e-10
975.0,-426.63830489702605,-426.63830489702605,0.0,269.6985042097001,18.8469387396928,24.53544945105363,3.5126972896609645e-11,-1.5449637658093707e-06,1.092990069208133e-09
1050.0,-359.2127859691868,-359.2127859691868,0.0,268.86897958893667,19.090612395367202,23.880116192520354,2.5611025658207982e-11,-1.1827004300357657e-06,8.260258361837756e-10
1125.0,-296.9285310673899,-296.9285310673899,0.0,268.16945370984683,19.33310536083688,23.29215241479906,3.1885800916738506e-11,-2.0202263613100513e-06,1.3932759885899684e-09
1200.0,-242.78784641791742,-242.78784641791742,0.0,267.5903743870915,19.527503494274285,22.764674757209526,2.7911912184723692e-11,-1.6977743086954433e-06,1.1592362940425727e-09
1275.0,-197.8709684596833,-197.8709684596833,0.0,267.11621688386595,19.65468234007415,22.292961916284046,3.172608424924273e-11,-2.4394105935243715e-07,1.6548461082990084e-10
1350.0,-150.22012727825165,-150.22012727825165,0.0,266.7292412630085,19.852645696609404,21.855580726171763,2.8279450538939044e-11,-6.107475769567827e-08,4.101871937139953e-11
1425.0,-113.96117570576035,-113.96117570576035,0.0,266.43517745085705,19.953506345344913,21.472988687581463,3.306432241820284e-11,-3.801909542744397e-08,2.5405122467820433e-11
1500.0,-86.03184291498533,-86.03184291498533,0.0,266.2118694794584,19.971279222007933,21.11837045997516,3.4616373234451904e-11,-6.744325276031304e-08,4.502682878453573e-11
1575.0,-52.44946013801359,-52.44946013801359,0.0,266.04312137144404,20.084659871485517,20.783985994457456,3.395098528153874e-11,-9.151181359356997e-07,6.07507183287285e-10
1650.0,-27.694177977721928,-27.694177977721928,0.0,265.9403356551015,20.11992334190194,20.489179030129055,3.625688846969313e-11,-1.3606884223804627e-06,9.017187585711326e-10
1725.0,2.298292093267275,2.298292093267275,0.0,265.8862318497074,20.244648415564544,20.214004501288375,3.471827483832238e-11,-1.4774453980237467e-06,9.730607106273435e-10
1800.0,25.543442179238703,25.543442179238703,0.0,265.89137979257924,20.315381084125423,19.974801831224223,3.981607269096575e-11,-1.7883513265815054e-06,1.1737256739452685e-09
1875.0,44.829317086927354,44.829317086927354,0.0,265.942548328556,20.354351972151385,19.75662773020521,2.3578802065339253e-11,-1.0590357391038197e-06,6.937325511862895e-10
1950.0,56.5192778496058,56.5192778496058,0.0,266.0320071923669,20.30710034828041,19.553509962704872,2.3707794678279072e-11,-1.0685595981385632e-06,7.015999854317281e-10
2025.0,73.27466271366376,73.27466271366376,0.0,266.1447429505665,20.336841015756303,19.359845496727164,2.7215028501360383e-11,-1.2135216138631222e-06,7.956146272818715e-10
