time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
300.0,moving-reference-moisture,840.5754351922644,-9.94051789401037e-06,9.94051789401037e-06,-9.940517893085777e-06,-9.245923661025876e-16,2.231231509290355e-12
600.0,moving-reference-moisture,860.8950662778333,-1.019348806362925e-05,1.019348806362925e-05,-1.0193488063420666e-05,-2.0858355732726597e-16,2.6865342959865434e-12
900.0,moving-reference-moisture,880.7421937339468,-8.76921379012829e-06,8.76921379012829e-06,-8.76921378288344e-06,-7.24484898071906e-15,2.2069581149497643e-11
1200.0,moving-reference-moisture,899.8786516217094,-8.206726206558247e-06,8.206726206558247e-06,-8.206726208052056e-06,1.4938086710528445e-15,3.3348682976582946e-12
1500.0,moving-reference-moisture,918.0465877280382,-7.675252084526164e-06,7.675252084526164e-06,-7.675252101117119e-06,1.659095461654849e-14,4.868366091295752e-11
1800.0,moving-reference-moisture,934.9713194697231,-7.321312238677063e-06,7.321312238677063e-06,-7.3213122382013645e-06,-4.756987853756986e-16,2.30324908694295e-11
2100.0,moving-reference-moisture,950.3006299465071,-7.010887197764429e-06,7.010887197764429e-06,-7.010887182479921e-06,-1.5284507939362403e-14,3.469652184877791e-11
2400.0,moving-reference-moisture,964.2417015822199,-6.7883308132573106e-06,6.7883308132573106e-06,-6.788330814869595e-06,1.612284863451198e-15,4.746558222249833e-12
2700.0,moving-reference-moisture,977.3996367576663,-6.612065885976926e-06,6.612065885976926e-06,-6.612065886623923e-06,6.469967993977775e-16,1.1325740437112921e-12
3000.0,moving-reference-moisture,990.4406596149792,-6.444618666018894e-06,6.444618666018894e-06,-6.444618670814739e-06,4.795845490212277e-15,8.904389168343441e-12
3300.0,moving-reference-moisture,1004.0885685643335,-6.3342345032844495e-06,6.3342345032844495e-06,-6.3342345045011285e-06,1.2166789724690243e-15,2.8014164837883004e-12
3600.0,moving-reference-moisture,1019.12854566628,-6.226919040046552e-06,6.226919040046552e-06,-6.226919047741824e-06,7.695271455915743e-15,1.5687495827935962e-11
3900.0,moving-reference-moisture,1035.9038954806126,-6.134228107218628e-06,6.134228107218628e-06,-6.134228115186357e-06,7.967728920762508e-15,1.5732773647809267e-11
4200.0,moving-reference-moisture,1053.968305257669,-6.04533969065935e-06,6.04533969065935e-06,-6.045339697965047e-06,7.305697286550967e-15,1.3935796297712333e-11
4500.0,moving-reference-moisture,1072.9472408069657,-5.97344886049333e-06,5.97344886049333e-06,-5.9734488680810866e-06,7.587756716887807e-15,1.4242209183893792e-11
4800.0,moving-reference-moisture,1092.4232731585973,-5.913845486363641e-06,5.913845486363641e-06,-5.91384549417093e-06,7.807289022091282e-15,1.465835193758694e-11
5100.0,moving-reference-moisture,1111.9307367576737,-5.833465147761018e-06,5.833465147761018e-06,-5.833465148528744e-06,7.677260994358275e-16,1.4297205964087017e-12
5400.0,moving-reference-moisture,1130.9529761475812,-5.771719253429716e-06,5.771719253429716e-06,-5.771719254443342e-06,1.0136256932543816e-15,1.8598279215715312e-12
5700.0,moving-reference-moisture,1150.269271793424,-5.720835103614442e-06,5.720835103614442e-06,-5.720835104865209e-06,1.2507669663983263e-15,2.2676236968382113e-12
6000.0,moving-reference-moisture,1170.5016747857062,-5.6677535378386775e-06,5.6677535378386775e-06,-5.667753539068922e-06,1.2302442051193019e-15,2.180884764694253e-12
6300.0,moving-reference-moisture,1190.7941472245411,-5.60753949789541e-06,5.60753949789541e-06,-5.607539498730271e-06,8.34861083802256e-16,1.4675278076511903e-12
6600.0,moving-reference-moisture,1210.1990647035411,-5.546386539256471e-06,5.546386539256471e-06,-5.546386539857728e-06,6.012570202460453e-16,1.219108888481287e-12
6900.0,moving-reference-moisture,1227.680472851135,-5.49577798092112e-06,5.49577798092112e-06,-5.495777982190009e-06,1.268889236304832e-15,2.129153619605796e-12
7200.0,moving-reference-moisture,1242.130177514793,-5.430705483351992e-06,5.430705483351992e-06,-5.4307054840083004e-06,6.56308232586944e-16,1.2878732217652113e-12
7500.0,moving-reference-moisture,1253.7125606143777,-5.366021289771405e-06,5.366021289771405e-06,-5.366021290728293e-06,9.568880383154996e-16,1.6902379395132773e-12
7800.0,moving-reference-moisture,1263.700479839781,-5.299012026140703e-06,5.299012026140703e-06,-5.299012026746959e-06,6.062562087007402e-16,1.2944696336111602e-12
8100.0,moving-reference-moisture,1272.639205011921,-5.2346691487390264e-06,5.2346691487390264e-06,-5.234669149469723e-06,7.306963600807112e-16,1.4433362912407317e-12
8400.0,moving-reference-moisture,1281.10490560437,-5.188157693450796e-06,5.188157693450796e-06,-5.188157694616612e-06,1.1658154910193508e-15,2.040588471548562e-12
8700.0,moving-reference-moisture,1289.6996718727764,-5.131291549796996e-06,5.131291549796996e-06,-5.131291550321569e-06,5.245725864322717e-16,1.2460802900431105e-12
9000.0,moving-reference-moisture,1299.050544551691,-5.096663179529173e-06,5.096663179529173e-06,-5.096663180533706e-06,1.0045327945656067e-15,2.108595999188342e-12
