time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
300.0,moving-reference-moisture,840.5754351922644,-1.2106899876811627e-05,1.2106899876811627e-05,-1.2106899874985094e-05,-1.8265333771297007e-15,1.170666851782123e-11
600.0,moving-reference-moisture,860.8950662778333,-1.0773775759205505e-05,1.0773775759205505e-05,-1.0773775755751205e-05,-3.4543003087908128e-15,2.4945878009600398e-11
900.0,moving-reference-moisture,880.7421937339468,-9.074676184899277e-06,9.074676184899277e-06,-9.074676177944621e-06,-6.9546554929897364e-15,2.171674267379326e-11
1200.0,moving-reference-moisture,899.8786516217094,-8.258857394421392e-06,8.258857394421392e-06,-8.258857400847594e-06,6.4262018015931455e-15,4.0369408155594624e-11
1500.0,moving-reference-moisture,918.0465877280382,-7.662853003427189e-06,7.662853003427189e-06,-7.662853006438942e-06,3.011752698904753e-15,3.187720563803554e-11
1800.0,moving-reference-moisture,934.9713194697231,-7.279867127616541e-06,7.279867127616541e-06,-7.279867133438603e-06,5.8220614811946465e-15,2.1180064867287427e-11
2100.0,moving-reference-moisture,950.3006299465071,-6.9748145175740086e-06,6.9748145175740086e-06,-6.97481452011686e-06,2.54285135293077e-15,9.030083014549525e-12
2400.0,moving-reference-moisture,964.2417015822199,-6.761275327238642e-06,6.761275327238642e-06,-6.761275331080275e-06,3.841633228977154e-15,1.661820356174096e-11
2700.0,moving-reference-moisture,977.3996367576663,-6.598302920755297e-06,6.598302920755297e-06,-6.59830292517075e-06,4.415453157995738e-15,1.9608234211171716e-11
3000.0,moving-reference-moisture,990.4406596149792,-6.446020410396794e-06,6.446020410396794e-06,-6.446020413992908e-06,3.596113952951917e-15,1.657384728099152e-11
3300.0,moving-reference-moisture,1004.0885685643335,-6.343898457076098e-06,6.343898457076098e-06,-6.34389846005734e-06,2.981242572144653e-15,1.2937078902847895e-11
3600.0,moving-reference-moisture,1019.12854566628,-6.247831884312534e-06,6.247831884312534e-06,-6.2478318854904415e-06,1.1779077333743532e-15,1.0370466136801354e-11
3900.0,moving-reference-moisture,1035.9038954806126,-6.16263796465122e-06,6.16263796465122e-06,-6.16263796472365e-06,7.242978731971522e-17,1.1764393376271577e-11
4200.0,moving-reference-moisture,1053.968305257669,-6.0803171267728275e-06,6.0803171267728275e-06,-6.080317125282745e-06,-1.4900825731178728e-15,1.331365798272072e-11
4500.0,moving-reference-moisture,1072.9472408069657,-6.012320591073678e-06,6.012320591073678e-06,-6.01232058882722e-06,-2.2464584310604926e-15,1.6468473790812043e-11
4800.0,moving-reference-moisture,1092.4232731585973,-5.955668216858789e-06,5.955668216858789e-06,-5.955668213638393e-06,-3.220396395571274e-15,1.9973866450272537e-11
5100.0,moving-reference-moisture,1111.9307367576737,-5.879666480447692e-06,5.879666480447692e-06,-5.879666476280212e-06,-4.167480027522305e-15,1.8638294321327066e-11
5400.0,moving-reference-moisture,1130.9529761475812,-5.818969156149657e-06,5.818969156149657e-06,-5.818969155058898e-06,-1.0907590545302e-15,1.3752007325406175e-11
5700.0,moving-reference-moisture,1150.269271793424,-5.768667129798472e-06,5.768667129798472e-06,-5.768667128305117e-06,-1.4933546613931162e-15,1.6525064933391153e-11
6000.0,moving-reference-moisture,1170.5016747857062,-5.716837088230574e-06,5.716837088230574e-06,-5.7168370865754065e-06,-1.6551676004718414e-15,1.6913607040877154e-11
6300.0,moving-reference-moisture,1190.7941472245411,-5.658414245885801e-06,5.658414245885801e-06,-5.658414243790372e-06,-2.0954282214003146e-15,1.7956983201455937e-11
6600.0,moving-reference-moisture,1210.1990647035411,-5.5979477969945475e-06,5.5979477969945475e-06,-5.597947794654822e-06,-2.3397252288826637e-15,2.025989943873516e-11
6900.0,moving-reference-moisture,1227.680472851135,-5.545986945236786e-06,5.545986945236786e-06,-5.545986943071235e-06,-2.165550690971709e-15,2.289315400991692e-11
7200.0,moving-reference-moisture,1242.130177514793,-5.4818137465953924e-06,5.4818137465953924e-06,-5.4818137436084925e-06,-2.9868999051993646e-15,2.4497924946047352e-11
7500.0,moving-reference-moisture,1253.7125606143777,-5.416167325720245e-06,5.416167325720245e-06,-5.4161673230283105e-06,-2.6919342338452106e-15,2.5845924153674182e-11
7800.0,moving-reference-moisture,1263.700479839781,-5.349290961077172e-06,5.349290961077172e-06,-5.34929095781814e-06,-3.2590321093943844e-15,2.7906715951989576e-11
8100.0,moving-reference-moisture,1272.639205011921,-5.284037936492187e-06,5.284037936492187e-06,-5.284037933204857e-06,-3.2873306331292033e-15,2.921878711506411e-11
8400.0,moving-reference-moisture,1281.10490560437,-5.2365903976094315e-06,5.2365903976094315e-06,-5.236590398621921e-06,1.0124898220721136e-15,3.55840760190997e-11
8700.0,moving-reference-moisture,1289.6996718727764,-5.180461922489846e-06,5.180461922489846e-06,-5.180461918170478e-06,-4.319368281558052e-15,3.324144135666128e-11
9000.0,moving-reference-moisture,1299.050544551691,-5.144697086328851e-06,5.144697086328851e-06,-5.144697087512212e-06,1.1833609314887764e-15,4.0996131223135553e-11
9300.0,moving-reference-moisture,1309.0056834325628,-5.095164767889005e-06,5.095164767889005e-06,-5.095164762697989e-06,-5.191016006259562e-15,3.655828553094756e-11
9600.0,moving-reference-moisture,1319.0375341624174,-5.039285820982923e-06,5.039285820982923e-06,-5.03928581475433e-06,-6.2285932501634535e-15,4.735330667093467e-11
9900.0,moving-reference-moisture,1329.2328031622692,-5.000572196254664e-06,5.000572196254664e-06,-5.00057219555721e-06,-6.974545520657162e-16,3.383830661374113e-11
10200.0,moving-reference-moisture,1339.6822206160532,-4.954739855865581e-06,4.954739855865581e-06,-4.9547398502295405e-06,-5.636040340483393e-15,4.153625273279248e-11
10500.0,moving-reference-moisture,1350.4807886755227,-4.909631995857588e-06,4.909631995857588e-06,-4.909631989453599e-06,-6.403989209584349e-15,4.9392217629282204e-11
10800.0,moving-reference-moisture,1361.7281326389625,-4.885742065389569e-06,4.885742065389569e-06,-4.88574206643816e-06,1.0485912133170391e-15,4.810502473090201e-11
11100.0,moving-reference-moisture,1373.7556912825164,-4.845311581124132e-06,4.845311581124132e-06,-4.8453115777336194e-06,-3.390512798631933e-15,2.515549653209534e-11
11400.0,moving-reference-moisture,1386.5949295342753,-4.814440867939647e-06,4.814440867939647e-06,-4.814440866256253e-06,-1.6833941264061437e-15,3.679653941092515e-11
11700.0,moving-reference-moisture,1399.8850850185918,-4.767882210901474e-06,4.767882210901474e-06,-4.767882207214368e-06,-3.687105620277763e-15,2.150191263608965e-11
12000.0,moving-reference-moisture,1413.2444776697705,-4.742554054441426e-06,4.742554054441426e-06,-4.742554054040592e-06,-4.0083377833262726e-16,4.2125870176382955e-11
12300.0,moving-reference-moisture,1426.2691901783307,-4.6958494320825185e-06,4.6958494320825185e-06,-4.695849427658214e-06,-4.424304652294545e-15,3.319283707760069e-11
12600.0,moving-reference-moisture,1438.5333976579973,-4.669669646326211e-06,4.669669646326211e-06,-4.669669645127129e-06,-1.1990818629898162e-15,4.225113870902426e-11
12900.0,moving-reference-moisture,1450.0237497580672,-4.636605260732239e-06,4.636605260732239e-06,-4.636605257269418e-06,-3.4628206132072438e-15,2.328101736680562e-11
13200.0,moving-reference-moisture,1461.0936850279866,-4.597173992937485e-06,4.597173992937485e-06,-4.5971739885213885e-06,-4.416096903035651e-15,3.342082833497483e-11
13500.0,moving-reference-moisture,1471.856952408206,-4.5726303817285526e-06,4.5726303817285526e-06,-4.572630383180124e-06,1.4515713731380088e-15,2.1753509882464943e-11
13800.0,moving-reference-moisture,1482.4332843844757,-4.527019160205567e-06,4.527019160205567e-06,-4.527019155272965e-06,-4.932602347678273e-15,2.6289310607224246e-11
14100.0,moving-reference-moisture,1492.9481432097539,-4.506070036114126e-06,4.506070036114126e-06,-4.506070037718891e-06,1.6047649049454743e-15,2.338197252588214e-11
14400.0,moving-reference-moisture,1503.5326140518873,-4.4773583250740044e-06,4.4773583250740044e-06,-4.477358322653502e-06,-2.42050252589757e-15,2.072244874983869e-11
14700.0,moving-reference-moisture,1514.2930291995035,-4.441539726687568e-06,4.441539726687568e-06,-4.441539722384201e-06,-4.303366982151471e-15,3.2907835863873766e-11
15000.0,moving-reference-moisture,1525.1506851970596,-4.411819942787899e-06,4.411819942787899e-06,-4.411819940253438e-06,-2.534460644555269e-15,2.1935316966299594e-11
15300.0,moving-reference-moisture,1535.958686810848,-4.382750603073647e-06,4.382750603073647e-06,-4.382750600270514e-06,-2.8031335661937024e-15,2.2700101798032926e-11
15600.0,moving-reference-moisture,1546.5638821052055,-4.354314231974337e-06,4.354314231974337e-06,-4.354314229119737e-06,-2.854600135101821e-15,2.3096044884273252e-11
15900.0,moving-reference-moisture,1556.806998144511,-4.326256246774414e-06,4.326256246774414e-06,-4.3262562438933175e-06,-2.8810961727248827e-15,2.347220779109416e-11
16200.0,moving-reference-moisture,1566.5230209632302,-4.298428712988937e-06,4.298428712988937e-06,-4.298428710146283e-06,-2.8426544294466935e-15,2.374486442197272e-11
16500.0,moving-reference-moisture,1575.530660552386,-4.2707028720920774e-06,4.2707028720920774e-06,-4.270702869414633e-06,-2.6774440412165312e-15,2.3977923947199634e-11
16800.0,moving-reference-moisture,1583.946207672391,-4.243245390259055e-06,4.243245390259055e-06,-4.243245387676766e-06,-2.5822892069549304e-15,2.4427504744747867e-11
17100.0,moving-reference-moisture,1592.054919846843,-4.2163385638136065e-06,4.2163385638136065e-06,-4.216338561238029e-06,-2.5755773178808873e-15,2.5133542048803896e-11
17400.0,moving-reference-moisture,1600.15168646394,-4.190206032757017e-06,4.190206032757017e-06,-4.1902060300789276e-06,-2.678089480322339e-15,2.6038953837715386e-11
17700.0,moving-reference-moisture,1608.5406488097613,-4.165023980141886e-06,4.165023980141886e-06,-4.165023977226853e-06,-2.9150325477566262e-15,2.7167729472018686e-11
18000.0,moving-reference-moisture,1617.5356646888022,-4.140934627902234e-06,4.140934627902234e-06,-4.140934624590863e-06,-3.311371122238175e-15,2.8742761039281095e-11
18300.0,moving-reference-moisture,1627.3489162940286,-4.1179579397935794e-06,4.1179579397935794e-06,-4.117957935955135e-06,-3.838444149930741e-15,3.103046330023845e-11
18600.0,moving-reference-moisture,1637.807119084327,-4.09577515994037e-06,4.09577515994037e-06,-4.095775155617058e-06,-4.323312066960468e-15,3.3831152331097646e-11
18900.0,moving-reference-moisture,1648.6469471569706,-4.074055725144362e-06,4.074055725144362e-06,-4.07405572041969e-06,-4.72467185275334e-15,3.772852341681542e-11
19200.0,moving-reference-moisture,1659.5947475578125,-4.052537976122439e-06,4.052537976122439e-06,-4.052537971099838e-06,-5.022601292389937e-15,4.1022866500938405e-11
19500.0,moving-reference-moisture,1670.3658395030309,-4.031012949505266e-06,4.031012949505266e-06,-4.031012944294721e-06,-5.21054435085851e-15,4.263988230096162e-11
19800.0,moving-reference-moisture,1680.66451835383,-4.00931063154012e-06,4.00931063154012e-06,-4.009310626286423e-06,-5.2536972913893275e-15,4.2819426782880534e-11
20100.0,moving-reference-moisture,1690.600394895544,-3.987625917845533e-06,3.987625917845533e-06,-3.987625912551985e-06,-5.293548497491748e-15,4.289312514195197e-11
20400.0,moving-reference-moisture,1700.4399461698388,-3.96624012478304e-06,3.96624012478304e-06,-3.966240119320394e-06,-5.46264591991686e-15,4.414752359411103e-11
20700.0,moving-reference-moisture,1710.1131714941987,-3.945099786592044e-06,3.945099786592044e-06,-3.945099781008522e-06,-5.583522603687732e-15,4.5020041231570745e-11
21000.0,moving-reference-moisture,1719.5478468009794,-3.924149481272078e-06,3.924149481272078e-06,-3.924149475610486e-06,-5.6615919363702666e-15,4.5514732586399546e-11
21300.0,moving-reference-moisture,1728.669634872031,-3.903343633444789e-06,3.903343633444789e-06,-3.903343627755167e-06,-5.689621950660806e-15,4.57214904378615e-11
21600.0,moving-reference-moisture,1737.4022446389488,-3.882642785292838e-06,3.882642785292838e-06,-3.882642779643215e-06,-5.649623360825563e-15,4.580919300795037e-11
21900.0,moving-reference-moisture,1745.6323218975344,-3.861985014950548e-06,3.861985014950548e-06,-3.861985009436242e-06,-5.5143056123369526e-15,4.57944635040106e-11
22200.0,moving-reference-moisture,1753.4172317955504,-3.841447941165268e-06,3.841447941165268e-06,-3.841447935770498e-06,-5.394770628754531e-15,4.6065644439488144e-11
22500.0,moving-reference-moisture,1760.939593437871,-3.8211872249446266e-06,3.8211872249446266e-06,-3.821187219565071e-06,-5.379555375923002e-15,4.678015237992886e-11
22800.0,moving-reference-moisture,1768.3872049511801,-3.8013273247115313e-06,3.8013273247115313e-06,-3.8013273192179873e-06,-5.4935439877668024e-15,4.791333125551117e-11
23100.0,moving-reference-moisture,1775.9528001955557,-3.7819670067293554e-06,3.7819670067293554e-06,-3.7819670009670233e-06,-5.762332105886062e-15,4.950565867467541e-11
23400.0,moving-reference-moisture,1783.8341121292017,-3.763186826555348e-06,3.763186826555348e-06,-3.763186822967246e-06,-3.588101868303838e-15,2.2523244237075678e-11
23700.0,moving-reference-moisture,1792.1373744797045,-3.7449831484792546e-06,3.7449831484792546e-06,-3.7449831445677153e-06,-3.911539281630525e-15,2.339670173160404e-11
24000.0,moving-reference-moisture,1800.7336336725632,-3.727181007687007e-06,3.727181007687007e-06,-3.7271810034799224e-06,-4.207084747037074e-15,2.4416583492111767e-11
24300.0,moving-reference-moisture,1809.4685719713743,-3.7096224161142012e-06,3.7096224161142012e-06,-3.709622411671414e-06,-4.442787334720108e-15,2.5552171215935106e-11
24600.0,moving-reference-moisture,1818.1833605775425,-3.6921823766124946e-06,3.6921823766124946e-06,-3.6921823720124742e-06,-4.600020366653029e-15,2.6524096310213983e-11
24900.0,moving-reference-moisture,1826.7145548781473,-3.674760117596272e-06,3.674760117596272e-06,-3.6747601129237425e-06,-4.6725293515533124e-15,2.706867079468925e-11
25200.0,moving-reference-moisture,1834.8942054824174,-3.657272526062406e-06,3.657272526062406e-06,-3.6572725214065274e-06,-4.655878801392661e-15,2.7158807593403813e-11
25500.0,moving-reference-moisture,1842.910101331674,-3.639901029126745e-06,3.639901029126745e-06,-3.639901024414789e-06,-4.711955770632685e-15,2.7621748064975643e-11
25800.0,moving-reference-moisture,1850.946042423318,-3.6227892333276587e-06,3.6227892333276587e-06,-3.6227892284674764e-06,-4.860182301237451e-15,2.8441018932643362e-11
26100.0,moving-reference-moisture,1858.8214096670677,-3.6057946564510628e-06,3.6057946564510628e-06,-3.605794651542271e-06,-4.908791828014481e-15,2.8929032468471934e-11
26400.0,moving-reference-moisture,1866.3510314438606,-3.588793722667437e-06,3.588793722667437e-06,-3.5887937178094215e-06,-4.8580155909583745e-15,2.915178325349415e-11
26700.0,moving-reference-moisture,1873.345536911005,-3.571686043064582e-06,3.571686043064582e-06,-3.571686039231263e-06,-3.8333187535669055e-15,2.777619310928183e-11
27000.0,moving-reference-moisture,1879.6119976550694,-3.5543871570942846e-06,3.5543871570942846e-06,-3.5543871538301754e-06,-3.2641092248802267e-15,2.7776362934349755e-11
27300.0,moving-reference-moisture,1885.0669394977833,-3.5368994382550592e-06,3.5368994382550592e-06,-3.5368994357297487e-06,-2.5253105711425545e-15,2.8184050843820826e-11
27600.0,moving-reference-moisture,1889.9212872300184,-3.5194185855398854e-06,3.5194185855398854e-06,-3.5194185836572746e-06,-1.882610769886198e-15,2.9090450903882325e-11
27900.0,moving-reference-moisture,1894.4251962310534,-3.5021267397586095e-06,3.5021267397586095e-06,-3.5021267382702464e-06,-1.4883630962349466e-15,3.0033118718315355e-11
28200.0,moving-reference-moisture,1898.8329621710657,-3.4851690012834183e-06,3.4851690012834183e-06,-3.485168999930224e-06,-1.3531944255450526e-15,3.086723462637911e-11
28500.0,moving-reference-moisture,1903.402582552447,-3.4686637691744372e-06,3.4686637691744372e-06,-3.4686637676639403e-06,-1.5104969141796487e-15,3.1497391838069664e-11
28800.0,moving-reference-moisture,1908.395836206109,-3.4527105713771464e-06,3.4527105713771464e-06,-3.4527105693849173e-06,-1.9922291152386397e-15,3.193676391571094e-11
29100.0,moving-reference-moisture,1914.0251237763912,-3.437360351584764e-06,3.437360351584764e-06,-3.4373603488056317e-06,-2.779132464116778e-15,3.240383208634141e-11
29400.0,moving-reference-moisture,1920.1422735919293,-3.42242178660225e-06,3.42242178660225e-06,-3.422421783096132e-06,-3.5061179728555682e-15,3.3176923854711526e-11
29700.0,moving-reference-moisture,1926.4677413862078,-3.4076552110318745e-06,3.4076552110318745e-06,-3.4076552070383175e-06,-3.993557058396685e-15,3.40996360278394e-11
30000.0,moving-reference-moisture,1932.7166151110778,-3.392867884284227e-06,3.392867884284227e-06,-3.3928678801084974e-06,-4.175729704912088e-15,3.484510409694898e-11
30300.0,moving-reference-moisture,1938.5984485598385,-3.377903368186867e-06,3.377903368186867e-06,-3.3779033641855445e-06,-4.0013226564571125e-15,3.527861766825552e-11
30600.0,moving-reference-moisture,1943.8177410111762,-3.362631165996314e-06,3.362631165996314e-06,-3.3626311625779432e-06,-3.41837086523418e-15,3.5618420702991206e-11
30900.0,moving-reference-moisture,1948.3085358229575,-3.347087794444948e-06,3.347087794444948e-06,-3.347087791788562e-06,-2.6563863786313157e-15,3.6371133731585696e-11
31200.0,moving-reference-moisture,1952.3387761039671,-3.3315115272298883e-06,3.3315115272298883e-06,-3.331511525108896e-06,-2.1209925227813967e-15,3.7424587554361005e-11
31500.0,moving-reference-moisture,1956.1129531254928,-3.3160531952850724e-06,3.3160531952850724e-06,-3.3160531934914407e-06,-1.7936316528430283e-15,3.847787678423026e-11
31800.0,moving-reference-moisture,1959.8382342743214,-3.300831166524103e-06,3.300831166524103e-06,-3.3008311648060905e-06,-1.718012362960427e-15,3.9371531098308956e-11
