case_id,candidate,question,axis,space_level,time_level,nr,nz,dt_s,duration_s,fixed_variable,threshold_C,status,threshold_status,failure_reason,runtime_s,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,normalized_moisture_balance_error,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J,latent_integral_J_est,latent_peak_power_W,water_balance_max_abs_kg_s,latent_mass_closure,recorded_temperature_min_C,recorded_temperature_max_C,recorded_temperature_range_C,final_field_temperature_min_C,final_field_temperature_max_C,final_field_temperature_range_C,level,adjacent_from_level,adjacent_event_time_change_interpolated_s,adjacent_event_time_change_reported_s,adjacent_final_max_C_change,adjacent_final_mean_C_change
Q2-space-L,nominal_proxy,Q2,space,L,M,8,8,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,1.0358267999981763,,,10800.0,2.513262453352032,1.766003069468151,4.99933420090495e-11,1.073694916510155e-09,1.6690390957546725e-09,3.3465314999148177e-06,189452.4138009412,46.42273801908125,2.767631535462254e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.030241284614419,27.999999999999943,35.03024128461436,13.208224393477849,22.861885029670248,9.653660636192399,L,,,,,
Q2-space-M,nominal_proxy,Q2,space,M,M,12,12,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,1.5393433000135701,,,10800.0,2.5207786951783078,1.757251568797426,4.99888892526277e-11,2.331157787310127e-09,1.6244301764189717e-09,3.2362184754219925e-06,191354.2313682869,47.21959460240826,5.031081955664436e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.746495245456856,28.000000000000057,35.74649524545691,13.425512586584603,24.172495559171125,10.746982972586522,M,L,,,0.007516241826275749,0.008751500670725054
Q2-space-H,nominal_proxy,Q2,space,H,M,18,18,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,2.401266900007613,,,10800.0,2.5243206259705695,1.7524678379342291,4.998512479650514e-11,8.023454080395718e-10,1.1609438571030662e-09,2.7926662369281985e-06,192383.98949681854,47.55467250331392,2.939909058384538e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-8.111163383581072,28.0,36.11116338358107,13.560875548763647,25.029653356466554,11.468777807702907,H,M,,,0.003541930792261727,0.004783730863196833
Q2-space-X,nominal_proxy,Q2,space,X,M,27,27,120.0,10800.0,dt=M,,PASS,NOT_APPLICABLE,,3.786696299997857,,,10800.0,2.525848751928118,1.7498559956531174,4.9979683260559705e-11,1.1341406464939612e-09,1.0857732106182144e-09,2.1504554297280265e-06,192951.63316263643,47.69080227361116,2.797320379076696e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-8.307307823000713,28.0,36.30730782300071,13.650771247863133,25.517979597155886,11.867208349292753,X,H,,,0.0015281259575483652,0.002611842281111665
Q3-space-L,nominal_proxy,Q3,space,L,M,8,8,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,8.99899199999345,250080.0,250030.02945376872,250080.0,0.14995521349439503,0.12370384767177778,4.9999020603798955e-11,8.430319583028688e-10,1.7159806975850552e-07,5.140983461160431e-06,590498.6792399354,43.833821016559995,2.1819309529188917e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.3226130850349023,49.87557965268019,52.19819273771509,49.87040735456668,49.95042382571614,0.08001647114946309,L,,,,,
Q3-space-M,nominal_proxy,Q3,space,M,M,12,12,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,12.234814700001152,240900.0,240859.60296160428,240900.0,0.14998783501419963,0.12274487040200069,4.9984291050589546e-11,1.0564068848134074e-09,1.244797000914873e-07,4.380029764661231e-06,590307.5056294391,44.41832263691597,2.199286149788364e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2850129696085446,49.86662373633942,52.151636705947965,49.865563475721785,49.95053517608113,0.08497170035934687,M,L,9170.426492164435,9180.0,3.262151980459871e-05,0.0009589772697770893
Q3-space-H,nominal_proxy,Q3,space,H,M,18,18,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,19.25433769999654,237420.0,237415.44380091064,237420.0,0.14994671394956102,0.12206202128468983,4.999999339731119e-11,5.583227592780763e-10,8.506420906828878e-08,3.6790102058148477e-06,590231.0921407096,44.65403980854068,1.7884512840409157e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2392602145440605,49.868025574835315,52.107285789379375,49.864759863483414,49.95153138861957,0.08677152513615738,H,M,3444.1591606936418,3480.0,4.11210646386051e-05,0.0006828491173108547
Q3-space-X,nominal_proxy,Q3,space,X,M,27,27,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,35.8619813999976,235980.0,235935.17279691604,235980.0,0.1499517812995317,0.12166619767351446,4.999606656196313e-11,6.515772386662052e-10,5.374106395446995e-08,3.0521943892303227e-06,590213.8030401849,44.75648607778523,1.370871664341071e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.1921475168886673,49.86460281599875,52.05675033288742,49.86472293599331,49.952972918491525,0.08824998249821192,X,H,1480.271003994596,1440.0,5.067349970688806e-06,0.0003958236111753777
Q4-space-L,nominal_proxy,Q4,space,L,M,8,8,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,10.9039929999999,250920.0,250897.32003276935,250920.0,0.14990173305482765,0.11721582381773198,5.0000062389614876e-11,6.431478342831645e-10,4.3614697538747e-08,3.214798425688059e-06,750854.5300191601,41.77530500052098,1.4666303483907694e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.7567348799306615,49.516413734235186,47.759678854304525,49.52900605324089,49.83724529771854,0.3082392444776474,L,,,,,
Q4-space-M,nominal_proxy,Q4,space,M,M,12,12,300.0,259200.0,dt=M,0.149999,PASS,REACHED,,14.885844599994016,246360.0,246336.21787802817,246360.0,0.14986862960211755,0.11646673112127366,4.9997782146809367e-11,5.387376525696997e-10,5.345503778362657e-08,3.297541070423904e-06,750360.4639479689,44.80059955390941,1.659095461654849e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9367029391270307,49.52298042538291,47.58627748625588,49.53090296179204,49.851896428609905,0.32099346681786756,M,L,4561.10215474118,4560.0,3.310345271009818e-05,0.0007490926964583144
