case_id,candidate,question,axis,space_level,time_level,nr,nz,dt_s,duration_s,fixed_variable,threshold_C,status,threshold_status,failure_reason,runtime_s,reported_event_time_s,interpolated_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,normalized_moisture_balance_error,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J,latent_integral_J_est,latent_peak_power_W,water_balance_max_abs_kg_s,latent_mass_closure,recorded_temperature_min_C,recorded_temperature_max_C,recorded_temperature_range_C,final_field_temperature_min_C,final_field_temperature_max_C,final_field_temperature_range_C,level,adjacent_from_level,adjacent_event_time_change_interpolated_s,adjacent_event_time_change_reported_s,adjacent_final_max_C_change,adjacent_final_mean_C_change
Q2-time-L,nominal_proxy,Q2,time,M,L,12,12,240.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,1.0698587999941083,,,10800.0,2.518709163647981,1.7580157425008414,4.9838969606656625e-11,8.989201493746134e-10,9.493253245580875e-10,3.6273585237722727e-06,188499.92282080845,45.207990480716774,1.7306478922477983e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.741123812013257,28.000000000000057,35.74112381201331,13.375640710432378,24.096321558548993,10.720680848116615,L,,,,,
Q2-time-M,nominal_proxy,Q2,time,M,M,12,12,120.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,1.4569748000067193,,,10800.0,2.5207786951783078,1.757251568797426,4.99888892526277e-11,2.331157787310127e-09,1.6244301764189717e-09,3.2362184754219925e-06,191354.2313682869,47.21959460240826,5.031081955664436e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.746495245456856,28.000000000000057,35.74649524545691,13.425512586584603,24.172495559171125,10.746982972586522,M,L,,,0.0020695315303269624,0.0007641737034154161
Q2-time-H,nominal_proxy,Q2,time,M,H,12,12,60.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,2.6028596999967704,,,10800.0,2.5217932696767615,1.7568223513671855,4.994832902187475e-11,1.3923918677150267e-09,3.992399384451254e-09,3.8301642319993334e-06,192868.14539328974,48.64857598667026,7.889046336226162e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.778362533758184,28.000000000000057,35.77836253375824,13.468203022395642,24.21342008058116,10.745217058185517,H,M,,,0.0010145744984537686,0.00042921743024049164
Q2-time-X,nominal_proxy,Q2,time,M,X,12,12,30.0,10800.0,grid=M,,PASS,NOT_APPLICABLE,,4.147636500012595,,,10800.0,2.5223300750084308,1.756673135072196,4.9994975069576814e-11,1.0293622180089339e-09,4.7625909781598946e-09,2.585405582067324e-06,193637.85707298203,49.611725271899985,4.28673472790248e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-7.8000479571987285,28.000000000000057,35.800047957198785,13.478069216038023,24.230614749637994,10.752545533599971,X,H,,,0.0005368053316692212,0.00014921629498942934
Q3-time-L,nominal_proxy,Q3,time,M,L,12,12,600.0,259200.0,grid=M,0.149999,PASS,REACHED,,12.813795800000662,241800.0,241740.08016494435,241800.0,0.14998244163776456,0.1227422152843491,4.999976454058606e-11,2.650354835062004e-10,1.5685703147004605e-07,5.300100197835889e-06,586613.0697624828,41.46110573987255,4.81230588147627e-15,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-1.9486243100654406,49.86944210366448,51.81806641372992,49.86537577647209,49.950471312323884,0.08509553585179219,L,,,,,
Q3-time-M,nominal_proxy,Q3,time,M,M,12,12,300.0,259200.0,grid=M,0.149999,PASS,REACHED,,13.139882699993905,240900.0,240859.60296160428,240900.0,0.14998783501419963,0.12274487040200069,4.9984291050589546e-11,1.0564068848134074e-09,1.244797000914873e-07,4.380029764661231e-06,590307.5056294391,44.41832263691597,2.199286149788364e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.2850129696085446,49.86662373633942,52.151636705947965,49.865563475721785,49.95053517608113,0.08497170035934687,M,L,880.4772033400659,900.0,5.393376435069985e-06,2.6551176515871022e-06
Q3-time-H,nominal_proxy,Q3,time,M,H,12,12,150.0,259200.0,grid=M,0.149999,PASS,REACHED,,19.398341599997366,240480.0,240420.53948772664,240480.0,0.14999085699905815,0.12274636673366837,4.9998646353873225e-11,1.3576877502601696e-09,1.250712409487215e-07,3.890478637913475e-06,592390.4870551198,46.64162391910713,3.992732217712649e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.4330081025206027,49.86722117855385,52.30022928107445,49.86565549439081,49.95056685501578,0.08491136062497162,H,M,439.06347387764254,420.0,3.0219848585200104e-06,1.4963316676830374e-06
Q3-time-X,nominal_proxy,Q3,time,M,X,12,12,75.0,259200.0,grid=M,0.149999,PASS,REACHED,,29.417896600003587,240240.0,240202.00587430436,240240.0,0.1499926440203484,0.12274728626230189,5.0000067978773016e-11,2.059222979123877e-09,1.1635591913438398e-07,3.5849614441474387e-06,593528.1454082022,48.24484891307714,7.047216881773434e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,-2.493108202273959,49.86751726846751,52.36062547074147,49.865700301342656,49.950582370674226,0.08488206933157016,X,H,218.53361342227436,240.0,1.7870212902504345e-06,9.195286335139663e-07
Q4-time-L,nominal_proxy,Q4,time,M,L,12,12,600.0,259200.0,grid=M,0.149999,PASS,REACHED,,10.470643399996334,247140.0,247113.81721474492,247140.0,0.14995631367917805,0.11652623781923031,4.9998293959147565e-11,6.180791519205948e-10,3.713247789238587e-08,4.288672251107073e-06,748583.9337130069,40.71006973442931,4.581136190610468e-15,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,2.017515959365312,49.51789206687289,47.50037610750758,49.529181215557855,49.85137933776059,0.32219812220273525,L,,,,,
Q4-time-M,nominal_proxy,Q4,time,M,M,12,12,300.0,259200.0,grid=M,0.149999,PASS,REACHED,,20.103243099991232,246360.0,246336.21787802817,246360.0,0.14986862960211755,0.11646673112127366,4.9997782146809367e-11,5.387376525696997e-10,5.345503778362657e-08,3.297541070423904e-06,750360.4639479689,44.80059955390941,1.659095461654849e-14,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.9367029391270307,49.52298042538291,47.58627748625588,49.53090296179204,49.851896428609905,0.32099346681786756,M,L,777.5993367167539,780.0,8.768407706050141e-05,5.9506697956651644e-05
