label,group,alpha,nr,nz,dt,duration,hm_mode,hm_value,airflow_u,thermal_mode,radiation_on,terminal_window_s,runtime_s,steps_completed,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,max_picard_update,max_normalized_moisture_balance_error,max_robin_boundary_relative_residual,max_geometry_relative_error,max_boundary_area_relative_error,max_dry_solid_inventory_relative_error,max_local_dry_cell_mass_relative_error,max_analytic_dry_continuity_relative_residual,max_abs_Rdot_m_s,max_abs_Ldot_m_s,max_abs_axial_material_speed_m_s,hm_min_m_s,hm_max_m_s,hrad_min_W_m2K,hrad_max_W_m2K,threshold,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,radius_at_final_m,length_at_final_m,volume_ratio_final,dry_density_ratio_final
length-A-no-axial-shrink,length_sensitivity,0.0,10,20,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,5.866815299988957,3116,8,4.997655955126072e-11,5,9.987319260496008e-08,2.3595536177647853e-09,3.3054177795781256e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,8e-07,8e-07,0.0,0.0,0.149999,"(186900.0, 186960.0, 0.150026011055901, 0.14999613991215757)",186954.25514898193,186960.0,186960.0,0.14999613991215757,0.11734516143385636,0.012,0.25,0.35999999999999993,2.7777777777777786
length-B-radius-proportional,length_sensitivity,1.0,10,20,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,6.148141900004703,3116,8,4.999900853654491e-11,5,9.987258678401112e-08,2.33539431436897e-09,3.381672621887729e-07,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.086420008457935e-14,3.086420008457935e-14,8.354541531823089e-07,1.044317691477886e-05,5.22158845738943e-06,8e-07,8e-07,0.0,0.0,0.149999,"(186900.0, 186960.0, 0.15002516257214168, 0.14999529134626188)",186952.55071669366,186960.0,186960.0,0.14999529134626188,0.1159371747765793,0.012,0.15,0.216,4.629629629629631
length-C-upper-envelope-alpha2,length_sensitivity,2.0,10,20,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,6.039440100008505,3112,8,4.9999842507872367e-11,5,9.996240390997002e-08,2.7428860877977635e-09,2.296405891451386e-07,3.3306690738754696e-16,4.440892098500626e-16,6.661338147750939e-16,3.2085445411667024e-14,3.2085445411667024e-14,8.354541531823089e-07,2.08601255034644e-05,1.04300627517322e-05,8e-07,8e-07,0.0,0.0,0.149999,"(186660.0, 186720.0, 0.15002148691379902, 0.14999155140400414)",186705.0707149197,186720.0,186720.0,0.14999155140400414,0.113656841149396,0.012,0.09,0.12960000000000002,7.716049382716052
hm-fixed-low-0.8,hm_fixed_interval,0.0,10,20,60.0,259200.0,frozen,6.4e-07,0.0,prescribed,False,3600,6.278598200005945,3152,8,4.996390306451185e-11,5,9.998252158138765e-08,2.2978181708678007e-09,3.218524435909892e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,6.4e-07,6.4e-07,0.0,0.0,0.149999,"(189060.0, 189120.0, 0.15001446771971996, 0.14998457564505227)",189091.04713184063,189120.0,189120.0,0.14998457564505227,0.11731855346881949,0.012,0.25,0.35999999999999993,2.7777777777777786
hm-fixed-base-1.0,hm_fixed_interval,0.0,10,20,60.0,259200.0,frozen,8e-07,0.0,prescribed,False,3600,6.009225100002368,3116,8,4.997655955126072e-11,5,9.987319260496008e-08,2.3595536177647853e-09,3.3054177795781256e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,8e-07,8e-07,0.0,0.0,0.149999,"(186900.0, 186960.0, 0.150026011055901, 0.14999613991215757)",186954.25514898193,186960.0,186960.0,0.14999613991215757,0.11734516143385636,0.012,0.25,0.35999999999999993,2.7777777777777786
hm-fixed-high-1.2,hm_fixed_interval,0.0,10,20,60.0,259200.0,frozen,9.6e-07,0.0,prescribed,False,3600,5.638384199992288,3097,8,4.999339932832945e-11,5,9.999749900346799e-08,2.269074366367284e-09,3.3506900597659663e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,9.6e-07,9.6e-07,0.0,0.0,0.149999,"(185760.0, 185820.0, 0.15001859642028734, 0.1499887532812387)",185799.398845253,185820.0,185820.0,0.1499887532812387,0.11735340823084285,0.012,0.25,0.35999999999999993,2.7777777777777786
airflow-u0mps,airflow_correlation,0.0,10,20,60.0,259200.0,airflow_correlation,8e-07,0.0,prescribed,False,3600,8.290727799991146,4320,8,4.999886904097496e-11,3,3.468787346250224e-08,3.1980582106849313e-09,2.1676973795460004e-13,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,1.0024191650125273e-08,1.6692934310537722e-08,0.0,0.0,0.149999,,,,259200.0,1.3578424327936227,1.2924391387260437,0.01198,0.25,0.358801,2.787060236732897
airflow-u0.5mps,airflow_correlation,0.0,10,20,60.0,259200.0,airflow_correlation,8e-07,0.5,prescribed,False,3600,5.904873200008296,3145,8,4.999149006635349e-11,5,9.999766838186819e-08,2.38280061794733e-09,3.272968005567115e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,5.617838310534062e-07,7.232087729117813e-07,0.0,0.0,0.149999,"(188640.0, 188700.0, 0.15000860866357618, 0.14997873715204849)",188659.29998801823,188700.0,188700.0,0.14997873715204849,0.1173249899138791,0.012,0.25,0.35999999999999993,2.7777777777777786
airflow-u1mps,airflow_correlation,0.0,10,20,60.0,259200.0,airflow_correlation,8e-07,1.0,prescribed,False,3600,5.952681700000539,3101,8,4.9975697822744885e-11,5,9.981606012565702e-08,2.0107590409801115e-09,3.363200492594098e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,8.009695729619163e-07,1.0258748580081307e-06,0.0,0.0,0.149999,"(186000.0, 186060.0, 0.15000627408301084, 0.1499764477067599)",186014.63285304856,186060.0,186060.0,0.1499764477067599,0.11734943310447556,0.012,0.25,0.35999999999999993,2.7777777777777786
airflow-u2mps,airflow_correlation,0.0,10,20,60.0,259200.0,airflow_correlation,8e-07,2.0,prescribed,False,3600,6.246823599998606,3079,8,4.9998036535296174e-11,5,9.993311761435919e-08,1.4383698983175476e-09,3.3842504517241617e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,1.151696100874322e-06,1.4656583128680791e-06,0.0,0.0,0.149999,"(184680.0, 184740.0, 0.15001574164438547, 0.1499859450391241)",184713.71184919614,184740.0,184740.0,0.1499859450391241,0.11737511069507148,0.012,0.25,0.35999999999999993,2.7777777777777786
airflow-u4mps,airflow_correlation,0.0,10,20,60.0,259200.0,airflow_correlation,8e-07,4.0,prescribed,False,3600,9.719993299993803,3070,8,4.997196642877419e-11,5,9.992978688977416e-08,6.313048661786285e-10,3.053528914254123e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,1.6746663370794138e-06,2.1130744962213796e-06,0.0,0.0,0.149999,"(184140.0, 184200.0, 0.1500112033603139, 0.1499814391442369)",184164.60006394726,184200.0,184200.0,0.1499814391442369,0.1173861109127188,0.012,0.25,0.35999999999999993,2.7777777777777786
radiation-off-low-order,radiation_low_order,0.0,10,20,60.0,259200.0,frozen,8e-07,0.0,solved,False,3600,13.122907600001781,3121,27,4.99960097048431e-11,5,9.993953972720071e-08,2.143907480956943e-09,3.3084287082466386e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,8e-07,8e-07,0.0,0.0,0.149999,"(187200.0, 187260.0, 0.15001828593577052, 0.14998842046074695)",187238.74561329823,187260.0,187260.0,0.14998842046074695,0.11733746189087191,0.012,0.25,0.35999999999999993,2.7777777777777786
radiation-on-low-order,radiation_low_order,0.0,10,20,60.0,259200.0,frozen,8e-07,0.0,solved,True,3600,9.73403170000529,3120,27,4.9997393042621395e-11,5,9.994196724372184e-08,2.1256874438673073e-09,3.308206832280965e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,6.439293542825908e-15,8.354541531823089e-07,0.0,0.0,8e-07,8e-07,5.593331245535878,6.898466292243013,0.149999,"(187140.0, 187200.0, 0.15002171617945106, 0.1499918481871407)",187185.63315648743,187200.0,187200.0,0.1499918481871407,0.11734033898455529,0.012,0.25,0.35999999999999993,2.7777777777777786
