label,group,nr,nz,dt_s,alpha,hm_mode,airflow_u_m_s,thermal_mode,radiation_on,hm_min_m_s,hm_max_m_s,hrad_min_W_m2K,hrad_max_W_m2K,reported_event_time_s,final_max_C,max_normalized_moisture_balance_error,max_robin_boundary_relative_residual,max_geometry_relative_error,max_boundary_area_relative_error,max_dry_solid_inventory_relative_error,max_local_dry_cell_mass_relative_error,volume_ratio_final,dry_density_ratio_final
length-A-no-axial-shrink,length_sensitivity,10,20,60,0,frozen,0,prescribed,false,8e-7,8e-7,0,0,186960,0.14999613991215757,2.3595536177647853e-09,3.3054177795781256e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
length-B-radius-proportional,length_sensitivity,10,20,60,1,frozen,0,prescribed,false,8e-7,8e-7,0,0,186960,0.14999529134626188,2.33539431436897e-09,3.381672621887729e-07,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.086420008457935e-14,0.216,4.629629629629631
length-C-upper-envelope-alpha2,length_sensitivity,10,20,60,2,frozen,0,prescribed,false,8e-7,8e-7,0,0,186720,0.14999155140400414,2.7428860877977635e-09,2.296405891451386e-07,3.3306690738754696e-16,4.440892098500626e-16,6.661338147750939e-16,3.2085445411667024e-14,0.1296,7.716049382716052
hm-fixed-low-0.8,hm_fixed_interval,10,20,60,0,frozen,0,prescribed,false,6.4e-7,6.4e-7,0,0,189120,0.14998457564505227,2.2978181708678007e-09,3.218524435909892e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
hm-fixed-base-1.0,hm_fixed_interval,10,20,60,0,frozen,0,prescribed,false,8e-7,8e-7,0,0,186960,0.14999613991215757,2.3595536177647853e-09,3.3054177795781256e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
hm-fixed-high-1.2,hm_fixed_interval,10,20,60,0,frozen,0,prescribed,false,9.6e-7,9.6e-7,0,0,185820,0.1499887532812387,2.269074366367284e-09,3.3506900597659663e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
airflow-u0mps,airflow_correlation,10,20,60,0,airflow_correlation,0,prescribed,false,1.0024191650125273e-08,1.6692934310537722e-08,0,0,,1.3578424327936227,3.1980582106849313e-09,2.1676973795460004e-13,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.358801,2.787060236732897
airflow-u0.5mps,airflow_correlation,10,20,60,0,airflow_correlation,0.5,prescribed,false,5.617838310534062e-07,7.232087729117813e-07,0,0,188700,0.14997873715204849,2.38280061794733e-09,3.272968005567115e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
airflow-u1mps,airflow_correlation,10,20,60,0,airflow_correlation,1,prescribed,false,8.009695729619163e-07,1.0258748580081307e-06,0,0,186060,0.1499764477067599,2.0107590409801115e-09,3.363200492594098e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
airflow-u2mps,airflow_correlation,10,20,60,0,airflow_correlation,2,prescribed,false,1.151696100874322e-06,1.465658312868079e-06,0,0,184740,0.1499859450391241,1.4383698983175476e-09,3.3842504517241617e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
airflow-u4mps,airflow_correlation,10,20,60,0,airflow_correlation,4,prescribed,false,1.6746663370794138e-06,2.1130744962213796e-06,0,0,184200,0.1499814391442369,6.313048661786285e-10,3.053528914254123e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
radiation-off-low-order,radiation_low_order,10,20,60,0,frozen,0,solved,false,8e-7,8e-7,0,0,187260,0.14998842046074695,2.143907480956943e-09,3.3084287082466386e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
radiation-on-low-order,radiation_low_order,10,20,60,0,frozen,0,solved,true,8e-7,8e-7,5.593331245535878,6.898466292243013,187200,0.1499918481871407,2.1256874438673073e-09,3.308206832280965e-07,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,6.439293542825908e-15,0.36,2.7777777777777786
length-A-fine-control,convergence_control,210,32,60,0,frozen,0,prescribed,false,8e-7,8e-7,0,0,183840,0.14997294756797835,9.833421924544145e-10,1.3263356879854438e-07,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,2.383648833870211e-13,0.36,2.7777777777777786
length-B-radius-proportional-fine-control,convergence_control,210,32,60,1,frozen,0,prescribed,false,8e-7,8e-7,0,0,183840,0.1499724329181462,9.578443485900733e-10,1.3568285971411556e-07,2.220446049250313e-16,3.3306690738754696e-16,4.440892098500626e-16,2.524647157997606e-13,0.216,4.6296296296296315
length-C-upper-envelope-alpha2-fine-control,convergence_control,210,32,60,2,frozen,0,prescribed,false,8e-7,8e-7,0,0,183600,0.1499842662296509,9.075642391876205e-10,1.4071562782481927e-07,3.3306690738754696e-16,3.3306690738754696e-16,6.661338147750939e-16,2.8754776337791554e-13,0.1296,7.716049382716052
