question,scenario,status,delta_final_max_C,delta_final_mean_C,delta_event_time_s,max_physical_heat_balance_relative,water_balance_max_abs_kg_s,component_mode,bound_fraction,release_tau_s
Q2,nominal_proxy,PASS,0.7559590824813689,0.4249287882657764,,1.6244301764189717e-09,5.031081955664436e-14,liquid_surface,0.0,0.0
Q2,component_bound_low,PASS,0.7559590824813689,0.4249287882657764,,1.6244301764189717e-09,5.031081955664436e-14,liquid_gas_bound,0.0,21600.0
Q2,component_bound_nominal,PASS,0.748319612929558,0.40705671667926135,,1.6768959398319545e-09,4.5939668762888866e-14,liquid_gas_bound,0.1,7200.0
Q2,component_bound_high,PASS,0.7509764450739731,0.41114709752142353,,1.6001484686144215e-09,4.4413118880292854e-14,liquid_gas_bound,0.2,1800.0
Q3,nominal_proxy,PASS,5.144787285166208e-05,-0.00015248771712964015,27480.0,1.244797000914873e-07,2.199286149788364e-14,liquid_surface,0.0,0.0
Q3,component_bound_low,PASS,5.144787285166208e-05,-0.00015248771712964015,27480.0,1.244797000914873e-07,2.199286149788364e-14,liquid_gas_bound,0.0,21600.0
Q3,component_bound_nominal,PASS,2.1078887649933487e-05,-0.00017336990068282654,27060.0,1.2464885710936194e-07,2.1263653374691254e-14,liquid_gas_bound,0.1,7200.0
Q3,component_bound_high,PASS,-1.4511996960814288e-05,-0.0001986380834236856,27240.0,1.2453613349787835e-07,2.0008805403553057e-14,liquid_gas_bound,0.2,1800.0
Q4,nominal_proxy,PASS,-9.079681194359979e-05,-0.0005145850571452171,59520.0,5.345503778362657e-08,1.659095461654849e-14,liquid_surface,0.0,0.0
Q4,component_bound_low,PASS,-9.079681194359979e-05,-0.0005145850571452171,59520.0,5.345503778362657e-08,1.659095461654849e-14,liquid_gas_bound,0.0,21600.0
Q4,component_bound_nominal,PASS,-2.93820547592194e-06,-0.0004578789244431697,59100.0,5.342332310099121e-08,1.702328531502477e-14,liquid_gas_bound,0.1,7200.0
Q4,component_bound_high,PASS,-5.8029506412843324e-05,-0.0004935907080499541,59280.0,5.339451897070284e-08,1.1146760462354618e-14,liquid_gas_bound,0.2,1800.0
