scenario,question,axis,space_level,time_level,nr,nz,dt_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,temperature_range_C,max_physical_heat_balance_relative,water_balance_max_abs_kg_s
no_latent,Q2,space,L,M,8.0,8.0,120.0,1.759966371321822,1.3352011604899607,,,21.80414615749686,1.642789793421251e-06,3.501694173881943e-14
no_latent,Q2,space,M,M,12.0,12.0,120.0,1.7648196126969389,1.3323227805316495,,,21.80401789108157,1.0446500478544785e-06,3.238646398046226e-14
no_latent,Q2,space,H,M,18.0,18.0,120.0,1.7670685584349872,1.3309726822925314,,,21.803943484713443,9.576342501205204e-07,3.78682426805917e-14
no_latent,Q3,space,L,M,8.0,8.0,300.0,0.14995785912892948,0.12387628589070786,221880.0,221841.08277370883,22.024727920874795,3.226372733255989e-06,2.2124542933929688e-14
no_latent,Q3,space,M,M,12.0,12.0,300.0,0.14993638714134797,0.12289735811913033,213420.0,213374.19495377087,22.024535468151498,4.0753448424801775e-06,1.5035160074415577e-14
no_latent,Q3,space,H,M,18.0,18.0,300.0,0.1499952950261403,0.12229254694102548,210300.0,210287.00624195047,22.024443795715285,3.5021749178465456e-06,1.3869039651535214e-14
no_latent,Q4,space,L,M,8.0,8.0,300.0,0.14999223099787928,0.11769997556747779,189900.0,189886.1250996116,22.021690015838203,1.011941552101014e-08,2.4278476568029804e-14
no_latent,Q4,space,M,M,12.0,12.0,300.0,0.14995942641406115,0.11698131617841888,186840.0,186821.2146792596,22.02155482284411,1.490260663433556e-08,1.9953755038245105e-14
no_latent,Q4,space,H,M,18.0,18.0,300.0,0.14994121191675344,0.1165790169346745,185640.0,185586.26261226917,22.02149255765886,1.8139736147528355e-08,1.4806489977777122e-14
nominal_proxy,Q2,space,L,M,8.0,8.0,120.0,2.513262453352032,1.766003069468151,,,33.6464154126117,1.6690390957546725e-09,2.767631535462254e-14
nominal_proxy,Q2,space,M,M,12.0,12.0,120.0,2.5207786951783078,1.757251568797426,,,33.75718096411322,1.6244301764189717e-09,5.031081955664436e-14
nominal_proxy,Q2,space,H,M,18.0,18.0,120.0,2.5243206259705695,1.7524678379342291,,,33.7675830509483,1.1609438571030662e-09,2.939909058384538e-14
nominal_proxy,Q3,space,L,M,8.0,8.0,300.0,0.14995521349439503,0.12370384767177778,250080.0,250030.02945376872,52.191103845672615,1.7159806975850552e-07,2.1819309529188917e-14
nominal_proxy,Q3,space,M,M,12.0,12.0,300.0,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,1.244797000914873e-07,2.199286149788364e-14
nominal_proxy,Q3,space,H,M,18.0,18.0,300.0,0.14994671394956102,0.12206202128468983,237420.0,237415.44380091064,52.104007839716246,8.506420906828878e-08,1.7884512840409157e-14
nominal_proxy,Q4,space,L,M,8.0,8.0,300.0,0.14990173305482765,0.11721582381773198,250920.0,250897.32003276935,47.75780474985447,4.3614697538747e-08,1.4666303483907694e-14
nominal_proxy,Q4,space,M,M,12.0,12.0,300.0,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,5.345503778362657e-08,1.659095461654849e-14
nominal_proxy,Q4,space,H,M,18.0,18.0,300.0,0.14988962783165438,0.11607588583513537,244320.0,244281.47612926477,47.349998968600175,5.2137841656613666e-08,1.7635004039202352e-14
no_latent,Q2,time,M,L,12.0,12.0,240.0,1.7672210896081553,1.334577244091738,,,21.771294352687164,1.490777883283558e-07,2.5534933054734837e-14
no_latent,Q2,time,M,M,12.0,12.0,120.0,1.7648196126969389,1.3323227805316495,,,21.80401789108157,1.0446500478544785e-06,3.238646398046226e-14
no_latent,Q2,time,M,H,12.0,12.0,60.0,1.763312873195944,1.3311196135520311,,,21.845821046728076,1.4200502072014842e-06,6.514702853240885e-14
no_latent,Q2,time,M,X,12.0,12.0,30.0,1.7627022208617642,1.3305625692370422,,,21.848541049994196,2.662475467193892e-06,6.24200144290531e-14
no_latent,Q3,time,M,L,12.0,12.0,600.0,0.14986481871778942,0.1228476398415277,214320.0,214315.00717468484,22.000308205517058,4.650108874529324e-06,1.103035272441346e-14
no_latent,Q3,time,M,M,12.0,12.0,300.0,0.14993638714134797,0.12289735811913033,213420.0,213374.19495377087,22.024535468151498,4.0753448424801775e-06,1.5035160074415577e-14
no_latent,Q3,time,M,H,12.0,12.0,150.0,0.1499719437876814,0.12292202230679608,212940.0,212902.53380224042,22.023483052688846,2.0378901309772626e-06,4.4721039073542315e-14
no_latent,Q3,time,M,X,12.0,12.0,75.0,0.1499897150833393,0.12293436754330783,212700.0,212666.57099660204,21.999024956608764,2.3412702939706875e-06,6.778721328834156e-14
no_latent,Q4,time,M,L,12.0,12.0,600.0,0.14986407050327413,0.11691905085547272,187560.0,187530.75895693287,21.999992343109852,1.4583014756617494e-08,9.812766579657926e-15
no_latent,Q4,time,M,M,12.0,12.0,300.0,0.14995942641406115,0.11698131617841888,186840.0,186821.2146792596,22.02155482284411,1.490260663433556e-08,1.9953755038245105e-14
no_latent,Q4,time,M,H,12.0,12.0,150.0,0.14993178010324973,0.11696244671332265,186480.0,186466.07990531749,22.02138149090257,1.458596176554414e-08,3.315418923286514e-14
no_latent,Q4,time,M,X,12.0,12.0,75.0,0.14999334572994624,0.11700303091694814,186300.0,186288.75206463513,21.998940246321183,1.5272696219735967e-08,1.1266565818853803e-13
nominal_proxy,Q2,time,M,L,12.0,12.0,240.0,2.518709163647981,1.7580157425008414,,,33.45466313013196,9.493253245580875e-10,1.7306478922477983e-14
nominal_proxy,Q2,time,M,M,12.0,12.0,120.0,2.5207786951783078,1.757251568797426,,,33.75718096411322,1.6244301764189717e-09,5.031081955664436e-14
nominal_proxy,Q2,time,M,H,12.0,12.0,60.0,2.5217932696767615,1.7568223513671855,,,34.14572878435007,3.992399384451254e-09,7.889046336226162e-14
nominal_proxy,Q2,time,M,X,12.0,12.0,30.0,2.5223300750084308,1.756673135072196,,,34.34479828457694,4.7625909781598946e-09,4.28673472790248e-14
nominal_proxy,Q3,time,M,L,12.0,12.0,600.0,0.14998244163776456,0.1227422152843491,241800.0,241740.08016494435,51.813293334010154,1.5685703147004605e-07,4.81230588147627e-15
nominal_proxy,Q3,time,M,M,12.0,12.0,300.0,0.14998783501419963,0.12274487040200069,240900.0,240859.60296160428,52.14675445891851,1.244797000914873e-07,2.199286149788364e-14
nominal_proxy,Q3,time,M,H,12.0,12.0,150.0,0.14999085699905815,0.12274636673366837,240480.0,240420.53948772664,52.29537088685038,1.250712409487215e-07,3.992732217712649e-14
nominal_proxy,Q3,time,M,X,12.0,12.0,75.0,0.1499926440203484,0.12274728626230189,240240.0,240202.00587430436,52.35577890144839,1.1635591913438398e-07,7.047216881773434e-14
nominal_proxy,Q4,time,M,L,12.0,12.0,600.0,0.14995631367917805,0.11652623781923031,247140.0,247113.81721474492,47.49843255853165,3.713247789238587e-08,4.581136190610468e-15
nominal_proxy,Q4,time,M,M,12.0,12.0,300.0,0.14986862960211755,0.11646673112127366,246360.0,246336.21787802817,47.58436583583716,5.345503778362657e-08,1.659095461654849e-14
nominal_proxy,Q4,time,M,H,12.0,12.0,150.0,0.1499676732905679,0.1165301924258947,245940.0,245936.76671316728,47.59252059564773,5.238992728245454e-08,2.407303889106864e-14
nominal_proxy,Q4,time,M,X,12.0,12.0,75.0,0.14997849841118482,0.11653657084274038,245760.0,245733.6278702113,47.574000057318756,6.283704831723784e-08,5.668100368130379e-14
no_latent,Q2,space,X,M,27.0,27.0,120.0,1.7680918042880926,1.3303556347324077,,,21.80390617713516,7.955915525825752e-07,4.3658747949336385e-14
