scenario,question,level,time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
no_latent,Q2,L,120.0,fixed-domain-moisture,650.0,-1.934158223786168e-05,1.934158223786168e-05,-1.9341582272878622e-05,3.501694173881943e-14,3.739984069007532e-11
no_latent,Q2,L,240.0,fixed-domain-moisture,650.0,-1.8429558565931578e-05,1.8429558565931578e-05,-1.8429558573274774e-05,7.343196282158862e-15,6.676684793809421e-12
no_latent,Q2,L,360.0,fixed-domain-moisture,650.0,-1.772882304233183e-05,1.772882304233183e-05,-1.7728823043614633e-05,1.2828042935623257e-15,1.586024662265488e-12
no_latent,Q2,L,480.0,fixed-domain-moisture,650.0,-1.7159385532422006e-05,1.7159385532422006e-05,-1.7159385534820302e-05,2.398295863119404e-15,1.8085247724961592e-12
no_latent,Q2,L,600.0,fixed-domain-moisture,650.0,-1.6684068404748366e-05,1.6684068404748366e-05,-1.668406840939816e-05,4.64979414021606e-15,2.948321315740326e-12
no_latent,Q2,L,720.0,fixed-domain-moisture,650.0,-1.6279065988920865e-05,1.6279065988920865e-05,-1.627906599723577e-05,8.314905702985417e-15,4.73224360781032e-12
no_latent,Q2,L,840.0,fixed-domain-moisture,650.0,-1.592139745532916e-05,1.592139745532916e-05,-1.5921397466130872e-05,1.0801713120961107e-14,6.555045392749413e-12
no_latent,Q2,L,960.0,fixed-domain-moisture,650.0,-1.560668048454192e-05,1.560668048454192e-05,-1.5606680493003817e-05,8.46189641252014e-15,7.493415329131849e-12
no_latent,Q2,L,1080.0,fixed-domain-moisture,650.0,-1.5322917533223905e-05,1.5322917533223905e-05,-1.5322917535585958e-05,2.362053017372287e-15,1.000520585899126e-11
no_latent,Q2,L,1200.0,fixed-domain-moisture,650.0,-1.5065919038444784e-05,1.5065919038444784e-05,-1.5065919032637412e-05,-5.807371388790415e-15,1.5015415001200494e-11
no_latent,Q2,L,1320.0,fixed-domain-moisture,650.0,-1.4834608063620239e-05,1.4834608063620239e-05,-1.4834608051193506e-05,-1.2426732277741326e-14,1.9315394652237372e-11
no_latent,Q2,L,1440.0,fixed-domain-moisture,650.0,-1.4619809874912725e-05,1.4619809874912725e-05,-1.4619809856810287e-05,-1.8102437477078744e-14,2.3967937435307097e-11
no_latent,Q2,L,1560.0,fixed-domain-moisture,650.0,-1.4420704154440852e-05,1.4420704154440852e-05,-1.442070413370719e-05,-2.0733662318495397e-14,2.6699833060347352e-11
no_latent,Q2,L,1680.0,fixed-domain-moisture,650.0,-1.4235342145982204e-05,1.4235342145982204e-05,-1.4235342124383702e-05,-2.1598501592366877e-14,2.750288488416069e-11
no_latent,Q2,L,1800.0,fixed-domain-moisture,650.0,-1.4065203197554286e-05,1.4065203197554286e-05,-1.406520318470152e-05,-1.2852766133287716e-14,1.6881419974986245e-11
no_latent,Q2,L,1920.0,fixed-domain-moisture,650.0,-1.3903153685925997e-05,1.3903153685925997e-05,-1.3903153672563465e-05,-1.3362532583801982e-14,1.8671686750431166e-11
no_latent,Q2,L,2040.0,fixed-domain-moisture,650.0,-1.3753539803145177e-05,1.3753539803145177e-05,-1.3753539789012401e-05,-1.4132775218124102e-14,1.7686775709254156e-11
no_latent,Q2,L,2160.0,fixed-domain-moisture,650.0,-1.3610117857542324e-05,1.3610117857542324e-05,-1.3610117843291598e-05,-1.4250726250095158e-14,1.779076620659442e-11
no_latent,Q2,L,2280.0,fixed-domain-moisture,650.0,-1.3474441077141733e-05,1.3474441077141733e-05,-1.3474441062827734e-05,-1.4313999611255054e-14,1.6987950139055992e-11
no_latent,Q2,L,2400.0,fixed-domain-moisture,650.0,-1.334939988002743e-05,1.334939988002743e-05,-1.3349399865492957e-05,-1.4534473817095876e-14,1.7049244774231336e-11
no_latent,Q2,L,2520.0,fixed-domain-moisture,650.0,-1.3229049462564137e-05,1.3229049462564137e-05,-1.3229049447755598e-05,-1.4808539797509478e-14,1.7270435821234442e-11
no_latent,Q2,L,2640.0,fixed-domain-moisture,650.0,-1.3113833754932285e-05,1.3113833754932285e-05,-1.311383374010681e-05,-1.482547537425688e-14,1.72142759593027e-11
no_latent,Q2,L,2760.0,fixed-domain-moisture,650.0,-1.3001837603850392e-05,1.3001837603850392e-05,-1.3001837589740048e-05,-1.4110344091614914e-14,1.6119465196966402e-11
no_latent,Q2,L,2880.0,fixed-domain-moisture,650.0,-1.289618083505448e-05,1.289618083505448e-05,-1.2896180823792671e-05,-1.1261809559448381e-14,1.4565773567704957e-11
no_latent,Q2,L,3000.0,fixed-domain-moisture,650.0,-1.2791291603191524e-05,1.2791291603191524e-05,-1.2791291593511732e-05,-9.679792571334368e-15,2.234197792464586e-11
no_latent,Q2,L,3120.0,fixed-domain-moisture,650.0,-1.2692015458404615e-05,1.2692015458404615e-05,-1.2692015451133957e-05,-7.270658074621898e-15,1.3096539229608624e-11
no_latent,Q2,L,3240.0,fixed-domain-moisture,650.0,-1.2592472944536531e-05,1.2592472944536531e-05,-1.2592472937658547e-05,-6.877983764670172e-15,1.1829580917561655e-11
no_latent,Q2,L,3360.0,fixed-domain-moisture,650.0,-1.249743445159156e-05,1.249743445159156e-05,-1.2497434445943587e-05,-5.647973340644312e-15,1.0046981686167672e-11
no_latent,Q2,L,3480.0,fixed-domain-moisture,650.0,-1.2403822032149383e-05,1.2403822032149383e-05,-1.2403822028300656e-05,-3.848726282877461e-15,8.389903758874492e-12
no_latent,Q2,L,3600.0,fixed-domain-moisture,650.0,-1.2315699788833829e-05,1.2315699788833829e-05,-1.2315699787075961e-05,-1.7578678042275836e-15,1.0668088083282168e-11
no_latent,Q2,L,3720.0,fixed-domain-moisture,650.0,-1.2225550810764957e-05,1.2225550810764957e-05,-1.2225550809370498e-05,-1.394458482603493e-15,8.865002927687334e-12
no_latent,Q2,L,3840.0,fixed-domain-moisture,650.0,-1.2138791061200827e-05,1.2138791061200827e-05,-1.2138791061010392e-05,-1.9043502939939533e-16,8.656938415696682e-12
no_latent,Q2,L,3960.0,fixed-domain-moisture,650.0,-1.2052339580401504e-05,1.2052339580401504e-05,-1.2052339581016162e-05,6.146579285045556e-16,7.76184822859045e-12
no_latent,Q2,L,4080.0,fixed-domain-moisture,650.0,-1.1967589474881108e-05,1.1967589474881108e-05,-1.1967589476025071e-05,1.1439637350460843e-15,5.572677922705672e-12
