question,scenario,baseline,delta_final_max_C,delta_final_mean_C,delta_event_time_s,latent_product_Lv_scale,mass_closure
Q2,no_latent,no_latent,0.0,0.0,,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,nominal_proxy,no_latent,0.7559590824813689,0.4249287882657764,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,low_proxy,no_latent,0.5669680967936774,0.24095934293169918,,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,high_proxy,no_latent,0.7848989551154439,0.6467760181906375,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,same_product_scale_double,no_latent,0.7559590824813689,0.4249287882657764,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,same_product_Lv_double,no_latent,0.7559590824813689,0.4249287882657764,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_low,no_latent,0.7559590824813689,0.4249287882657764,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_nominal,no_latent,0.748319612929558,0.40705671667926135,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_high,no_latent,0.7509764450739731,0.41114709752142353,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,no_latent,no_latent,0.0,0.0,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,nominal_proxy,no_latent,5.144787285166208e-05,-0.00015248771712964015,27480.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,low_proxy,no_latent,3.574878144535498e-05,-6.539025324922565e-05,13320.0,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,high_proxy,no_latent,0.0027638674032754162,0.0015524001914090785,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,same_product_scale_double,no_latent,5.144787285166208e-05,-0.00015248771712964015,27480.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,same_product_Lv_double,no_latent,5.144787285166208e-05,-0.00015248771712964015,27480.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_low,no_latent,5.144787285166208e-05,-0.00015248771712964015,27480.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_nominal,no_latent,2.1078887649933487e-05,-0.00017336990068282654,27060.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_high,no_latent,-1.4511996960814288e-05,-0.0001986380834236856,27240.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,no_latent,no_latent,0.0,0.0,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,nominal_proxy,no_latent,-9.079681194359979e-05,-0.0005145850571452171,59520.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,low_proxy,no_latent,-9.486469864261604e-05,-0.00030857021982043376,29820.0,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,high_proxy,no_latent,0.028521585341015926,0.017284420928102243,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,same_product_scale_double,no_latent,-9.079681194359979e-05,-0.0005145850571452171,59520.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,same_product_Lv_double,no_latent,-9.079681194359979e-05,-0.0005145850571452171,59520.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_low,no_latent,-9.079681194359979e-05,-0.0005145850571452171,59520.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_nominal,no_latent,-2.93820547592194e-06,-0.0004578789244431697,59100.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_high,no_latent,-5.8029506412843324e-05,-0.0004935907080499541,59280.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
