scenario,axis,level,nr,nz,dt_s,status,reported_event_time_s,interpolated_event_time_s,max_linear_solver_relative_residual,max_linear_balance_relative,max_legacy_omitted_geometry_relative,max_raw_inventory_relative,max_corrected_physical_relative,max_decomposition_residual_J,max_convective_recompute_difference_W,max_internal_radial_domain_net_W,max_internal_axial_domain_net_W,latent_integral_J_trapezoid,heat_audit_rows
no_latent,spatial,L,8,8,300.0,PASS,189900.0,189886.1250996116,4.838328507289983e-11,1.9063565592503107e-06,1.4641156358382557,1.9815277056212053,2.7306712473479124e-08,3.211653165635653e-12,0.0,0.0,0.0,0.0,633
no_latent,spatial,M,12,12,300.0,PASS,186840.0,186821.2146792596,4.981991474631799e-11,1.8157587120022503e-06,1.4645697149519414,1.9975409494325131,3.905473526737548e-08,4.718003765447065e-12,0.0,0.0,0.0,0.0,623
no_latent,spatial,H,18,18,300.0,PASS,185640.0,185586.26261226917,4.932155209374116e-11,1.8790784095629003e-06,1.4648035340360945,1.99168015040405,4.585911860199515e-08,6.87805368215777e-12,0.0,0.0,0.0,0.0,619
no_latent,spatial,X,27,27,300.0,PASS,185100.0,185059.07396981536,4.947968604630235e-11,2.41559882261711e-06,1.4649137047966767,1.987018253431776,9.270393065765768e-08,3.637978807091713e-12,0.0,0.0,0.0,0.0,617
no_latent,time,L,12,12,600.0,PASS,187560.0,187530.75895693287,4.8046184039395904e-11,3.306249719781107e-06,1.4061208345293017,1.9146216762058212,3.6819505027390973e-08,3.296918293926865e-12,0.0,0.0,0.0,0.0,313
no_latent,time,M,12,12,300.0,PASS,186840.0,186821.2146792596,4.981991474631799e-11,1.8157587120022503e-06,1.4645697149519414,1.9975409494325131,3.905473526737548e-08,4.718003765447065e-12,0.0,0.0,0.0,0.0,623
no_latent,time,H,12,12,150.0,PASS,186480.0,186466.07990531749,4.90561888823894e-11,1.9444454941730527e-06,1.4828026610479934,1.9650163602412505,4.0723045074325485e-08,4.618527782440651e-12,0.0,0.0,0.0,0.0,1244
no_latent,time,X,12,12,75.0,PASS,186300.0,186288.75206463513,4.985672828210781e-11,1.737004158841593e-06,1.488611009620308,1.9532235285339759,8.71811674803444e-08,5.9827698351000436e-12,0.0,0.0,0.0,0.0,2484
nominal_proxy,spatial,L,8,8,300.0,FAIL,,,,,,,,,,,,,
nominal_proxy,spatial,M,12,12,300.0,FAIL,,,,,,,,,,,,,
nominal_proxy,spatial,H,18,18,300.0,FAIL,,,,,,,,,,,,,
nominal_proxy,spatial,X,27,27,300.0,FAIL,,,,,,,,,,,,,
nominal_proxy,time,L,12,12,600.0,FAIL,,,,,,,,,,,,,
nominal_proxy,time,M,12,12,300.0,FAIL,,,,,,,,,,,,,
nominal_proxy,time,H,12,12,150.0,FAIL,,,,,,,,,,,,,
nominal_proxy,time,X,12,12,75.0,PASS,245700.0,245689.56413985812,4.9997418475448835e-11,8.329309607382762e-07,0.6572320389576735,1.995939662142349,8.329296700554378e-07,1.871516830398434e-12,0.0,0.0,0.0,750734.5894093142,3276
