scenario,axis,level,time_s,raw_boundary_loss_kg_s,latent_power_W,L_v_J_per_kg,proxy_scale,moisture_predictor_relative_residual,source_definition
nominal_proxy,time,X,75.0,1.6908544683259845e-05,40.580507239823625,2400000.0,1.0,3.647864489171831e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,150.0,1.4367068969886285e-05,34.480965527727086,2400000.0,1.0,8.51247599138616e-12,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,225.0,1.286716399736081e-05,30.881193593665945,2400000.0,1.0,3.2825849282955905e-12,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,300.0,1.1862635084595416e-05,28.470324203028998,2400000.0,1.0,1.7108110952442362e-12,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,375.0,1.111569283113087e-05,26.677662794714088,2400000.0,1.0,3.307610847439739e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,450.0,1.0529448071008179e-05,25.270675370419628,2400000.0,1.0,2.3242609928281786e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,525.0,1.0054678356325331e-05,24.131228055180795,2400000.0,1.0,1.7271532043728526e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,600.0,9.659474515102951e-06,23.182738836247083,2400000.0,1.0,1.3412955460323315e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,675.0,9.329424522531818e-06,22.39061885407636,2400000.0,1.0,1.0826636770126758e-11,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
nominal_proxy,time,X,750.0,9.038496823693638e-06,21.69239237686473,2400000.0,1.0,8.947541244289282e-12,"q_lat=L_v*j_w; j_w=max(rho_d*g_mass*(C_pred-C_inf)/A,0)"
