scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,convective_input_J,evaporation_latent_heat_loss_J,geometry_correction_J,expected_sensible_change_J,fixed_geometry_error_J,moving_geometry_error_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
no_latent,Q2,L,120.0,48.01855835219648,48.01855835219648,0.0,48.01855859721929,0.0,0.0,48.01855859721929,-2.450228109296404e-07,-2.450228109296404e-07,301.15,0.4001546549768274,0.0,2.1890436928160845e-11,-2.450228109296404e-07,5.10266901147319e-09
no_latent,Q2,L,240.0,76.30960583121811,76.30960583121811,0.0,76.30960923850165,0.0,0.0,76.30960923850165,-3.4072835433107684e-06,-3.4072835433107684e-06,301.24165542846254,0.6359134103208471,0.0,3.6439252917395166e-11,-3.4072835433107684e-06,4.465077959790731e-08
no_latent,Q2,L,360.0,118.58960673567255,118.58960673567255,0.0,118.58960787126588,0.0,0.0,118.58960787126588,-1.1355933366985482e-06,-1.1355933366985482e-06,301.3878461752566,0.988246732260549,0.0,1.5634647183621846e-11,-1.1355933366985482e-06,9.575825041358461e-09
no_latent,Q2,L,480.0,139.5495115915592,139.5495115915592,0.0,139.5495129629979,0.0,0.0,139.5495129629979,-1.371438713704265e-06,-1.371438713704265e-06,301.6160048792947,1.1629126080249825,0.0,1.8702130449848992e-11,-1.371438713704265e-06,9.827613759339363e-09
no_latent,Q2,L,600.0,169.34391621030392,169.34391621030392,0.0,169.34391815316403,0.0,0.0,169.34391815316403,-1.942860109238609e-06,-1.942860109238609e-06,301.8855271311877,1.4111993179430335,0.0,2.6480159879479246e-11,-1.942860109238609e-06,1.1472866167424911e-08
no_latent,Q2,L,720.0,195.91854643509274,195.91854643509274,0.0,195.91854714332808,0.0,0.0,195.91854714332808,-7.082353477017023e-07,-7.082353477017023e-07,302.2139568370247,1.632654559527734,0.0,1.1078742097252918e-11,-7.082353477017023e-07,3.61494793641757e-09
no_latent,Q2,L,840.0,212.6688777766097,212.6688777766097,0.0,212.66887884635108,0.0,0.0,212.66887884635108,-1.069741387027534e-06,-1.069741387027534e-06,302.59547453207546,1.7722406570529257,0.0,1.4224355355310274e-11,-1.069741387027534e-06,5.0300795905375525e-09
no_latent,Q2,L,960.0,231.40101190926342,231.40101190926342,0.0,231.40101343445403,0.0,0.0,231.40101343445403,-1.525190612028382e-06,-1.525190612028382e-06,303.01124538250474,1.9283417786204502,0.0,1.9199697527751805e-11,-1.525190612028382e-06,6.591114660180186e-09
no_latent,Q2,L,1080.0,249.748979480344,249.748979480344,0.0,249.74898121573892,0.0,0.0,249.74898121573892,-1.735394931756673e-06,-1.735394931756673e-06,303.4654514422977,2.0812415101311577,0.0,2.2663074846965445e-11,-1.735394931756673e-06,6.948556599947044e-09
no_latent,Q2,L,1200.0,260.2269193217484,260.2269193217484,0.0,260.22692147040635,0.0,0.0,260.22692147040635,-2.14865792713681e-06,-2.14865792713681e-06,303.9576244808681,2.168557678920053,0.0,2.7143441732811026e-11,-2.14865792713681e-06,8.256862568238008e-09
no_latent,Q2,L,1320.0,272.93770675337237,272.93770675337237,0.0,272.93770939037984,0.0,0.0,272.93770939037984,-2.6370074692749768e-06,-2.6370074692749768e-06,304.47243656657577,2.274480911586499,0.0,3.308189448503076e-11,-2.6370074692749768e-06,9.661572507385902e-09
no_latent,Q2,L,1440.0,276.9481094788215,276.9481094788215,0.0,276.9481121013256,0.0,0.0,276.9481121013256,-2.622504098326317e-06,-2.622504098326317e-06,305.01450492703765,2.307900934177713,0.0,3.4145169960604266e-11,-2.622504098326317e-06,9.469297618345327e-09
