scenario,question,level,time_s,proxy_scale,L_v_J_per_kg,j_w_outer_max_kg_m2_s,raw_boundary_loss_rate_kg_s,proxy_boundary_loss_rate_kg_s,latent_power_W,boundary_latent_heat_flux_max_W_m2,component_mode,bound_fraction,release_tau_s,free_flux_factor,total_water_kg,bound_water_kg,liquid_water_kg,phase_split_residual_kg,moisture_predictor_relative_residual,source_definition
nominal_proxy,Q2,L,120.0,1.0,2400000.0,0.0011507785550210832,1.934280750795052e-05,1.934280750795052e-05,46.42273801908125,2761.8685320505997,liquid_surface,0.0,0.0,1.0,0.25803835426530713,0.0,0.25803835426530713,0.0,1.9663612281684128e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,240.0,1.0,2400000.0,0.0009822326421665604,1.6328056488390764e-05,1.6328056488390764e-05,39.18733557213783,2357.3583411997447,liquid_surface,0.0,0.0,1.0,0.25632920353091465,0.0,0.25632920353091465,0.0,2.146669975678728e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,360.0,1.0,2400000.0,0.0008716114197064092,1.4383829340473921e-05,1.4383829340473921e-05,34.52119041713741,2091.867407295382,liquid_surface,0.0,0.0,1.0,0.25474724299619467,0.0,0.25474724299619467,0.0,3.028067733218051e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,480.0,1.0,2400000.0,0.0007943788106576596,1.3071011946441445e-05,1.3071011946441445e-05,31.370428671459468,1906.509145578383,liquid_surface,0.0,0.0,1.0,0.25326152504899363,0.0,0.25326152504899363,0.0,6.964533237237872e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,600.0,1.0,2400000.0,0.0007353597866392794,1.2087200585032248e-05,1.2087200585032248e-05,29.009281404077395,1764.8634879342706,liquid_surface,0.0,0.0,1.0,0.251864814263892,0.0,0.251864814263892,0.0,4.8034589390088846e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,720.0,1.0,2400000.0,0.0006889849306391519,1.132576940472648e-05,1.132576940472648e-05,27.181846571343552,1653.5638335339645,liquid_surface,0.0,0.0,1.0,0.2505409175006761,0.0,0.2505409175006761,0.0,1.7547891674974208e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,840.0,1.0,2400000.0,0.0006511407628684067,1.0711896726629239e-05,1.0711896726629239e-05,25.708552143910172,1562.7378308841762,liquid_surface,0.0,0.0,1.0,0.249279066159233,0.0,0.249279066159233,0.0,7.336744183670754e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,960.0,1.0,2400000.0,0.0006195236908484899,1.020389142654744e-05,1.020389142654744e-05,24.489339423713854,1486.8568580363758,liquid_surface,0.0,0.0,1.0,0.24807082429603022,0.0,0.24807082429603022,0.0,3.782675314367614e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1080.0,1.0,2400000.0,0.0005928839804478779,9.779965906221972e-06,9.779965906221972e-06,23.471918174932732,1422.921553074907,liquid_surface,0.0,0.0,1.0,0.2469074307007498,0.0,0.2469074307007498,0.0,2.3456115280202806e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1200.0,1.0,2400000.0,0.0005704094814613829,9.425606289191619e-06,9.425606289191619e-06,22.621455094059886,1368.982755507319,liquid_surface,0.0,0.0,1.0,0.24578190297909092,0.0,0.24578190297909092,0.0,1.6436798207263906e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1320.0,1.0,2400000.0,0.0005510998832574459,9.123115471569463e-06,9.123115471569463e-06,21.89547713176671,1322.6397198178702,liquid_surface,0.0,0.0,1.0,0.2446897848926385,0.0,0.2446897848926385,0.0,1.2400021653104637e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1440.0,1.0,2400000.0,0.0005345758457854519,8.86623038753041e-06,8.86623038753041e-06,21.278952930072982,1282.9820298850846,liquid_surface,0.0,0.0,1.0,0.24362563355118336,0.0,0.24362563355118336,0.0,4.4412880155352074e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1560.0,1.0,2400000.0,0.000520109767627544,8.642139311847568e-06,8.642139311847568e-06,20.741134348434162,1248.2634423061056,liquid_surface,0.0,0.0,1.0,0.24258690803095878,0.0,0.24258690803095878,0.0,2.943666523254392e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1680.0,1.0,2400000.0,0.0005074421219717355,8.446477893204054e-06,8.446477893204054e-06,20.27154694368973,1217.8610927321654,liquid_surface,0.0,0.0,1.0,0.24157045729587093,0.0,0.24157045729587093,0.0,2.0120209637695524e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1800.0,1.0,2400000.0,0.0004963292583452925,8.27525538981892e-06,8.27525538981892e-06,19.860612935565406,1191.190220028702,liquid_surface,0.0,0.0,1.0,0.24057353708211662,0.0,0.24057353708211662,0.0,1.4745780737699973e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,1920.0,1.0,2400000.0,0.0004871904916946238,8.136234844335935e-06,8.136234844335935e-06,19.526963626406243,1169.2571800670971,liquid_surface,0.0,0.0,1.0,0.23959115533059713,0.0,0.23959115533059713,0.0,1.6206965876623073e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2040.0,1.0,2400000.0,0.0004788047235690696,8.007822663940799e-06,8.007822663940799e-06,19.218774393457917,1149.131336565767,liquid_surface,0.0,0.0,1.0,0.23862467220558892,0.0,0.23862467220558892,0.0,2.203068145452162e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2160.0,1.0,2400000.0,0.00047286253260582446,7.899338904574589e-06,7.899338904574589e-06,18.958413370979013,1134.8700782539788,liquid_surface,0.0,0.0,1.0,0.23767021203781716,0.0,0.23767021203781716,0.0,2.539809184281539e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2280.0,1.0,2400000.0,0.00046793601746116626,7.799142395724373e-06,7.799142395724373e-06,18.717941749738497,1123.046441906799,liquid_surface,0.0,0.0,1.0,0.23672805964323268,0.0,0.23672805964323268,0.0,2.933244991747923e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2400.0,1.0,2400000.0,0.0004639290033922726,7.716728840945054e-06,7.716728840945054e-06,18.52014921826813,1113.4296081414543,liquid_surface,0.0,0.0,1.0,0.23579514465702073,0.0,0.23579514465702073,0.0,3.5524527898478696e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2520.0,1.0,2400000.0,0.0004604103500669066,7.644623880129017e-06,7.644623880129017e-06,18.347097312309643,1104.9848401605757,liquid_surface,0.0,0.0,1.0,0.23487057404819434,0.0,0.23487057404819434,0.0,4.121380410926683e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2640.0,1.0,2400000.0,0.00045737349377604746,7.582447625903796e-06,7.582447625903796e-06,18.19787430216911,1097.6963850625139,liquid_surface,0.0,0.0,1.0,0.2339532676126189,0.0,0.2339532676126189,0.0,4.689879280115282e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2760.0,1.0,2400000.0,0.00045465033666596834,7.527294868027517e-06,7.527294868027517e-06,18.06550768326604,1091.1608079983241,liquid_surface,0.0,0.0,1.0,0.2330427262124437,0.0,0.2330427262124437,0.0,1.7411505150796522e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,2880.0,1.0,2400000.0,0.0004517878036690285,7.471781142930577e-06,7.471781142930577e-06,17.932274743033386,1084.2907288056683,liquid_surface,0.0,0.0,1.0,0.23213976420077026,0.0,0.23213976420077026,0.0,2.049725655411056e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,3000.0,1.0,2400000.0,0.0004494802257263584,7.427075668444258e-06,7.427075668444258e-06,17.824981604266217,1078.75254174326,liquid_surface,0.0,0.0,1.0,0.2312415648612878,0.0,0.2312415648612878,0.0,2.4070587168133265e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,3120.0,1.0,2400000.0,0.0004468642160275453,7.3788087993696145e-06,7.3788087993696145e-06,17.709141118487075,1072.4741184661086,liquid_surface,0.0,0.0,1.0,0.23035020001883705,0.0,0.23035020001883705,0.0,2.7278007414966614e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,3240.0,1.0,2400000.0,0.0004448900517266724,7.3423777094327895e-06,7.3423777094327895e-06,17.621706502638695,1067.7361241440137,liquid_surface,0.0,0.0,1.0,0.2294622096791975,0.0,0.2294622096791975,0.0,3.175324747802132e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
nominal_proxy,Q2,L,3360.0,1.0,2400000.0,0.0004429044203813548,7.306718553536222e-06,7.306718553536222e-06,17.536124528486933,1062.9706089152517,liquid_surface,0.0,0.0,1.0,0.2285792329590434,0.0,0.2285792329590434,0.0,3.679906829719053e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
