scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
no_latent,无潜热内部温度基线,Q2,L,M,space,8,8,120.0,10800.0,PASS,0.6035448000038741,1.759966371321822,1.3352011604899607,,,21.80414615749686,4.991013213472021e-11,1.8104417363850388e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.501694173881943e-14,0.0,90,1.642789793421251e-06,3.908911299532747e-06
no_latent,无潜热内部温度基线,Q2,M,M,space,12,12,120.0,10800.0,PASS,0.9129800999944564,1.7648196126969389,1.3323227805316495,,,21.80401789108157,4.996502523051529e-11,1.1860775357037348e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.238646398046226e-14,0.0,90,1.0446500478544785e-06,3.3457120736102297e-06
no_latent,无潜热内部温度基线,Q2,H,M,space,18,18,120.0,10800.0,PASS,2.113971099999617,1.7670685584349872,1.3309726822925314,,,21.803943484713443,4.9977475557461385e-11,1.3965749170991287e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.78682426805917e-14,0.0,90,9.576342501205204e-07,2.8236073035259324e-06
no_latent,无潜热内部温度基线,Q3,L,M,space,8,8,300.0,259200.0,PASS,5.155929600005038,0.14995785912892948,0.12387628589070786,221880.0,221841.08277370883,22.024727920874795,4.99934663106543e-11,6.494901395715947e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.2124542933929688e-14,0.0,740,3.226372733255989e-06,4.918629770145344e-06
no_latent,无潜热内部温度基线,Q3,M,M,space,12,12,300.0,259200.0,PASS,6.574774900000193,0.14993638714134797,0.12289735811913033,213420.0,213374.19495377087,22.024535468151498,4.9961524537958594e-11,5.159444118141093e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.5035160074415577e-14,0.0,712,4.0753448424801775e-06,4.108821372028615e-06
no_latent,无潜热内部温度基线,Q3,H,M,space,18,18,300.0,259200.0,PASS,9.62883359999978,0.1499952950261403,0.12229254694102548,210300.0,210287.00624195047,22.024443795715285,4.999190495809752e-11,5.43013744857858e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.3869039651535214e-14,0.0,701,3.5021749178465456e-06,5.111912059874157e-06
no_latent,无潜热内部温度基线,Q4,L,M,space,8,8,300.0,259200.0,PASS,5.541365700002643,0.14999223099787928,0.11769997556747779,189900.0,189886.1250996116,22.021690015838203,4.9994078642278354e-11,7.79989232366209e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.4278476568029804e-14,0.0,633,1.011941552101014e-08,4.146599621890346e-06
no_latent,无潜热内部温度基线,Q4,M,M,space,12,12,300.0,259200.0,PASS,7.571659199995338,0.14995942641406115,0.11698131617841888,186840.0,186821.2146792596,22.02155482284411,4.9971273697610745e-11,8.934328808464882e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.9953755038245105e-14,0.0,623,1.490260663433556e-08,4.209819508105284e-06
no_latent,无潜热内部温度基线,Q4,H,M,space,18,18,300.0,259200.0,PASS,9.905980300012743,0.14994121191675344,0.1165790169346745,185640.0,185586.26261226917,22.02149255765886,4.997297319236678e-11,5.48275581029231e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.4806489977777122e-14,0.0,619,1.8139736147528355e-08,3.796745659201406e-06
nominal_proxy,名义等效潜热近似,Q2,L,M,space,8,8,120.0,10800.0,PASS,1.9361355000000913,2.513262453352032,1.766003069468151,,,33.6464154126117,4.99933420090495e-11,1.073694916510155e-09,189452.4138009412,46.42273801908125,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.767631535462254e-14,1.934280750795052e-05,90,1.6690391283853957e-09,3.346531642023365e-06
nominal_proxy,名义等效潜热近似,Q2,M,M,space,12,12,120.0,10800.0,PASS,2.5938011999969603,2.5207786951783078,1.757251568797426,,,33.75718096411322,4.99888892526277e-11,2.331157787310127e-09,191354.2313682869,47.21959460240826,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,5.031081955664436e-14,1.9674831084336775e-05,90,1.6244302241557334e-09,3.2362185322654113e-06
nominal_proxy,名义等效潜热近似,Q2,H,M,space,18,18,120.0,10800.0,PASS,3.3811964000051375,2.5243206259705695,1.7524678379342291,,,33.7675830509483,4.998512479650514e-11,8.023454080395718e-10,192383.98949681854,47.55467250331392,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.939909058384538e-14,1.98144468763808e-05,90,1.160943752139851e-09,2.7926662369281985e-06
