implementation,question,metric,comparison,case_a,case_b,value_a,value_b,absolute_change
prescribed-T-baseline,Q2,final_max_C,space_at_coarse_dt,coarse,spatial,1.7265427082028952,1.729577753222509,0.0030350450196137135
prescribed-T-baseline,Q2,final_max_C,time_at_coarse_grid,coarse,time,1.7265427082028952,1.7249426372916659,0.0016000709112293787
prescribed-T-baseline,Q2,final_max_C,time_at_fine_grid,spatial,refined,1.729577753222509,1.72796484907757,0.0016129041449388648
prescribed-T-baseline,Q2,final_max_C,space_at_fine_dt,time,refined,1.7249426372916659,1.72796484907757,0.0030222117859042275
prescribed-T-baseline,Q3,reported_event_time_s,space_at_coarse_dt,coarse,spatial,213120.0,208980.0,4140.0
prescribed-T-baseline,Q3,reported_event_time_s,time_at_coarse_grid,coarse,time,213120.0,212520.0,600.0
prescribed-T-baseline,Q3,reported_event_time_s,time_at_fine_grid,spatial,refined,208980.0,208440.0,540.0
prescribed-T-baseline,Q3,reported_event_time_s,space_at_fine_dt,time,refined,212520.0,208440.0,4080.0
prescribed-T-baseline,Q4,reported_event_time_s,space_at_coarse_dt,coarse,spatial,186540.0,184920.0,1620.0
prescribed-T-baseline,Q4,reported_event_time_s,time_at_coarse_grid,coarse,time,186540.0,186120.0,420.0
prescribed-T-baseline,Q4,reported_event_time_s,time_at_fine_grid,spatial,refined,184920.0,184500.0,420.0
prescribed-T-baseline,Q4,reported_event_time_s,space_at_fine_dt,time,refined,186120.0,184500.0,1620.0
internal-temperature,Q2,final_max_C,space_at_coarse_dt,coarse,spatial,1.7648196126969389,1.7678705966561559,0.0030509839592169907
internal-temperature,Q2,final_max_C,time_at_coarse_grid,coarse,time,1.7648196126969389,1.763312873195944,0.0015067395009948914
internal-temperature,Q2,final_max_C,time_at_fine_grid,spatial,refined,1.7678705966561559,1.766348657580762,0.0015219390753937745
internal-temperature,Q2,final_max_C,space_at_fine_dt,time,refined,1.763312873195944,1.766348657580762,0.0030357843848181076
internal-temperature,Q3,reported_event_time_s,space_at_coarse_dt,coarse,spatial,213420.0,209280.0,4140.0
internal-temperature,Q3,reported_event_time_s,time_at_coarse_grid,coarse,time,213420.0,212820.0,600.0
internal-temperature,Q3,reported_event_time_s,time_at_fine_grid,spatial,refined,209280.0,208740.0,540.0
internal-temperature,Q3,reported_event_time_s,space_at_fine_dt,time,refined,212820.0,208740.0,4080.0
internal-temperature,Q4,reported_event_time_s,space_at_coarse_dt,coarse,spatial,186840.0,185220.0,1620.0
internal-temperature,Q4,reported_event_time_s,time_at_coarse_grid,coarse,time,186840.0,186420.0,420.0
internal-temperature,Q4,reported_event_time_s,time_at_fine_grid,spatial,refined,185220.0,184800.0,420.0
internal-temperature,Q4,reported_event_time_s,space_at_fine_dt,time,refined,186420.0,184800.0,1620.0
