implementation,question,resolution,nr,nz,dt_s,duration_s,runtime_s,completed_to_event,reported_event_time_s,interpolated_event_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,energy_linear_call_count,max_fixed_domain_energy_balance_relative,max_moving_domain_energy_storage_flux_relative,max_temperature_linear_residual,max_moisture_linear_residual,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,final_time_s,environment_temperature_C,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C
prescribed-T-baseline,Q2,coarse,12,12,120.0,10800.0,2.583304699990549,True,,,1.7265427082028952,1.311043942755252,4.9870505996463195e-11,5,9.87938246765907e-08,2.176829513266446e-09,0,,,,4.9870505996463195e-11,0.0,0.0,0.0,10800.0,50.19499999999999,50.19499999999999,50.19499999999999,50.19499999999999,0.0,0.0
internal-temperature,Q2,coarse,12,12,120.0,10800.0,6.827178699997603,True,,,1.7648196126969389,1.3323227805316495,4.996502523051529e-11,5,9.89756472336012e-08,1.1860775357037348e-09,424,2.4730175426396945e-11,,4.996502523051529e-11,4.9961743076432024e-11,0.0,0.0,0.0,10800.0,50.19499999999999,49.8042071880713,50.05336491696829,49.897459549755375,0.24915772889698928,0.39079281192869075
prescribed-T-baseline,Q2,spatial,24,12,120.0,10800.0,4.954149899989716,True,,,1.729577753222509,1.3098633804420399,4.997403987019275e-11,5,9.910369236365568e-08,1.6650775108251584e-09,0,,,,4.997403987019275e-11,0.0,0.0,0.0,10800.0,50.19499999999999,50.19499999999999,50.19499999999999,50.19499999999999,0.0,0.0
internal-temperature,Q2,spatial,24,12,120.0,10800.0,11.592290800006595,True,,,1.7678705966561559,1.3310079850220427,4.994923248440282e-11,5,9.750872587144244e-08,1.5680173462209374e-09,428,2.3428032770815622e-11,,4.9922268242465577e-11,4.994923248440282e-11,0.0,0.0,0.0,10800.0,50.19499999999999,49.804123875451126,50.055014405554346,49.89770178470163,0.25089053010322004,0.39087612454886766
prescribed-T-baseline,Q2,time,12,12,60.0,10800.0,3.686938900005771,True,,,1.7249426372916659,1.3096508666970645,4.979184830253854e-11,4,8.406514062642145e-08,2.8206238782567715e-09,0,,,,4.979184830253854e-11,0.0,0.0,0.0,10800.0,50.19499999999999,50.19499999999999,50.19499999999999,50.19499999999999,0.0,0.0
internal-temperature,Q2,time,12,12,60.0,10800.0,8.959480799996527,True,,,1.763312873195944,1.3311196135520311,4.995605357845477e-11,5,7.995470241439762e-08,2.210938603582369e-09,774,2.7364914954510647e-11,,4.995605357845477e-11,4.994203465368799e-11,0.0,0.0,0.0,10800.0,50.19499999999999,49.84600474997194,50.06963242874855,49.93217405480382,0.22362767877660872,0.34899525002805376
prescribed-T-baseline,Q2,refined,24,18,60.0,10800.0,6.456890500005102,True,,,1.72796484907757,1.3081115064465465,4.999215880425367e-11,5,9.986200721900929e-08,3.828031660988232e-09,0,,,,4.999215880425367e-11,0.0,0.0,0.0,10800.0,50.19499999999999,50.19499999999999,50.19499999999999,50.194999999999986,0.0,0.0
internal-temperature,Q2,refined,24,18,60.0,10800.0,17.379567900003167,True,,,1.766348657580762,1.329418680058165,4.998125483112643e-11,5,9.918648763429516e-08,2.6569624651622693e-09,805,2.0134569388573954e-11,,4.9976978256608815e-11,4.998125483112643e-11,0.0,0.0,0.0,10800.0,50.19499999999999,49.84584912693526,50.07430914104418,49.93271033412516,0.22846001410891859,0.3491508730647297
prescribed-T-baseline,Q3,coarse,12,12,300.0,259200.0,15.9606247000047,True,213120.0,213073.87641462096,0.14993629910724604,0.12289941508536498,4.9996596081789475e-11,6,9.979609778831833e-08,6.225082448398065e-10,0,,,,4.9996596081789475e-11,0.0,0.0,0.0,212400.0,49.99893442622948,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0
internal-temperature,Q3,coarse,12,12,300.0,259200.0,24.07243770000059,True,213420.0,213374.19495377087,0.14993638714134797,0.12289735811913033,4.9961524537958594e-11,6,9.979815110416901e-08,5.159444118141093e-10,3008,4.107778690272833e-11,,4.984918164105393e-11,4.9961524537958594e-11,0.0,0.0,0.0,212400.0,49.99893442622948,49.99893442622971,49.998934426230676,49.99893442623012,9.663381206337363e-13,1.1937117960769683e-12
prescribed-T-baseline,Q3,spatial,24,18,300.0,259200.0,31.536814599996433,True,208980.0,208979.00464561346,0.14996423644357967,0.12204362093814876,4.999048360829673e-11,8,9.959153769723006e-08,5.932807791525209e-10,0,,,,4.999048360829673e-11,0.0,0.0,0.0,208800.0,49.99893442622948,49.99893442622948,49.99893442622948,49.998934426229475,0.0,0.0
internal-temperature,Q3,spatial,24,18,300.0,259200.0,43.3766847000079,True,209280.0,209277.60439894124,0.14996383451833595,0.12204112830403777,4.9999915155349726e-11,8,9.958807493937183e-08,4.4721875984614135e-10,3532,4.78901917820973e-11,,4.9946775351809394e-11,4.9999915155349726e-11,0.0,0.0,0.0,208800.0,49.99893442622948,49.99893442623096,49.998934426246706,49.99893442623739,1.574562702444382e-11,1.722355591482483e-11
prescribed-T-baseline,Q3,time,12,12,120.0,259200.0,17.443936600000598,True,212520.0,212505.9833856265,0.149995106198983,0.1229405244914746,4.999114676891789e-11,5,9.968566885842911e-08,2.176829513266446e-09,0,,,,4.999114676891789e-11,0.0,0.0,0.0,212400.0,49.99893442622948,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0
internal-temperature,Q3,time,12,12,120.0,259200.0,6.823655399988638,True,212820.0,212810.9498320605,0.14997982721664954,0.12292752700279978,4.9996494158373196e-11,5,9.9871608247315e-08,1.1860775357037348e-09,6037,2.4730175426396945e-11,,4.996502523051529e-11,4.9996494158373196e-11,0.0,0.0,0.0,212400.0,49.99893442622948,49.99893442622823,49.998934426229255,49.99893442622887,1.0231815394945443e-12,1.2505552149377763e-12
prescribed-T-baseline,Q3,refined,24,18,120.0,259200.0,7.268894299995736,True,208440.0,208413.00670660887,0.1499912379807587,0.12206184771477277,4.998674722591682e-11,6,9.979693681161361e-08,1.9906048196520424e-09,0,,,,4.998674722591682e-11,0.0,0.0,0.0,207000.0,49.99893442622948,49.99893442622948,49.99893442622948,49.998934426229475,0.0,0.0
internal-temperature,Q3,refined,24,18,120.0,259200.0,11.345606900009443,True,208740.0,208716.24526789293,0.14997492843291374,0.12204815028185693,4.999882315968749e-11,6,9.998084471440905e-08,1.5652096546854696e-09,7009,3.5356877503169e-11,,4.999874866434025e-11,4.999882315968749e-11,0.0,0.0,0.0,208800.0,49.99893442622948,49.998934426224196,49.99893442622863,49.99893442622644,4.433786671143025e-12,5.286437954055145e-12
prescribed-T-baseline,Q4,coarse,12,12,300.0,259200.0,2.190016499997,True,186540.0,186537.3033848835,0.149967501458462,0.11698914866981108,4.995032556008601e-11,6,9.93169985002984e-08,8.257924512688225e-10,0,,,,,4.440892098500626e-16,0.0,7.218180869947748e-15,185400.0,49.99893442622948,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0
internal-temperature,Q4,coarse,12,12,300.0,259200.0,3.3637605999974767,True,186840.0,186821.2146792596,0.14995942641406115,0.11698131617841888,4.9971273697610745e-11,6,9.99937673495932e-08,8.934328808464882e-10,2821,,3.9686461584015026e-11,4.9913891076941907e-11,,4.440892098500626e-16,0.0,7.218180869947748e-15,185400.0,49.99893442622948,49.99893442622971,49.99893442623079,49.99893442623015,1.0800249583553523e-12,1.3073986337985843e-12
prescribed-T-baseline,Q4,spatial,24,18,300.0,259200.0,4.494990199993481,True,184920.0,184888.56528482086,0.14989127713486897,0.1164058105089468,4.99960799095278e-11,7,9.98176306055143e-08,5.029303980304191e-10,0,,,,,4.440892098500626e-16,0.0,1.604939349844665e-14,183600.0,49.99893442622948,49.99893442622948,49.99893442622948,49.998934426229475,0.0,0.0
internal-temperature,Q4,spatial,24,18,300.0,259200.0,6.101244299992686,True,185220.0,185170.57861964198,0.14988213948719484,0.11639727439845866,4.998908176494978e-11,7,9.983785220768482e-08,7.441314414696728e-10,3359,,5.48817817373587e-11,4.998908176494978e-11,,4.440892098500626e-16,0.0,1.604939349844665e-14,185400.0,49.99893442622948,49.99893442623113,49.9989344262554,49.99893442624189,2.4272139853565022e-11,2.5920599000528455e-11
prescribed-T-baseline,Q4,time,12,12,120.0,259200.0,3.9311682999978075,True,186120.0,186115.23612953722,0.14999660501979775,0.11700785626495638,4.998862983070733e-11,5,9.998165156899219e-08,1.9020829370226357e-09,0,,,,,4.440892098500626e-16,0.0,7.97325164384769e-15,185400.0,49.99893442622948,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0
internal-temperature,Q4,time,12,12,120.0,259200.0,6.173752200003946,True,186420.0,186398.8620357364,0.14995824730934873,0.11697991787549317,4.995516008813371e-11,5,9.99924139599706e-08,1.0754962466678693e-09,5913,,3.0984544286955525e-11,4.9922354693692915e-11,,4.440892098500626e-16,0.0,7.97325164384769e-15,185400.0,49.99893442622948,49.9989344262284,49.99893442622931,49.99893442622896,9.094947017729282e-13,1.0800249583553523e-12
prescribed-T-baseline,Q4,refined,24,18,120.0,259200.0,6.795087700011209,True,184500.0,184466.92411256334,0.1499515104192243,0.1164448083882569,4.9996571120965755e-11,6,9.997126597383055e-08,1.148628168314799e-09,0,,,,,4.440892098500626e-16,0.0,1.8145172903347858e-14,183600.0,49.99893442622948,49.99893442622948,49.99893442622948,49.998934426229475,0.0,0.0
