implementation,question,ladder,level,physical_max_relative_residual,linear_max_relative_residual,cumulative_residual_J,adjacent_physical_change,refinement_status
prescribed-T-baseline,Q2,spatial,L,,4.957090251527381e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,spatial,M,,4.9870505996463195e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,spatial,H,,4.9962255789583817e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,time,L,,4.990763644809285e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,time,M,,4.9870505996463195e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,time,H,,4.979184830253854e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,joint,L,,4.971386693944935e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q2,joint,H,,4.99901004556463e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,spatial,L,,4.99947832932694e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,spatial,M,,4.9996596081789475e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,spatial,H,,4.999351570502116e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,time,L,,4.999498010685082e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,time,M,,4.9996596081789475e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,time,H,,4.9980036237153883e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,joint,L,,4.98998089545114e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q3,joint,H,,4.9997378922515247e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,spatial,L,,4.99927793318908e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,spatial,M,,4.995032556008601e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,spatial,H,,4.998739731805519e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,time,L,,4.998387370268755e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,time,M,,4.995032556008601e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,time,H,,4.993913611614288e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,joint,L,,4.998517854391673e-11,,,NOT_APPLICABLE
prescribed-T-baseline,Q4,joint,H,,4.999607571897102e-11,,,NOT_APPLICABLE
internal-temperature,Q2,spatial,L,1.914849266713341,4.8394732686699216e-11,-1935.626515478532,,REFERENCE
internal-temperature,Q2,spatial,M,1.9053841354398804,4.892766536217432e-11,-1939.3309187144494,0.009465131273460603,DECREASES
internal-temperature,Q2,spatial,H,1.9010115842619768,4.855529216462582e-11,-1941.112794605546,0.004372551177903583,DECREASES
internal-temperature,Q2,time,L,1.960376610753705,4.89131845473847e-11,-1918.4150956648025,,REFERENCE
internal-temperature,Q2,time,M,1.9053841354398804,4.892766536217432e-11,-1939.3309187144494,0.054992475313824674,DECREASES
internal-temperature,Q2,time,H,1.9768469183477348,4.8678469956094755e-11,-1950.98414317443,0.07146278290785446,INCREASES
internal-temperature,Q2,joint,L,1.9588485384370682,4.784630202657379e-11,-1914.7446902612612,,REFERENCE
internal-temperature,Q2,joint,H,1.9754987027685997,4.9974030665230755e-11,-1952.7740697204115,0.016650164331531547,INCREASES
internal-temperature,Q3,spatial,L,1.851153185796244,4.9232643217827896e-11,-6411.961526670032,,REFERENCE
internal-temperature,Q3,spatial,M,1.8610423555709539,4.970199551902959e-11,-6412.717585874847,0.009889169774709883,INCREASES
internal-temperature,Q3,spatial,H,1.8656710352561652,4.959922260660674e-11,-6413.97588938078,0.004628679685211301,INCREASES
internal-temperature,Q3,time,L,1.9740434062499992,4.687613175741135e-11,-6376.522695149547,,REFERENCE
internal-temperature,Q3,time,M,1.8610423555709539,4.970199551902959e-11,-6412.717585874847,0.11300105067904531,DECREASES
internal-temperature,Q3,time,H,1.8943675454524338,4.9709063057217095e-11,-6430.322772835269,0.03332518988147992,INCREASES
internal-temperature,Q3,joint,L,1.9778652027623593,4.9625418249339694e-11,-6375.643281402341,,REFERENCE
internal-temperature,Q3,joint,H,1.8974055599942454,4.971150231347089e-11,-6431.7255384850305,0.0804596427681139,DECREASES
internal-temperature,Q4,spatial,L,1.9701003990457442,4.838328507289983e-11,-6962.280624267381,,REFERENCE
internal-temperature,Q4,spatial,M,1.985567486581482,4.981991474631799e-11,-6955.399777598074,0.015467087535737889,INCREASES
internal-temperature,Q4,spatial,H,1.9937205594976395,4.932155209374116e-11,-6952.757084551973,0.008153072916157411,INCREASES
internal-temperature,Q4,time,L,1.5357407245771222,4.8046184039395904e-11,-6874.308768071423,,REFERENCE
internal-temperature,Q4,time,M,1.985567486581482,4.981991474631799e-11,-6955.399777598074,0.4498267620043599,INCREASES
internal-temperature,Q4,time,H,1.8547070131952197,4.90561888823894e-11,-6994.70496070531,0.1308604733862624,DECREASES
internal-temperature,Q4,joint,L,1.5300163413979133,4.8436835180765335e-11,-6880.948152578912,,REFERENCE
internal-temperature,Q4,joint,H,1.8473251252273246,4.963355539161638e-11,-6991.925386469687,0.3173087838294113,INCREASES
