implementation,question,ladder,level,source_case,nr,nz,dt_s,metric,value,reported_value,adjacent_change,refinement_status
prescribed-T-baseline,Q2,joint,L,joint-L,8,8,240.0,final_max_C,1.7241982521282297,1.7241982521282297,,NA
prescribed-T-baseline,Q2,joint,M,spatial-M,12,12,120.0,final_max_C,1.7265427082028952,1.7265427082028952,0.0023444560746654908,DECREASING
prescribed-T-baseline,Q2,joint,H,joint-H,18,18,60.0,final_max_C,1.7271689035437785,1.7271689035437785,0.0006261953408832621,DECREASING
prescribed-T-baseline,Q3,joint,L,joint-L,8,8,600.0,interpolated_event_time_s,222491.86472011122,222540.0,,NA
prescribed-T-baseline,Q3,joint,M,spatial-M,12,12,300.0,interpolated_event_time_s,213073.87641462096,213120.0,9417.98830549026,DECREASING
prescribed-T-baseline,Q3,joint,H,joint-H,18,18,150.0,interpolated_event_time_s,209513.75751679952,209520.0,3560.118897821434,DECREASING
prescribed-T-baseline,Q4,joint,L,joint-L,8,8,600.0,interpolated_event_time_s,190309.5484585359,190320.0,,NA
prescribed-T-baseline,Q4,joint,M,spatial-M,12,12,300.0,interpolated_event_time_s,186537.3033848835,186540.0,3772.2450736523897,DECREASING
prescribed-T-baseline,Q4,joint,H,joint-H,18,18,150.0,interpolated_event_time_s,184949.15541098686,184980.0,1588.1479738966445,DECREASING
internal-temperature,Q2,joint,L,joint-L,8,8,240.0,final_max_C,1.7623214320676317,1.7623214320676317,,NA
internal-temperature,Q2,joint,M,spatial-M,12,12,120.0,final_max_C,1.7648196126969389,1.7648196126969389,0.0024981806293071784,DECREASING
internal-temperature,Q2,joint,H,joint-H,18,18,60.0,final_max_C,1.7655494971342667,1.7655494971342667,0.0007298844373277991,DECREASING
internal-temperature,Q3,joint,L,joint-L,8,8,600.0,interpolated_event_time_s,222788.41704840533,222840.0,,NA
internal-temperature,Q3,joint,M,spatial-M,12,12,300.0,interpolated_event_time_s,213374.19495377087,213420.0,9414.22209463446,DECREASING
internal-temperature,Q3,joint,H,joint-H,18,18,150.0,interpolated_event_time_s,209816.59166055056,209820.0,3557.603293220309,DECREASING
internal-temperature,Q4,joint,L,joint-L,8,8,600.0,interpolated_event_time_s,190597.54421220376,190620.0,,NA
internal-temperature,Q4,joint,M,spatial-M,12,12,300.0,interpolated_event_time_s,186821.2146792596,186840.0,3776.3295329441607,DECREASING
internal-temperature,Q4,joint,H,joint-H,18,18,150.0,interpolated_event_time_s,185231.43190733987,185280.0,1589.7827719197376,DECREASING
