step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,120.0,0.0,46.700895506563754,46.700895506563754,46.70089636949235,0.0,-8.629285943584364e-07,1.84777736926298e-08,46.700895506563754,46.70089636949235,2.3204767625758566e-11,1.84777736926298e-08,0.5682235438581686,0.013267851607078442,4
2,0.02,0.02,120.0,46.700895504970475,119.79488200735764,73.09398650238717,73.48338041991072,0.0,-0.3893939175235488,0.0052990746383523805,73.48337900919438,73.48338041991072,3.156551601312444e-11,1.9197760481006678e-08,1.066324006373367,0.02780297131906207,4
3,0.02,0.02,120.0,119.79488199405259,232.53093711471834,112.73605512066575,113.57025533674087,0.0,-0.8342002160751179,0.0073452350142357,113.57025373350606,113.57025533674087,2.3344604803441823e-11,1.4116678723502076e-08,1.737094553208423,0.047282069407362626,5
4,0.02,0.02,120.0,232.5309371145073,363.49732357860114,130.96638646409383,132.4195202553856,0.0,-1.4531337912917763,0.010973712852072322,132.41951842022192,132.4195202553856,2.7447191243915242e-11,1.3858709677037152e-08,2.20482568762631,0.06348678569655104,5
5,0.02,0.02,120.0,363.4973235775684,521.1633482165154,157.66602463894696,159.72755755769876,0.0,-2.0615329187517943,0.012906557580128914,159.72755685695677,159.72755755769876,1.2446796917082086e-11,4.3871076672474315e-09,2.7297785285751224,0.08086660515697495,5
6,0.02,0.02,120.0,521.1633482134578,702.0212348163647,180.8578866029069,183.6134469665372,0.0,-2.755560363630309,0.015007399562258088,183.6134460732198,183.6134469665372,1.4314981233281111e-11,4.8652068820888645e-09,3.2241485182421465,0.09799841437755077,5
7,0.02,0.02,120.0,702.0212348106824,896.2489426131982,194.22770780251585,197.73303110088196,0.0,-3.5053232983661076,0.017727555577589447,197.73302985468186,197.73303110088196,1.8582900133782505e-11,6.302437648480361e-09,3.589656750668645,0.11225780866110112,5
8,0.02,0.02,120.0,896.248942606626,1105.716088724359,209.46714611773302,213.72345445967596,0.0,-4.25630834194294,0.01991502688698116,213.72345276759475,213.72345445967596,2.492500004171211e-11,7.917152645696683e-09,3.9403368247966797,0.12571726954581028,5
9,0.02,0.02,120.0,1105.716088719475,1329.9207738105129,224.20468509103785,229.24184430288935,0.0,-5.0371592118515025,0.02197312287016884,229.241842292584,229.24184430288935,3.089255008685102e-11,8.769364700501974e-09,4.274590214532295,0.138614769441689,5
10,0.02,0.02,120.0,1329.9207738109058,1561.0982422288535,231.1774684179477,237.02806702009255,0.0,-5.850598602144856,0.02468314691883687,237.02806570801073,237.02806702009255,2.8262358254447318e-11,5.535554660110171e-09,4.504199188892086,0.14886898164847903,5
11,0.02,0.02,120.0,1561.0982422387344,1801.468779047971,240.37053680923668,247.02835686293446,0.0,-6.657820053697776,0.026951642873097027,247.0283552995194,247.02835686293446,3.237343831410581e-11,6.3288890156603895e-09,4.729478429355297,0.1584381556327115,5
