step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,120.0,0.0,48.784060170640146,48.784060170640146,48.78405968890584,0.0,4.817343040031119e-07,9.874830063714858e-09,48.78406017064015,48.78405968890584,3.1075170377286165e-11,9.874830209365451e-09,0.586186009912657,0.013782145812639288,4
2,0.02,0.02,120.0,48.78406016926265,126.13997201300131,77.35591184373865,77.76775940742746,0.0,-0.41184756368880926,0.005295865109487447,77.76775616260842,77.76775940742746,3.63986076253764e-11,4.172447638635616e-08,1.1147813750681577,0.02938753468680149,4
3,0.02,0.02,120.0,126.13997200011852,246.24008871346769,120.10011671334917,120.98953771561636,0.0,-0.8894210022671984,0.007351222420220877,120.98953618848662,120.98953771561636,1.99148079141532e-11,1.2621998305235118e-08,1.8306008283587336,0.050543849346574674,5
4,0.02,0.02,120.0,246.2400887132628,387.29780890113886,141.05772018787607,142.61477675283666,0.0,-1.5570565649605896,0.010917918889001937,142.61477485167825,142.61477675283666,2.4386641226862958e-11,1.3330725302155287e-08,2.348771624491105,0.06881070892908805,5
5,0.02,0.02,120.0,387.2978089006943,558.2113462116085,170.91353731091425,173.13519615371052,0.0,-2.2216588427962733,0.012831930723224355,173.1351954654529,173.13519615371052,1.1647429451874696e-11,3.975261123943823e-09,2.9305704914132527,0.08859061740754552,5
6,0.02,0.02,120.0,558.211346210277,755.5956186352389,197.38427242496186,200.36711069269677,0.0,-2.9828382677349055,0.014886865700777047,200.36710983614284,200.36711069269677,1.2739554199885717e-11,4.2749227740830455e-09,3.486871462089529,0.10842604139250983,5
7,0.02,0.02,120.0,755.5956186319638,969.3527382486753,213.75711961671152,217.56693884404427,0.0,-3.8098192273327527,0.01751102096474178,217.56693749290545,217.56693884404427,1.7206669424121418e-11,6.210221220012302e-09,3.9146488027562176,0.12553794761095458,5
8,0.02,0.02,120.0,969.3527382424245,1201.4003706703807,232.04763242795616,236.6926909331054,0.0,-4.645058505149251,0.019624849786603876,236.69268934477284,236.6926909331054,2.0918517920609607e-11,6.710526462200558e-09,4.328131224844022,0.14194950885983548,5
9,0.02,0.02,120.0,1201.4003706620583,1451.260000693056,249.85963003099778,255.37741824370312,0.0,-5.517788212705341,0.021606406120997717,255.37741604263337,255.37741824370312,2.8277817863377857e-11,8.618889496712082e-09,4.725887463627871,0.1578884385650281,5
10,0.02,0.02,120.0,1451.2600006837267,1710.845722742286,259.5857220585592,266.0166494111726,0.0,-6.430927352613367,0.02417490546869233,266.0166466656732,266.0166494111726,3.418027920382652e-11,1.0320780270799072e-08,5.016524000033513,0.17116741710758662,5
11,0.02,0.02,120.0,1710.8457227331273,1982.3568556474484,271.511132914321,278.85466658977356,0.0,-7.343533675452534,0.02633462715635917,278.85466494578293,278.85466658977356,2.767408528562727e-11,5.895510550597526e-09,5.301235315756044,0.18372862694698727,5
12,0.02,0.02,120.0,1982.3568556409919,2256.8878393837063,274.5309837427144,282.8094496590195,0.0,-8.278465916305095,0.029272239404610975,282.80944781202805,282.8094496590195,2.991538876463038e-11,6.5308688950871695e-09,5.467442747685633,0.19313560346740216,5
13,0.02,0.02,120.0,2256.887839382339,2530.8719758331267,273.9841364507879,283.17716562048594,0.0,-9.193029169698036,0.03246387875079778,283.1771636356601,283.17716562048594,3.1083163025399196e-11,7.009130875601436e-09,5.5513501892660635,0.1997471104428359,5
14,0.02,0.02,120.0,2530.8719758352604,2802.8077275823152,271.93575174705484,282.0167840048498,0.0,-10.08103225779496,0.03574621380556413,282.01678191373253,282.0167840048498,3.177690427539789e-11,7.414868140841911e-09,5.584781302604998,0.20429936387100323,5
15,0.02,0.02,120.0,2802.8077275853816,3086.3206854147757,283.51295782939405,294.45715864438296,0.0,-10.944200814988903,0.037167379001324455,294.45715602863936,294.45715864438296,3.599328777972083e-11,8.883273916235152e-09,5.767092997424227,0.21178683941387846,5
16,0.02,0.02,120.0,3086.320685407476,3361.6697108057615,275.34902539828545,287.2043100914549,0.0,-11.855284693169438,0.041278226950683096,287.2043076440235,287.2043100914549,3.5220958067974956e-11,8.521569086747162e-09,5.740860227034032,0.21448632647606683,5
