step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,120.0,0.0,47.0027853687108,47.0027853687108,47.00278487904454,0.0,4.896662630926585e-07,1.041781373702639e-08,47.002785368710796,47.00278487904454,2.8200144479114584e-11,1.0417813585856047e-08,0.4961183393323501,0.010242685559191013,4
2,0.02,0.02,120.0,47.002785366746835,120.93560434107003,73.9328189743232,74.37930405953024,0.0,-0.4464850852070441,0.006002813428446375,74.37930055082194,74.37930405953024,4.725964460706047e-11,4.717318006429062e-08,0.958936889545246,0.022372714175991234,4
3,0.02,0.02,120.0,120.93560432572143,235.3899547851857,114.45435045946427,115.40552993117339,0.0,-0.9511794717091249,0.008242061470333337,115.40552778804127,115.40552993117339,2.475748640442961e-11,1.8570445652163055e-08,1.5889387892954243,0.038901599079227626,5
4,0.02,0.02,120.0,235.38995478499433,369.21256300298455,133.82260821799022,135.46891368761734,0.0,-1.6463054696271229,0.012152643915218794,135.46891285187797,135.46891368761734,1.4089500431414317e-11,6.16923357758933e-09,2.0638545257608794,0.05360211387422542,5
5,0.02,0.02,120.0,369.2125630026981,531.1596254627594,161.94706246006132,164.27132316477952,0.0,-2.324260704718199,0.01414891327311431,164.27132185667125,164.27132316477952,1.9699709189755656e-11,7.963095699469637e-09,2.5967013564008163,0.06944962918850464,5
6,0.02,0.02,120.0,531.1596254616363,718.0035259505954,186.8439004889591,189.9350690081768,0.0,-3.0911685192177174,0.016274869803451837,189.93506721250554,189.9350690081768,2.5763536497712538e-11,9.454132278824864e-09,3.1135291057383983,0.0854235914579728,5
7,0.02,0.02,120.0,718.0035259474008,920.1295253871378,202.12599943973703,206.041065109603,0.0,-3.9150656698659816,0.019001385319879667,206.0410644116463,206.041065109603,1.0289218213553177e-11,3.387464151284836e-09,3.5250434420054515,0.09942888772395536,5
8,0.02,0.02,120.0,920.1295253820778,1139.588861728743,219.45933634666528,224.19571146105253,0.0,-4.7363751143872435,0.021126073659129965,224.1957105051003,224.19571146105253,1.3419733296187399e-11,4.263918452864953e-09,3.924070067867592,0.11285760101958342,5
9,0.02,0.02,120.0,1139.5888617257356,1376.0411444340739,236.45228270833832,242.03901112458,0.0,-5.5867284162416695,0.023081933735740322,242.0390100128845,242.03901112458,1.5898097610043764e-11,4.5930426313596434e-09,4.309624960890964,0.12591505209873632,5
10,0.02,0.02,120.0,1376.0411444383703,1621.8150438204673,245.77389938209694,252.24457184182702,0.0,-6.470672459730082,0.025652375440560895,252.24457046186814,252.24457184182702,1.883303461215708e-11,5.470717876765661e-09,4.604144934807957,0.13699384696354563,5
11,0.02,0.02,120.0,1621.815043837247,1879.196879388624,257.381835551377,264.72892109343763,0.0,-7.347085542060654,0.027753240982187424,264.7289194113422,264.72892109343763,2.2883652997832898e-11,6.354029764933564e-09,4.890824977022218,0.14746267159606138,5
