step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,120.0,0.0,49.00366438083321,49.00366438083321,49.00366402295212,0.0,3.578810847670866e-07,7.303149454004189e-09,49.003664380833214,49.00366402295212,2.0078310469209566e-11,7.303149599002067e-09,0.5242493206570951,0.01113373329207577,4
2,0.02,0.02,120.0,49.00366437911681,126.97100264697715,77.96733826786034,78.42755263961045,0.0,-0.46021437175011215,0.005868019034903267,78.42755105057125,78.42755263961045,3.645298202289865e-11,2.0261236608628005e-08,1.0206174984018799,0.024520813372962566,4
3,0.02,0.02,120.0,126.97100263234148,248.3369278690525,121.365925236711,122.35489063919373,0.0,-0.9889654024827195,0.008082761525234251,122.3548853427734,122.35489063919373,4.9252274435449826e-11,4.328736104170634e-08,1.6986654576361786,0.04290588423176278,4
4,0.02,0.02,120.0,248.33692782186182,391.52136545236135,143.18443763049953,144.90623245202806,0.0,-1.7217948215285332,0.011882130895222482,144.9062315123631,144.90623245202806,1.3441774093594949e-11,6.4846415210055946e-09,2.2191371256797665,0.0595756577956676,5
5,0.02,0.02,120.0,391.52136545206906,565.6563920125843,174.13502656051526,176.58113776510746,0.0,-2.4461112045921993,0.013852618889827724,176.58113627574497,176.58113776510746,1.8774353734025673e-11,8.434437042300041e-09,2.8038329736527365,0.0776990603995655,5
6,0.02,0.02,120.0,565.6563920119665,767.5886440862354,201.93225207426883,205.2020158279562,0.0,-3.269763753687357,0.015934364682015433,205.20201372661376,205.2020158279562,2.5005896959454814e-11,1.0240359594600593e-08,3.37528892340276,0.09616599440157572,5
7,0.02,0.02,120.0,767.5886440850002,987.4026683717792,219.81402428677904,223.97416035929535,0.0,-4.160136072516309,0.018574178672408875,223.97415956744032,223.97416035929535,1.0399037599490968e-11,3.535474932808636e-09,3.8384312930919493,0.11267535938968168,5
8,0.02,0.02,120.0,987.402668368882,1227.18167248062,239.7790041117379,244.83432374911564,0.0,-5.05531963737775,0.020647920438467565,244.83432264504708,244.83432374911564,1.3587400771505556e-11,4.509451707329804e-09,4.289733519592375,0.1286853386056641,5
9,0.02,0.02,120.0,1227.1816724761147,1486.5982399360169,259.4165674599021,265.40359268992125,0.0,-5.987025230019128,0.022558192107873777,265.4035913818982,265.40359268992125,1.622459212756569e-11,4.928430114670572e-09,4.728217545872406,0.14439805777753673,5
10,0.02,0.02,120.0,1486.598239930135,1757.6679606273487,271.0697206972138,278.029418817434,0.0,-6.959698120220196,0.025032236336077193,278.02941718027375,278.029418817434,1.9266825698875472e-11,5.888442575153031e-09,5.071670144437965,0.15804625623568885,5
11,0.02,0.02,120.0,1757.6679606216433,2042.6705615241472,285.0026009025039,292.93304150963087,0.0,-7.930440607126968,0.027072537007970937,292.9330394115275,292.93304150963087,2.3531561765689128e-11,7.162399192351564e-09,5.40688768350536,0.17107613391035237,5
12,0.02,0.02,120.0,2042.6705615221329,2332.7318051520906,290.06124362995774,298.9854453871634,0.0,-8.924201757205651,0.02984828156316937,298.98544305514474,298.9854453871634,2.5698537744530126e-11,7.799773162305723e-09,5.634238324054208,0.18154346947108901,5
13,0.02,0.02,120.0,2332.7318051577013,2624.269300358683,291.53749520098154,301.43430134248933,0.0,-9.896806141507795,0.032832382039571055,301.4342988152735,301.43430134248933,2.721747686607194e-11,8.383968962972723e-09,5.782198806950299,0.18960566614616953,5
14,0.02,0.02,120.0,2624.26930037083,2915.7352067437264,291.46590637289637,302.30810960774414,0.0,-10.842203234847773,0.03586474490848403,302.3081068613265,302.30810960774414,2.866264891583995e-11,9.084829510854865e-09,5.87794199649467,0.19580327702617747,5
15,0.02,0.02,120.0,2915.7352067601864,3220.743378578398,305.0081718182114,316.770642642047,0.0,-11.7624708238356,0.037132452444866466,316.7706393920881,316.770642642047,3.4606209119446677e-11,1.025965928684076e-08,6.1000541883359025,0.20419194234410465,5
16,0.02,0.02,120.0,3220.7433785878484,3519.4763292605594,298.732950672711,311.4685417673369,0.0,-12.735591094625875,0.04088885196033441,311.46853864909946,311.4685417673369,3.340616133494457e-11,1.0011404080652005e-08,6.135775803795552,0.20875194637695305,5
17,0.02,0.02,120.0,3519.476329291786,3820.931132606945,301.4548033151591,315.1128792116503,0.0,-13.658075896491198,0.04334343912143796,315.1128757603133,315.1128792116503,3.6311080410727265e-11,1.0952700603771564e-08,6.214566655155138,0.21333080770832924,5
18,0.02,0.02,120.0,3820.9311326110983,4115.028706145682,294.0975735345837,308.681150906636,0.0,-14.583577372052275,0.04724479395395036,308.681147583507,308.681150906636,3.5030872623884104e-11,1.0765571383718719e-08,6.184470357690133,0.2152497760686013,5
