step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,120.0,0.0,48.23534363953118,48.23534363953118,48.23534373474035,0.0,-9.520916677274727e-08,1.973846549043563e-09,48.23534363953119,48.23534373474035,4.4895678234135664e-11,1.9738464017360737e-09,1.4585763690522588,0.04654149949748557,4
2,0.02,0.02,120.0,48.2353436329401,124.39148282664613,76.15613919370603,76.59793416356541,0.0,-0.44179496985938727,0.00576771390356284,76.59793266352374,76.59793416356541,3.0176324344327285e-11,1.9583317657713724e-08,2.721117503325899,0.08963435675263942,5
3,0.02,0.02,120.0,124.39148282645421,242.4533284854851,118.06184565903088,119.00164675883683,0.0,-0.9398010998059476,0.007897378947288895,119.00164393522952,119.00164675883683,4.1348172423024795e-11,2.372746411861109e-08,4.452313847472577,0.14879288083330816,5
4,0.02,0.02,120.0,242.45332848567307,380.78613301352084,138.33280452784777,139.9634147173001,0.0,-1.6306101894523408,0.011650260125089603,139.96341360171334,139.9634147173001,3.0432540502304714e-11,7.970559820093978e-09,5.68102371455582,0.19365190401378946,5
5,0.02,0.02,120.0,380.7861330135228,548.2809920256723,167.4948590121495,169.8040766466616,0.0,-2.3092176345120947,0.013599306212872921,169.80407569263497,169.8040766466616,3.26815585849e-11,5.6183965117724734e-09,7.088913524236956,0.2446030549714613,5
6,0.02,0.02,120.0,548.2809920256548,741.6004423348829,193.31945030922816,196.40059829534903,0.0,-3.081147986120868,0.015688078411489406,196.4005975428382,196.40059829534903,2.8111084638472936e-11,3.831509859401243e-09,8.433718205675799,0.29443824708666594,5
7,0.02,0.02,120.0,741.6004423346163,950.8130878036922,209.21264546907582,213.12728743245967,0.0,-3.9146419633838434,0.018367624392650325,213.12728663861867,213.12728743245967,3.2852649877379806e-11,3.7247271621432766e-09,9.464988371512975,0.3347501272228945,5
8,0.02,0.02,120.0,950.8130878027098,1177.9151542246789,227.10206642196908,231.85266586369616,0.0,-4.750599441727076,0.020489733961135063,231.85266490786816,231.85266586369616,3.993404405411174e-11,4.12256635609258e-09,10.47432598911141,0.374296851573898,5
9,0.02,0.02,120.0,1177.915154223194,1422.4886652402581,244.57351101706422,250.1936360951181,0.0,-5.6201250780538885,0.022463101643069933,250.193635254789,250.1936360951181,3.608925209680293e-11,3.358714956732604e-09,11.448072676261884,0.41279099563293187,5
10,0.02,0.02,120.0,1422.4886652363543,1676.5926971178585,254.10403188150417,260.6314369554226,0.0,-6.52740507391843,0.025044580769567153,260.631436070297,260.6314369554226,3.9254815708887414e-11,3.396081445072089e-09,12.158591103981344,0.4428195311455182,5
