step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,600.0,0.0,759.8430091678026,759.8430091678026,759.8430126954001,0.0,-3.5275975278636906e-06,4.6425346669310044e-09,759.8430091678025,759.8430126954001,3.705959322050723e-11,4.6425348165498545e-09,2.530914991030074,0.07553935528548342,5
2,0.02,0.02,600.0,759.8430088657715,1942.7662520743077,1182.9232432085362,1200.4908461645487,0.0,-17.56760295601248,0.014633683390539177,1200.4908433484434,1200.4908461645487,3.1987320734466715e-11,2.3457948793463286e-09,4.3924805963590465,0.14172230482648063,6
3,0.02,0.02,600.0,1942.7662520443241,3259.9117366347537,1317.1454845904295,1356.4778964102265,0.0,-39.33241181979702,0.028995984323729882,1356.4778927258515,1356.4778964102265,4.925978587020334e-11,2.716133523028451e-09,5.237093583915532,0.17863435521574583,6
4,0.02,0.02,600.0,3259.9117365561424,4516.422821094544,1256.5110845384015,1317.3912516940725,0.0,-60.88016715567096,0.046212669985005096,1317.39124819077,1317.3912516940725,4.3995995709488125e-11,2.6592725727940773e-09,5.27037277750639,0.1878332667591205,6
5,0.02,0.02,600.0,4516.422820963004,5618.264949216795,1101.842128253791,1181.963376137911,0.0,-80.12124788411984,0.06778657401883097,1181.9633733587655,1181.963376137911,3.5381985637646535e-11,2.351295748603379e-09,4.842651918163503,0.17874997122666395,6
6,0.02,0.02,600.0,5618.264949074367,6569.087282682572,950.8223336082046,1047.2010930438842,0.0,-96.37875943567951,0.09203462455862874,1047.201090102406,1047.2010930438842,4.5717981145295964e-11,2.808895286987988e-09,4.335484501037914,0.1637292645252751,6
7,0.02,0.02,600.0,6569.087282550066,7286.9330521685315,717.845769618465,827.968774872595,0.0,-110.12300525412991,0.13300381439031353,827.9687733547869,827.968774872595,2.5496304679514393e-11,1.833170669071898e-09,3.5131399812594304,0.13714481401581927,6
8,0.02,0.02,600.0,7286.93305212364,7859.465174416444,572.5321222928042,692.6375994784877,0.0,-120.10547718568353,0.17340305706204132,692.637595133125,692.6375994784877,4.3697060560743635e-11,6.273645328597037e-09,2.9314865382405033,0.11586028944501782,6
9,0.02,0.02,600.0,7859.465174382667,8233.609281566925,374.14410718425825,501.97361903083663,0.0,-127.82951184657838,0.25465384434620203,501.9736149421573,501.97361903083663,4.1926929452142896e-11,8.145207535713244e-09,2.184311056887627,0.08938932509968887,5
10,0.02,0.02,600.0,8233.609279765753,8537.617548413049,304.00826864729606,436.40643689438787,0.0,-132.3981682470918,0.30338271174293585,436.4064314521942,436.40643689438787,4.72820726772529e-11,1.2470470597239513e-08,1.8491227066170879,0.07488053978877113,5
11,0.02,0.02,600.0,8537.61754709933,8695.566468953108,157.9489218537783,293.8725184754126,0.0,-135.92359662163432,0.4625257146425096,293.87251342551866,293.8725184754126,4.413027118486395e-11,1.7183961206781856e-08,1.299718888570462,0.05489376120471622,5
12,0.02,0.02,600.0,8695.566468036377,8785.75108566672,90.18461763034247,227.2615482625568,0.0,-137.07693063221433,0.6031681632030792,227.2615447944496,227.2615482625568,3.763133896702e-11,1.5260422283125965e-08,0.9895672204952984,0.04194844481899302,5
