step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,247.11311025366223,247.11311025366223,247.11311192675655,0.0,-1.673094317311552e-06,6.770560672666577e-09,247.11311025366223,247.11311192675655,3.0573350543160374e-11,6.770560672666577e-09,1.4460856933661441,0.03868832457191104,5
2,0.02,0.02,300.0,247.11311025195164,645.9069007306023,398.79379047865064,402.49572180512746,0.0,-3.7019313264768243,0.009197442670630803,402.4957192673081,402.49572180512746,4.0296114950744037e-11,6.305208239133497e-09,2.684382829158441,0.07859179054415141,5
3,0.02,0.02,300.0,645.9069007146392,1163.7489989957153,517.8420982810761,526.0507559766511,0.0,-8.20865769557497,0.015604307383486232,526.0507522763548,526.0507559766511,4.840272424682954e-11,7.034104989201946e-09,3.7353615638905806,0.11543963251058206,5
4,0.02,0.02,300.0,1163.7489989644878,1781.4793189686561,617.7303200041683,631.0226004708253,0.0,-13.292280466656962,0.021064666236580407,631.0225960215823,631.0226004708253,3.795566112527809e-11,7.050845662018684e-09,4.643487314572533,0.14896145601063804,5
5,0.02,0.02,300.0,1781.4793189318361,2424.681982883122,643.202663951286,662.081773289906,0.0,-18.87910933861997,0.02851476977656258,662.0817683712762,662.081773289906,4.097019314714971e-11,7.42903666673153e-09,5.07613740379697,0.16944518136109718,5
6,0.02,0.02,300.0,2424.6819828459024,3107.2909319603887,682.6089491144862,706.8371327146965,0.0,-24.228183600210286,0.03427689700901665,706.8371286602998,706.8371327146965,3.732033684756098e-11,5.735970235117323e-09,5.485739504135465,0.18732389707294728,5
7,0.02,0.02,300.0,3107.2909319423725,3762.28156066683,654.9906287244576,684.7357750390239,0.0,-29.74514631456634,0.043440327494019326,684.7357709927049,684.7357750390239,3.898940786065943e-11,5.909314382202293e-09,5.471685596013312,0.19264917431574868,5
8,0.02,0.02,300.0,3762.2815606355125,4406.118045097999,643.8364844624866,678.6245133002518,0.0,-34.78802883776518,0.05126255853710004,678.6245098374261,678.6245133002518,3.618902372182692e-11,5.102712375930511e-09,5.459239684364428,0.19565603580519197,5
9,0.02,0.02,300.0,4406.118045089226,5027.951631897371,621.8335868081449,661.520541489441,0.0,-39.68695468129613,0.05999353337076926,661.5205384421594,661.520541489441,3.4191944703392554e-11,4.606480789322189e-09,5.366189288966597,0.19531517184204267,5
10,0.02,0.02,300.0,5027.951631903641,5578.879544357714,550.9279124540726,595.2890226383608,0.0,-44.361110184288236,0.07452028930027438,595.2890205993008,595.2890226383608,3.053451113510246e-11,3.4253278430539112e-09,4.951615522182333,0.18497594391347244,5
