step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,255.7857073120774,255.7857073120774,255.78570958035525,0.0,-2.2682778535454418e-06,8.867883421895628e-09,255.7857073120774,255.78570958035525,3.053119792045622e-11,8.867883421895628e-09,1.4364368242578243,0.03722719658592253,5
2,0.02,0.02,300.0,255.78570731050584,673.7385150043738,417.95280769386795,421.9502045533195,0.0,-3.9973968594515554,0.00947362228129084,421.950201617592,421.9502045533195,4.2666553093126624e-11,6.957521302144014e-09,2.7272041298190084,0.0776053977409045,5
3,0.02,0.02,300.0,673.7385149920391,1222.6023145133508,548.8637995213118,557.7327282832405,0.0,-8.868928761928714,0.015901754213399316,557.7327244143193,557.7327282832405,4.7914327373692784e-11,6.936873218767002e-09,3.8644963673180173,0.11630245253250367,5
4,0.02,0.02,300.0,1222.6023144975738,1884.1810965834068,661.5787820858329,675.9488365425108,0.0,-14.370054456677849,0.021259086013345196,675.9488317010444,675.9488365425108,4.591954369388528e-11,7.162474671044193e-09,4.8773164688433015,0.15259883756110953,5
5,0.02,0.02,300.0,1884.1810965632658,2582.4658664994645,698.2847699361987,718.7143055125309,0.0,-20.429535576332228,0.02842511331642895,718.7143009281299,718.7143055125309,2.971750379270447e-11,6.3786138733532846e-09,5.426285093977648,0.1768415756467807,5
6,0.02,0.02,300.0,2582.4658665388324,3331.245089669421,748.7792231305884,775.0454612625534,0.0,-26.266238131964997,0.033889932197238015,775.0454565877642,775.0454612625534,3.600704392359087e-11,6.031632300334878e-09,5.941528860806717,0.19841048414225554,5
7,0.02,0.02,300.0,3331.245089766647,4060.794695852649,729.5496060860019,761.8645427634534,0.0,-32.314936677451556,0.042415593407507904,761.8645402719168,761.8645427634534,3.609993415664093e-11,3.2703144641171753e-09,6.028758891355512,0.20774789078143102,5
8,0.02,0.02,300.0,4060.794695910463,4786.443487226064,725.6487913156006,763.5514359594649,0.0,-37.90264464386428,0.04963993630139206,763.5514325718292,763.5514359594649,4.3955276535355806e-11,4.436683070357305e-09,6.09637262530285,0.2141989739807345,5
9,0.02,0.02,300.0,4786.443487320445,5495.77949646988,709.3360091494351,752.7114237615797,0.0,-43.375414612144596,0.05762555641228543,752.7114208651783,752.7114237615797,3.973680229155202e-11,3.847957254519424e-09,6.069477096307313,0.2169144826060083,5
10,0.02,0.02,300.0,5495.77949658921,6136.788596537893,641.0090999486829,689.6598987265774,0.0,-48.650798777894465,0.07054317478473918,689.6598959515552,689.6598987265774,3.712164554119648e-11,4.023754547023223e-09,5.708161699532239,0.209418967792478,5
11,0.02,0.02,300.0,6136.788596608207,6755.973572997726,619.1849763895189,672.4489509152758,0.0,-53.26397452575691,0.07920894880311566,672.4489472563619,672.4489509152758,4.3504420191817604e-11,5.441177196004928e-09,5.531983498754596,0.20477315161649795,5
12,0.02,0.02,300.0,6755.97357311551,7315.300775736738,559.327202621228,617.099852954915,0.0,-57.77265033368701,0.09361961448710286,617.0998502632428,617.099852954915,3.18812876132949e-11,4.361809811959783e-09,5.160788011483987,0.19453862060841592,5
13,0.02,0.02,300.0,7315.300775812187,7814.804019411395,499.50324359920796,561.2709993999983,0.0,-61.76775580079038,0.1100497903273471,561.2709962517697,561.2709993999983,3.9388425143445695e-11,5.609106200887431e-09,4.742609022503533,0.1817809715609269,5
14,0.02,0.02,300.0,7814.804019440656,8246.195598083725,431.3915786430689,496.68553734575187,0.0,-65.29395870268297,0.13145935162841405,496.68553471300254,496.68553734575187,3.0395032667265146e-11,5.300636178853359e-09,4.254843457478053,0.1662590375953082,5
15,0.02,0.02,300.0,8246.19559797056,8630.650489470594,384.45489150003414,452.7434648452491,0.0,-68.28857334521496,0.15083281957157896,452.74346269958073,452.7434648452491,2.8093708297193746e-11,4.739258604079615e-09,3.868771680350414,0.15267868055292932,5
16,0.02,0.02,300.0,8630.65048928899,8982.531316996992,351.88082770800247,422.82108961658895,0.0,-70.94026190858648,0.16777843785633917,422.82108777792445,422.82108961658895,2.809190353928123e-11,4.3485638431531354e-09,3.585062945060103,0.14182938333430117,5
17,0.02,0.02,300.0,8982.531316772775,9260.987807750926,278.4564909781511,351.8009583289964,0.0,-73.34446735084526,0.20848285263127442,351.80095648643777,351.8009583289964,3.354741992849263e-11,5.237503122315742e-09,3.083159497637361,0.1252650076739356,5
18,0.02,0.02,300.0,9260.987807490535,9502.049912144319,241.06210465378354,316.2529278095252,0.0,-75.19082315574167,0.23775534246129754,316.2529263013066,316.2529278095252,3.020440435821018e-11,4.769026483607436e-09,2.7444498309784304,0.11228384583368275,5
