step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,246.8832811761875,246.8832811761875,246.8832836303998,0.0,-2.454212307156922e-06,9.940779590533299e-09,246.88328117618752,246.8832836303998,4.3569178411582825e-11,9.940779475411251e-09,1.4477308176233172,0.03874755764781129,5
2,0.02,0.02,300.0,246.88328116948765,644.4314239728712,397.5481428033836,401.8018804254381,0.0,-4.25373762205453,0.010586654342061724,401.80187715223536,401.8018804254381,3.751581550835823e-11,8.146310219765607e-09,2.687493249219163,0.07872678806152612,5
3,0.02,0.02,300.0,644.4314239371578,1159.7926873161193,515.3612633789616,524.7185546675113,0.0,-9.357291288549732,0.017832971991011436,524.7185488263881,524.7185546675113,4.6856069058321616e-11,1.1131916616272361e-08,3.739099253416183,0.11562824895772192,5
4,0.02,0.02,300.0,1159.7926872297226,1773.638130376748,613.8454431470254,628.9062050636255,0.0,-15.060761916600086,0.023947548609536157,628.9062013140623,628.9062050636255,3.808844077532663e-11,5.962038860379833e-09,4.646846617377472,0.14916377304567188,5
5,0.02,0.02,300.0,1773.638130242553,2411.620420835739,637.982290593186,659.2690592543045,0.0,-21.286768661118458,0.032288438782787414,659.2690553077667,659.2690592543045,4.8147113603867674e-11,5.986232291478608e-09,5.0771836344155385,0.16956259949420072,5
6,0.02,0.02,300.0,2411.620420648666,3087.6397028162496,676.0192821675837,703.2273173919364,0.0,-27.20803522435267,0.03869024218976488,703.227315713996,703.2273173919364,3.91140959638232e-11,2.3860569352515916e-09,5.484279282058413,0.1873371480954149,5
7,0.02,0.02,300.0,3087.6397026177106,3734.898877312865,647.2591746951543,680.5482392990398,0.0,-33.289064603885436,0.04891506976518366,680.5482378512786,680.5482392990398,3.9485820700691625e-11,2.1273454178473232e-09,5.466150516684413,0.1924665363619077,5
8,0.02,0.02,300.0,3734.898877078589,4369.913422448926,635.0145453703371,673.8312969874535,0.0,-38.816751617116324,0.05760603847084158,673.8312953135244,673.8312969874535,3.6492689081609784e-11,2.4841961167772835e-09,5.449974971247109,0.19528644386763663,5
9,0.02,0.02,300.0,4369.913422224898,4981.929201252625,612.0157790277271,656.1845353703922,0.0,-44.168756342665006,0.06731148626922967,656.1845304451518,656.1845353703922,4.532645005935174e-11,7.505876858128369e-09,5.352921285788026,0.19474382956209796,5
10,0.02,0.02,300.0,4981.929201028288,5522.398218496416,540.4690174681282,589.721998629137,0.0,-49.25298116100885,0.08351898229250719,589.7219945295672,589.721998629137,4.481924911060425e-11,6.951699084933527e-09,4.9337755417263995,0.18415600612318733,5
11,0.02,0.02,300.0,5522.398218200815,6038.260683045273,515.8624648444584,569.4514016945639,0.0,-53.58893685010548,0.0941062515442695,569.4513958504621,569.4514016945639,4.656632031131409e-11,1.0262687518771951e-08,4.726116833358753,0.1775103479337257,5
12,0.02,0.02,300.0,6038.26068274416,6493.994647513037,455.73396476887774,513.5124783267893,0.0,-57.77851355791154,0.11251627953847389,513.5124748587359,513.5124783267893,4.6446020034174516e-11,6.753591219021881e-09,4.331700292079917,0.16552512458082275,5
13,0.02,0.02,300.0,6493.9946472203255,6891.38829405851,397.3936468381844,458.78247212178684,0.0,-61.38882528360244,0.1338081313344211,458.7824677760897,458.78247212178684,4.6678568966540203e-11,9.472238866931434e-09,3.9071646711731325,0.1516505112331079,5
14,0.02,0.02,300.0,6891.388293758684,7223.999605829482,332.6113120707978,397.08951956854867,0.0,-64.47820749775087,0.16237700649417453,397.0895159229223,397.08951956854867,3.720202039357807e-11,9.180867714907428e-09,3.4276076048284567,0.13557216594275479,5
15,0.02,0.02,300.0,7223.99960552909,7513.567644033448,289.5680385043579,356.5616104242752,0.0,-66.99357191991731,0.1878877870228407,356.56160702767977,356.5616104242752,4.9466775973911937e-11,9.52597067797342e-09,3.0647621192320935,0.12215851946332515,5
16,0.02,0.02,300.0,7513.567643760355,7774.580286717948,261.012642957593,330.1631746050178,0.0,-69.15053164742477,0.20944350238378714,330.1631716797307,330.1631746050178,4.864311821309727e-11,8.860125328577821e-09,2.8111207128310074,0.1119383931002581,5
17,0.02,0.02,300.0,7774.580286403041,7968.348671892978,193.76838548993692,264.81898777132335,0.0,-71.05060228138643,0.26829874579363655,264.81898574543044,264.81898777132335,3.891270019146356e-11,7.650104428899294e-09,2.340188084885194,0.09597328052631901,5
18,0.02,0.02,300.0,7968.348671621293,8130.593001595671,162.24432997437816,234.61482948740513,0.0,-72.37049951302697,0.3084651540192264,234.6148275738017,234.61482948740513,4.279063537669061e-11,8.15636177393163e-09,2.0454471811179458,0.08424712186204174,5
19,0.02,0.02,300.0,8130.593001465907,8280.30105582847,149.7080543625625,223.1217395225744,0.0,-73.41368516001188,0.3290297275249785,223.1217376975195,223.1217395225744,4.1370548636106985e-11,8.1796371992284e-09,1.8986155526318127,0.0771315342192554,5
20,0.02,0.02,300.0,8280.301055684205,8408.306631273543,128.00557558933724,202.33697413602505,0.0,-74.33139854668781,0.36736438737448474,202.33697254489118,202.33697413602505,3.7690987071974525e-11,7.863782055825693e-09,1.7276457151804998,0.07004526050910735,5
21,0.02,0.02,300.0,8408.306631137906,8497.669424560496,89.36279342258968,164.4410141324225,0.0,-75.07822070983283,0.4565662715347473,164.44101293335777,164.4410141324225,3.125377497652031e-11,7.2917620166553894e-09,1.449365272892704,0.0601262373763102,5
22,0.02,0.02,300.0,8497.669424418396,8552.145414059014,54.47598964061763,129.9692213548824,0.0,-75.49323171426477,0.5808546894970592,129.96921883583204,129.9692213548824,4.207652435994698e-11,1.9381899258273434e-08,1.170800549193432,0.049920120054678205,5
23,0.02,0.02,300.0,8552.145413923603,8604.120742352006,51.97532842840337,127.53092589159547,0.0,-75.5555974631921,0.5924492191597219,127.53092353577023,127.53092589159547,3.767101557379398e-11,1.847258011054061e-08,1.0897102129323066,0.045247800152800915,5
24,0.02,0.02,300.0,8604.120742182246,8624.729071276108,20.608329093862267,96.23467515193167,0.0,-75.6263460580694,0.7858533936824059,96.23467226495744,96.23467515193167,4.239019477412416e-11,2.999931391566255e-08,0.8682013367015163,0.037333734922751986,5
25,0.02,0.02,300.0,8624.729071132639,8627.566452192275,2.837381059636755,78.20151190201614,0.0,-75.36413084237938,0.9637170562227505,78.20150945948073,78.20151190201614,3.6599290768301346e-11,3.123386421502e-08,0.7056723794346941,0.03084338211632312,5
26,0.02,0.02,300.0,8627.566452093264,8605.987452438654,-21.578999654610016,53.39336245780059,0.0,-74.97236211241061,1.4041513525518263,53.39336266583602,53.39336245780059,3.215466093248192e-11,3.896278868254534e-09,0.5104579092659629,0.023615347178222897,5
27,0.02,0.02,300.0,8605.987452359783,8571.780971352677,-34.20648100710605,40.10578955230519,0.0,-74.31227055941125,1.8529063107583166,40.105791280520855,40.10578955230519,2.5071057685021097e-11,4.3091424196319395e-08,0.3817530901700119,0.01823561395491457,5
28,0.02,0.02,300.0,8571.7809712692,8551.34732812784,-20.433643141359425,53.1456586122507,0.0,-73.57930175361012,1.3844837692283154,53.14566082307019,53.1456586122507,2.12209139587768e-11,4.159924731632729e-08,0.43103236273367784,0.018184882336941925,5
29,0.02,0.02,300.0,8551.347328049631,8513.280012049676,-38.0673159999551,34.89625044325703,0.0,-72.96356644321213,1.9166984728657568,34.89625338460785,34.89625044325703,3.003650686408936e-11,8.428844177495345e-08,0.3215231829678444,0.01442447117174621,5
30,0.02,0.02,300.0,8513.280011914536,8496.781227938427,-16.498783976108825,55.70846753408598,0.0,-72.20725151019481,1.2961629480475982,55.70847021629801,55.70846753408598,2.4954325335031497e-11,4.814729281166067e-08,0.4298181453839297,0.016600074747840657,5
31,0.02,0.02,300.0,8496.781227849806,8462.956793296675,-33.82443455313114,37.7777864846096,0.0,-71.60222103774075,1.8953524729912639,37.777790109514704,37.7777864846096,3.647442826094256e-11,9.595333910380993e-08,0.3358740866419441,0.013830116370823443,5
32,0.02,0.02,300.0,8462.956793145362,8400.317620871618,-62.63917227374441,8.214384719343727,0.0,-70.85355699308813,1.1311381428133405,8.214384809667221,8.214384719343727,2.8607440343305494e-11,1.0995771022960538e-08,0.13316514098241397,0.007508881003290871,5
33,0.02,0.02,300.0,8400.317620705082,8348.496896113607,-51.82072459147457,18.075009681315997,0.0,-69.89573427279058,1.3487988603750567,18.07501288092698,18.075009681315997,3.654053308005844e-11,1.7701846213617565e-07,0.1522886867928705,0.006992608592636744,5
34,0.02,0.02,300.0,8348.496895924978,8290.787503337422,-57.70939258755607,11.272468903631982,0.0,-68.98186149118806,1.1953316158462337,11.272471244582658,11.272468903631982,2.9467090204377275e-11,2.0766969595038633e-07,0.10804605855113446,0.005295901421849468,5
35,0.02,0.02,300.0,8290.787503159341,8222.313194967766,-68.47430819157489,-0.4253534637721319,0.0,-68.04895472780277,0.9937881305411354,-0.4253547995922309,-0.4253534637721319,2.9968357389205664e-11,3.140484368015867e-06,0.0316497588949272,0.003075773985299281,5
36,0.02,0.02,300.0,8222.313194762637,8188.59595758679,-33.717237175847,33.319780389690266,0.0,-67.03701756553727,1.988212059485068,33.31978319587632,33.319780389690266,2.600653868597229e-11,8.42198173022036e-08,0.2195476575482911,0.0074114877509592406,5
37,0.02,0.02,300.0,8188.595957410532,8138.715020825826,-49.88093658470552,16.41166031047022,0.0,-66.29259689517575,1.3290166832092396,16.411663952488897,16.41166031047022,3.266216608190188e-11,2.21916478823785e-07,0.14903616961494198,0.0058342400813529895,5
38,0.02,0.02,300.0,8138.715020592509,8097.182249538159,-41.53277105434972,23.879364396557026,0.0,-65.41213545090675,1.574952351850266,23.879367529027192,23.879364396557026,2.514904210502131e-11,1.3117894190938011e-07,0.18607210277009173,0.006712558543494499,5
39,0.02,0.02,300.0,8097.182249311732,8021.805881586223,-75.37636772550923,-10.748943572736938,0.0,-64.62742415277229,0.8573963710764053,-10.74894634852539,-10.748943572736938,3.5099194857400345e-11,2.582381902767314e-07,0.042320301354846004,0.0029296284172518052,5
40,0.02,0.02,300.0,8021.805881273338,7974.123218960813,-47.68266231252528,15.87581699301833,0.0,-63.558479305543614,1.3329473696112826,15.875819883046077,15.87581699301833,3.381110506319026e-11,1.8203959033750266e-07,0.10092317121777296,0.003569277148405992,5
41,0.02,0.02,300.0,7974.123218705659,7902.204089451321,-71.91912925433826,-9.254976213692117,0.0,-62.66415304064614,0.8713141231039885,-9.254978176402238,-9.254976213692117,2.3428391166148757e-11,2.1207074541303219e-07,0.03935607227706335,0.0019677994223534128,5
42,0.02,0.02,300.0,7902.204089094461,7851.917440002368,-50.286649092093285,11.350562602420025,0.0,-61.63721169451331,1.2257172193285932,11.35056505787668,11.350562602420025,2.920449836795441e-11,2.16329023556154e-07,0.06730596062198005,0.0022469827191679394,5
43,0.02,0.02,300.0,7851.917439686213,7801.232860625492,-50.68457906072035,10.091553233675942,0.0,-60.77613229439629,1.1991050023634646,10.09155635959219,10.091553233675942,2.9517139741519606e-11,3.097556151142933e-07,0.07709233630948839,0.002693701034357509,5
44,0.02,0.02,300.0,7801.232860247999,7732.28750208562,-68.9453581623793,-9.003663332689834,0.0,-59.941694829689474,0.8694087089737861,-9.00366549501835,-9.003663332689834,2.2730643784506453e-11,2.401609118586429e-07,0.04082107287988468,0.001517820148291282,5
45,0.02,0.02,300.0,7732.287501609169,7690.822609577282,-41.46489203188776,17.46258143207285,0.0,-58.92747346396061,1.4211413698760773,17.462584231764865,17.46258143207285,2.4648372803536706e-11,1.6032518319397005e-07,0.10519791932225156,0.0031287014727967473,5
46,0.02,0.02,300.0,7690.822609177099,7615.683240465143,-75.1393687119562,-17.0038354498992,0.0,-58.135533262056995,0.7737027108241655,-17.003838663392255,-17.0038354498992,2.7856069397203455e-11,1.8898632945583838e-07,0.08790554941573489,0.002474708984142082,5
47,0.02,0.02,300.0,7615.683239847574,7571.581513811208,-44.10172603636602,13.004306458488875,0.0,-57.106032494854894,1.294870691631561,13.004308687618481,13.004306458488875,2.0825598934607237e-11,1.7141469491240748e-07,0.06801191188495694,0.0018509708572219102,5
48,0.02,0.02,300.0,7571.5815133181695,7525.610454996926,-45.97105832124362,10.352448040804713,0.0,-56.323506362048334,1.2251949034643121,10.35245059933446,10.352448040804713,2.1232376204897845e-11,2.471424251317742e-07,0.07766359675434145,0.002471916960577315,5
49,0.02,0.02,300.0,7525.610454374403,7465.444627948534,-60.165826425869454,-4.667410083204976,0.0,-55.49841634266448,0.922424233813929,-4.667412001394862,-4.667410083204976,2.749613895545638e-11,4.109750511563419e-07,0.01753263146157153,0.000820991977901347,5
50,0.02,0.02,300.0,7465.444627185878,7407.720203823879,-57.72442336199856,-3.140257708019908,0.0,-54.58416565397865,0.9455991498030759,-3.1402603696415214,-3.140257708019908,3.398849490965796e-11,8.475799137748303e-07,0.020603349309263157,0.00077127862106285,5
51,0.02,0.02,300.0,7407.720203027265,7351.697729672995,-56.022473354270005,-2.329629761142496,0.0,-53.692843593127506,0.9584161565589832,-2.3296320336603937,-2.329629761142496,2.918740824525018e-11,9.754836236048997e-07,0.018597953221955187,0.0006558753155258733,5
52,0.02,0.02,300.0,7351.6977287959235,7297.091684471109,-54.60604432481432,-1.7871271642957032,0.0,-52.818917160518616,0.9672723562676451,-1.7871287639503322,-1.7871271642957032,2.251461344590249e-11,8.950975784447653e-07,0.01528635287262417,0.0005592785776542996,5
53,0.02,0.02,300.0,7297.09168353993,7243.742999024155,-53.34868451577495,-1.3884465309355245,0.0,-51.960237984839424,0.9739741186959359,-1.3884478748235705,-1.3884465309355245,4.0979683289006064e-11,9.679067326368692e-07,0.012208022759234284,0.000453823335173893,5
54,0.02,0.02,300.0,7243.742997986405,7191.543293165217,-52.19970482118788,-1.0841272018295027,0.0,-51.115577619358376,0.9792311622155102,-1.0841292154445676,-1.0841272018295027,2.6906830565596847e-11,1.8573570716707438e-06,0.0096504108162647,0.00036514250548830957,5
