step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,235.60079349315615,235.60079349315615,235.60079548831501,0.0,-1.995158868339786e-06,8.468387656351265e-09,235.60079349315615,235.60079548831501,4.476739260877245e-11,8.468387656351265e-09,1.4425157157688824,0.0400283852106868,5
2,0.02,0.02,300.0,235.60079349133565,609.1192455973845,373.51845210604887,376.87810110491773,0.0,-3.359648998868863,0.008914418187257802,376.8780990889928,376.87810110491773,2.992208911488015e-11,5.349010463085544e-09,2.5985051241007535,0.07862632289128424,5
3,0.02,0.02,300.0,609.1192455775904,1086.4496085873197,477.33036300972935,484.7696290097219,0.0,-7.439265999992529,0.01534598199806642,484.76962567386767,484.7696290097219,3.077646472202813e-11,6.8813185010610795e-09,3.530206454911803,0.1124930914612585,5
4,0.02,0.02,300.0,1086.4496085372307,1647.6357413869093,561.1861328496786,573.2121448594772,0.0,-12.026012009798592,0.020980037003135662,573.2121421015056,573.2121448594772,4.258252053613902e-11,4.811432649475605e-09,4.3025676830504365,0.14201489945980406,5
5,0.02,0.02,300.0,1647.6357412969703,2220.906673087831,573.2709317908609,590.3125521741723,0.0,-17.041620383311397,0.02886880910891295,590.3125489306309,590.3125521741723,4.592080636206174e-11,5.4946170501975945e-09,4.594884753298195,0.15758044657929896,5
6,0.02,0.02,300.0,2220.906672998959,2820.8730062747127,599.9663332757536,621.760005622478,0.0,-21.793672346724406,0.03505158284490423,621.7600020837142,621.760005622478,4.223654110429799e-11,5.691526983183579e-09,4.882899986354949,0.1708823949014609,5
7,0.02,0.02,300.0,2820.8730061811534,3384.4750327441343,563.6020265629809,590.2577151608372,0.0,-26.655688597856283,0.04515940734564219,590.2577108345189,590.2577151608372,4.921229266335235e-11,7.3295412579101035e-09,4.76025949823747,0.17156248228523585,5
8,0.02,0.02,300.0,3384.47503263588,3929.923456096165,545.4484234602851,576.4753539577997,0.0,-31.026930497514627,0.05382178142482379,576.4753502371257,576.4753539577997,4.4151148485344296e-11,6.454177128079956e-09,4.66871432739571,0.17086150103446668,5
9,0.02,0.02,300.0,3929.923456002284,4448.541694836834,518.6182388345496,553.8406399674668,0.0,-35.222401132917184,0.06359663518911539,553.8406366925587,553.8406399674668,3.985391646810666e-11,5.9130873234383466e-09,4.51561553959397,0.16745825117129942,5
10,0.02,0.02,300.0,4448.541694754962,4895.517196241715,446.9755014867533,486.14305157158697,0.0,-39.16755008483369,0.0805679520836802,486.14304956839936,486.14305157158697,3.129925604632261e-11,4.1205723230520425e-09,4.0606615054091035,0.1545273364156585,5
11,0.02,0.02,300.0,4895.517196151534,5318.338829133418,422.82163298188334,465.28250719541944,0.0,-42.4608742135361,0.09125826472496733,465.28250399930937,465.28250719541944,4.959782342806517e-11,6.869181674114042e-09,3.8447193615366935,0.14674726106244726,5
12,0.02,0.02,300.0,5318.3388290813655,5683.945688477526,365.60685939616087,411.22386159881125,0.0,-45.61700220265038,0.1109298522349712,411.22385890471816,411.22386159881125,3.453471911848398e-11,6.5514026532144664e-09,3.452871747539237,0.13402942926459366,5
13,0.02,0.02,300.0,5683.945688372423,5995.708380833404,311.76269246098036,360.0422969917932,0.0,-48.27960453081283,0.13409425763082863,360.0422947438504,360.0422969917932,4.23938585870538e-11,6.243551997503931e-09,3.048869365128432,0.12013590977094855,5
14,0.02,0.02,300.0,5995.7083807,6248.754450495577,253.04606979557684,303.550996654559,0.0,-50.504926858982174,0.16638036908327722,303.55099499760416,303.550996654559,3.2334557867297735e-11,5.45857160385194e-09,2.604564027678192,0.1046324251834926,5
15,0.02,0.02,300.0,6248.754450335526,6465.09730304919,216.3428527136639,268.59795800424325,0.0,-52.255105290579365,0.19454766402116078,268.5979567213405,268.59795800424325,3.086869588441701e-11,4.776293787863108e-09,2.289261873429391,0.09243941324580926,5
16,0.02,0.02,300.0,6465.0973028487815,6659.010354177371,193.91305132858906,247.63683325144592,0.0,-53.72378192285686,0.21694584451541063,247.63683213561166,247.63683325144592,3.108535531043795e-11,4.505930120425925e-09,2.0859685022110908,0.083772148141113,5
17,0.02,0.02,300.0,6659.010353950256,6793.395593644166,134.38523969391008,189.39210723088365,0.0,-55.00686753697357,0.2904390702507784,189.39210628257166,189.39210723088365,3.1551270781633166e-11,5.007135758471444e-09,1.665605530639332,0.06930215494254983,5
18,0.02,0.02,300.0,6793.395593498225,6903.368103644509,109.97251014628364,165.790346577122,0.0,-55.817836430838355,0.33667724076367217,165.7903457883651,165.790346577122,2.7683354443975066e-11,4.757556208630444e-09,1.4306238382055716,0.0595693690787964,5
19,0.02,0.02,300.0,6903.368103552972,7006.895005885834,103.52690233286194,159.96015533579535,0.0,-56.43325300293341,0.3527956876790114,159.96015451789484,159.96015533579535,2.7462306985864367e-11,5.113151533404951e-09,1.3401473169581677,0.05454125075131891,5
20,0.02,0.02,300.0,7006.895005826544,7094.52579757519,87.63079174864652,144.617492037526,0.0,-56.98670028887949,0.39405122773179,144.61749132764973,144.617492037526,2.4348035542417126e-11,4.908647391779307e-09,1.2176200095786434,0.049317971096201355,5
21,0.02,0.02,300.0,7094.525797522445,7149.721141104758,55.1953435823134,112.62133981765619,0.0,-57.425996235342794,0.5099033302953109,112.6213379017307,112.62133981765619,3.644342617658232e-11,1.7012099996341085e-08,0.9852480342196706,0.0410925243616478,5
22,0.02,0.02,300.0,7149.721141060058,7176.229464079017,26.508323018959345,84.11904115020747,0.0,-57.61071813124812,0.6848713126481712,84.11903922756792,84.11904115020747,4.065200810192853e-11,2.285617518481456e-08,0.7555605217346157,0.03265661284823636,5
23,0.02,0.02,300.0,7176.229464060613,7205.051677668192,28.822213607578306,86.35772465948861,0.0,-57.535511051910305,0.6662462597153265,86.35772267851715,86.35772465948861,2.4713425195456996e-11,2.2939134505290643e-08,0.7228223391960028,0.02990008628682907,4
24,0.02,0.02,300.0,7205.051670520584,7207.726437296574,2.674766775990065,60.175665163130766,0.0,-57.5008983871407,0.9555506903207631,60.17566229067734,60.175665163130766,3.8172911728076397e-11,4.773446909320703e-08,0.5417945105352264,0.023542476205490985,5
25,0.02,0.02,300.0,7207.7264372983445,7197.316134422256,-10.41030287608828,46.80951167897358,0.0,-57.21981455506186,1.2223971689233515,46.80951106667442,46.80951167897358,2.944375542295598e-11,1.3080656873893261e-08,0.4205621244232071,0.01865258610724987,5
26,0.02,0.02,300.0,7197.316134423572,7167.149057986871,-30.16707643670088,26.686382972915723,0.0,-56.853459409616605,1.8846194635039082,26.68638329010075,26.686382972915723,2.989567463349416e-11,1.1885650567184682e-08,0.26434947266841724,0.012909860006705905,5
27,0.02,0.02,300.0,7167.149057974703,7128.406780696804,-38.74227727789912,17.552898942865028,0.0,-56.29517622076415,1.4530683319660778,17.55289971544033,17.552898942865028,2.4364683082552595e-11,4.401411242789002e-08,0.17378755361925563,0.009023081253119887,5
28,0.02,0.02,300.0,7128.406780674693,7105.989891889545,-22.41688878514833,33.278891584666304,0.0,-55.695780369814635,1.6736068335724623,33.27889473947766,33.278891584666304,3.425255742493887e-11,9.479916257131517e-08,0.25557536195253616,0.010424048182765364,5
29,0.02,0.02,300.0,7105.989891945699,7068.823396577293,-37.166495368405776,18.060339605284977,0.0,-55.22683497369076,1.485930659489557,18.060340953908387,18.060339605284977,2.33308190286427e-11,7.467319768335371e-08,0.16871356418427572,0.007648825415116125,5
30,0.02,0.02,300.0,7068.823396552636,7054.445313993432,-14.378082559203904,40.27312724272942,0.0,-54.65120980193333,1.3570143056571204,40.27312949850199,40.27312724272942,3.486702276624116e-11,5.601185188205408e-08,0.2980981096122954,0.010888898503028209,5
31,0.02,0.02,300.0,7054.445314036859,7024.577015542977,-29.86829849388141,24.36589360988728,0.0,-54.23419210376869,1.8157777589801003,24.365895425364204,24.36589360988728,3.246654427810807e-11,7.450893524149367e-08,0.21610841958434657,0.008690731187689971,5
32,0.02,0.02,300.0,7024.577015520471,6968.4118106043215,-56.16520491614938,-2.464622922211994,0.0,-53.700581993937384,0.9561183311644371,-2.4646235879701415,-2.464622922211994,3.8778087182681754e-11,2.701256899948364e-07,0.03790448576391042,0.003362083901728303,5
