step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,150.0,0.0,70.59328784912925,70.59328784912925,70.59329037266968,0.0,-2.5235404308432408e-06,3.5747596089106986e-08,70.59328784912927,70.59329037266968,4.8021203021995866e-11,3.5747595887800964e-08,1.1375433225254794,0.03308443940292455,4
2,0.02,0.02,150.0,70.59328783273827,199.28196990153674,128.68868206879847,129.4138956320937,0.0,-0.7252135632952275,0.005603830715033199,129.41389461705748,129.4138956320937,2.6998513258179265e-11,7.843332539172726e-09,2.4016430695216133,0.07350544736143494,5
3,0.02,0.02,150.0,199.28196990039862,366.4069366937535,167.12496679335487,168.83858308539976,0.0,-1.7136162920448896,0.010149435399953163,168.83858214641992,168.83858308539976,2.4838319558166314e-11,5.5614055787736475e-09,3.4483949682149895,0.1095771921086898,5
4,0.02,0.02,150.0,366.40693669309275,572.8336690698777,206.42673237678497,209.19091403038345,0.0,-2.7641816535984844,0.013213679314948676,209.190913066939,209.19091403038345,2.3217202485478966e-11,4.605575027093551e-09,4.482438199924957,0.14594551655174637,5
5,0.02,0.02,150.0,572.8336690682421,819.4397457400269,246.60607667178476,250.53872185561605,0.0,-3.9326451838312835,0.015696755993261764,250.53872046402844,250.53872185561605,3.4315733216507536e-11,5.554381343439147e-09,5.5313901056104715,0.18347375933682356,5
6,0.02,0.02,150.0,819.4397457362237,1084.9526399077236,265.51289417149985,270.7465157291806,0.0,-5.233621557680749,0.0193303376170343,270.7465141280232,270.7465157291806,4.015436755268452e-11,5.913861544023596e-09,6.237878902502164,0.2115567167703505,5
7,0.02,0.02,150.0,1084.952639902142,1377.7725264733042,292.8198865711622,299.32838124744427,0.0,-6.508494676282055,0.021743660421233865,299.3283798647824,299.32838124744427,3.690665572933426e-11,4.6192140971127785e-09,6.99385205568883,0.2405804378065929,5
8,0.02,0.02,150.0,1377.772526461675,1694.179935840326,316.407409378651,324.2722529540662,0.0,-7.864843575415193,0.0242538283919385,324.27225129731283,324.2722529540662,4.5587133384227405e-11,5.1091430908655385e-09,7.686655636604227,0.26783287825068347,5
9,0.02,0.02,150.0,1694.1799358203111,2026.4938391255255,332.31390330521435,341.59572653322516,0.0,-9.281823228010808,0.027171953590315233,341.59572502714775,341.59572653322516,3.9344950179396835e-11,4.408946873033786e-09,8.233557419067283,0.29062517378564756,5
10,0.02,0.02,150.0,2026.4938390938678,2353.198061305818,326.7042222119503,337.42141588929604,0.0,-10.717193677345733,0.031762043464549736,337.4214144441962,337.42141588929604,3.7165638806700604e-11,4.282774472570383e-09,8.379372541230763,0.30103455228773446,5
11,0.02,0.02,150.0,2353.1980612704556,2684.696804497572,331.4987432271164,343.546641499859,0.0,-12.0478982727426,0.03506917785644412,343.54663998811156,343.546641499859,3.6231964393092096e-11,4.4004139323990906e-09,8.581263270492801,0.3117197950891496,5
12,0.02,0.02,150.0,2684.696804458459,3032.3399382332345,347.6431337747754,361.02006637199054,0.0,-13.37693259721516,0.03705315533190262,361.020065351894,361.02006637199054,3.308168675524942e-11,2.825595108098606e-09,8.963666713875957,0.32726472303809506,5
13,0.02,0.02,150.0,3032.339938191823,3370.2631957339495,337.9232575421265,352.7025318493126,0.0,-14.779274307186085,0.04190294362134132,352.7025308882738,352.7025318493126,3.154947368038587e-11,2.7247855981770795e-09,8.956112153062039,0.3312746054049408,5
14,0.02,0.02,150.0,3370.263195670565,3702.2159026884865,331.9527070179215,348.0493278618955,0.0,-16.096620843973994,0.04624810208040702,348.04932694581845,348.0493278618955,3.083833258610468e-11,2.6320322513413027e-09,8.912999606336122,0.33297113937006295,5
15,0.02,0.02,150.0,3702.2159026174777,4032.7370012318934,330.5210986144157,347.88805565191325,0.0,-17.36695703749757,0.0499211075383239,347.8880547540826,347.88805565191325,3.1210597843064035e-11,2.580803350416576e-09,8.917452830339679,0.33537670343144177,5
16,0.02,0.02,150.0,4032.737001155134,4357.847088743494,325.11008758836033,343.74324599110076,0.0,-18.633158402740435,0.05420661677007272,343.7432451276147,343.74324599110076,3.086109561670579e-11,2.512008734778973e-09,8.858850206196681,0.33553261575737414,5
17,0.02,0.02,150.0,4357.847088743978,4675.236557558244,317.38946881426637,337.2544457386199,0.0,-19.864976924353527,0.0589020461415929,337.2544449219081,337.2544457386199,3.0051873828440297e-11,2.421648741130813e-09,8.742732555956728,0.33344817406250005,5
18,0.02,0.02,150.0,4675.236557554706,4988.572455883605,313.3358983288981,334.39728830306217,0.0,-21.061389974164058,0.06298313625999338,334.3972875076554,334.39728830306217,3.010227540614187e-11,2.3786280711910503e-09,8.668216352896836,0.332087798750508,5
19,0.02,0.02,150.0,4988.572455879085,5282.497892399573,293.9254365204879,316.16434409331305,0.0,-22.238907572825156,0.07033970777635046,316.1643427871172,316.16434409331305,4.242048119396289e-11,4.131382464399521e-09,8.340214169636686,0.322900311175422,5
20,0.02,0.02,150.0,5282.497892333945,5558.184477034175,275.68658470023,299.01236210872946,0.0,-23.325777408499448,0.07800940818633287,299.0123605908886,299.01236210872946,4.9202577183186e-11,5.076181001187458e-09,7.96313673843747,0.31129048464604653,5
21,0.02,0.02,150.0,5558.184476972425,5833.682096355344,275.49761938291886,299.82482372832135,0.0,-24.327204345402492,0.08113805936044165,299.8248224095763,299.82482372832135,4.169561297824408e-11,4.398385092174689e-09,7.863169670775768,0.3073480971814897,5
22,0.02,0.02,150.0,5833.68209630855,6096.1978095520335,262.51571324348333,287.85660094427476,0.0,-25.340887700791427,0.08803302622786506,287.85659944003106,287.85660094427476,4.776611025137073e-11,5.225670328756985e-09,7.612585579654059,0.2992252955031152,5
23,0.02,0.02,150.0,6096.197809501076,6334.764264291194,238.56645479011786,264.87364492114114,0.0,-26.307190131023276,0.09931977241018268,264.87364376912103,264.87364492114114,4.004657972650532e-11,4.3493194822887295e-09,7.146461724208017,0.2841884125481502,5
24,0.02,0.02,150.0,6334.764264236652,6567.598881994776,232.8346177581243,260.00592063375905,0.0,-27.17130287563475,0.10450263136087541,260.0059194142051,260.00592063375905,3.925611802112889e-11,4.6904853096684544e-09,6.9258203835468315,0.2756951846823072,5
25,0.02,0.02,150.0,6567.598881958047,6786.150125134373,218.55124317632635,246.56153191497557,0.0,-28.010288738649223,0.11360364498509162,246.56153085635356,246.56153191497557,3.569128648828409e-11,4.293540887211683e-09,6.611864838428097,0.264656287155933,5
26,0.02,0.02,150.0,6786.150125097195,6988.3559298272385,202.20580473004338,231.00671126843565,0.0,-28.80090653839227,0.12467562686923363,231.00671036982249,231.00671126843565,3.1567019894192884e-11,3.88998726992045e-09,6.245144043861394,0.2517350410298913,5
27,0.02,0.02,150.0,6988.355929792238,7168.494656471525,180.13872667928626,209.66274328509698,0.0,-29.524016605810715,0.14081670469065788,209.66274209552745,209.66274328509698,2.95951170403879e-11,5.673728733301414e-09,5.763593207840928,0.23504776213789752,5
28,0.02,0.02,150.0,7168.494656450492,7338.085541449203,169.59088499871177,199.74235656986977,0.0,-30.151471571157998,0.15095181657482362,199.74235544058112,199.74235656986977,2.7170780818488847e-11,5.6537264692607155e-09,5.442066933232657,0.2226658323961968,5
29,0.02,0.02,150.0,7338.085541435137,7503.32373170463,165.2381902694924,195.98187885818913,0.0,-30.743688588696727,0.1568700574145562,195.98187763943463,195.98187885818913,2.7042932483578394e-11,6.2187101808452974e-09,5.260146266260835,0.21464908664707716,5
30,0.02,0.02,150.0,7503.3237316956665,7649.788878174274,146.4651464786075,177.78819173579532,0.0,-31.32304525718783,0.1761818091031371,177.7881908681993,177.78819173579532,2.171477914781259e-11,4.87994172231544e-09,4.874806293912081,0.200862384712197,5
31,0.02,0.02,150.0,7649.788878162131,7792.659640396174,142.87076223404256,174.69511282799405,0.0,-31.824350593951493,0.18217081221548515,174.69511187038717,174.69511282799405,2.1597764484003507e-11,5.481589443057024e-09,4.70142641527561,0.19302849092260022,5
32,0.02,0.02,150.0,7792.659640391182,7924.782620763948,132.1229803727665,164.4427993947333,0.0,-32.319819021966794,0.19654140613591328,164.44279796179967,164.4427993947333,3.502232288027171e-11,8.713872755782983e-09,4.4545488961483475,0.18341565299454782,5
33,0.02,0.02,150.0,7924.782620758799,8041.421274184806,116.6386534260073,149.40750050313838,0.0,-32.768847077131085,0.21932531477188294,149.40749943900434,149.40750050313838,2.890728392416329e-11,7.122360229364439e-09,4.114965033001433,0.1709468662844186,5
34,0.02,0.02,150.0,8041.421274178045,8138.663282686972,97.24200850892703,130.39757522463714,0.0,-33.15556671571011,0.2542652089856173,130.3975739287454,130.39757522463714,3.31017533009184e-11,9.938004851861836e-09,3.6821366925978896,0.15541552973800155,5
