step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,247.67736961748227,247.67736961748227,247.67737137903734,0.0,-1.761555068924281e-06,7.112297175620678e-09,247.67736961748227,247.67737137903734,3.619189243946648e-11,7.112297175620678e-09,2.359618828450137,0.07372496840101508,5
2,0.02,0.02,300.0,247.6773696145417,647.1050245707277,399.42765495618596,403.185097611935,0.0,-3.7574426557490597,0.009319398653383743,403.18509524953106,403.185097611935,4.716118100363671e-11,5.859353372272112e-09,4.337166332919646,0.14280070327240746,5
3,0.02,0.02,300.0,647.1050245549281,1165.5640123451956,518.4589877902674,526.7548468511147,0.0,-8.295859060847306,0.015748994262585494,526.7548435663891,526.7548468511147,4.6034584300859824e-11,6.235776713950792e-09,6.008797414382548,0.20468936579257746,5
4,0.02,0.02,300.0,1165.5640123229778,1783.8592028910518,618.2951905680741,631.6961116189126,0.0,-13.40092105083852,0.02121418955151489,631.6961078464196,631.6961116189126,3.726516576870213e-11,5.972005985803737e-09,7.451576754657713,0.2602154825794306,5
5,0.02,0.02,300.0,1783.859202851599,2427.4208149538786,643.5616121022795,662.5697752276235,0.0,-19.008163125344026,0.028688545472533574,662.5697711546941,662.5697752276235,3.9287838294410195e-11,6.147170556910962e-09,8.123953455737874,0.2914329346821194,5
6,0.02,0.02,300.0,2427.420814923495,3110.27902845231,682.8582135288148,707.2327325842407,0.0,-24.374519055425935,0.034464636508495614,707.2327284754193,707.2327325842407,3.682591024976196e-11,5.809716070429758e-09,8.772156078030408,0.319842418577303,5
7,0.02,0.02,300.0,3110.2790284421003,3765.2763668928656,654.9973384507653,684.9097715111078,0.0,-29.91243306034255,0.04367353818641998,684.9097675741929,684.9097715111078,3.419876795047308e-11,5.748078214141412e-09,8.733337028178484,0.3253876372551444,5
8,0.02,0.02,300.0,3765.276366860775,4408.987390092467,643.7110232316918,678.6830789168403,0.0,-34.97205568514846,0.051529287780333215,678.6830754886239,678.6830789168403,3.136884730030124e-11,5.051277195758698e-09,8.709224184183034,0.3287954793730975,5
9,0.02,0.02,300.0,4408.987390076859,5030.56572240977,621.5783323329115,661.4630139583193,0.0,-39.88468162540778,0.0602976746753085,661.4630109377775,661.4630139583193,3.128954365881173e-11,4.566455965538637e-09,8.555823674182296,0.3267164335287246,5
10,0.02,0.02,300.0,5030.565722400147,5581.031924767936,550.4662023677893,595.0366662376517,0.0,-44.570463869862465,0.0749037267764966,595.0366633854662,595.0366662376517,3.4465239548406945e-11,4.7932936988950625e-09,7.882369158549921,0.30677980286671014,5
11,0.02,0.02,300.0,5581.031924720366,6107.559327127609,526.5274024072432,575.111124626764,0.0,-48.58372221952072,0.08447710388327234,575.1111222632319,575.111124626764,3.394909013799972e-11,4.109696325848244e-09,7.559887594148345,0.2958084624685426,5
12,0.02,0.02,300.0,6107.55932707982,6574.279471891683,466.72014481186307,519.1896617511147,0.0,-52.46951693925166,0.10106040394233448,519.1896592505211,519.1896617511147,4.765808621339093e-11,4.816339372161817e-09,6.93029781029404,0.2747335946753463,5
