step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,252.52015381786077,252.52015381786077,252.52015663814842,0.0,-2.820287647864461e-06,1.1168564463968015e-08,252.52015381786077,252.52015663814842,3.453489005100531e-11,1.1168564463968015e-08,1.274635536453304,0.026999105595195475,5
2,0.019753705501618122,0.019519190938511326,300.0,252.52015380232575,640.4077985217939,387.88764471946814,396.5540393170757,0.0,-8.666394597607564,0.021854258785340752,396.55403611437316,396.5540393170757,3.612779543846825e-11,8.076333176618085e-09,2.386578502834005,0.054111952086953075,5
3,0.019519190938511326,0.01929800970873786,300.0,640.4077984661856,1125.640155329684,485.23235686349835,505.2794207392496,0.0,-20.047063875751235,0.03967520356641748,505.27941784643303,505.2794207392496,2.144696487345996e-11,5.72518181955683e-09,3.335332435946274,0.07776063550500055,6
4,0.01929800970873786,0.019091715210355985,300.0,1125.640155329009,1687.639876497276,561.9997211682669,594.5007202505797,0.0,-32.500999082312774,0.05466940236609593,594.500716051216,594.5007202505797,4.683896265801019e-11,7.0636812924014185e-09,4.150308563236649,0.09790584485750367,5
5,0.019091715210355985,0.018901860841423947,300.0,1687.639876179989,2254.1703123492243,566.5304361692354,611.4704132793922,0.0,-44.93997711015686,0.07349493308946568,611.4704104254834,611.4704132793922,2.393571665743907e-11,4.667288587775837e-09,4.541641274088007,0.10888012555059173,5
6,0.018901860841423947,0.01873,300.0,2254.170311933842,2844.0110348318103,589.8407228979681,644.7629617121697,0.0,-54.92223881420159,0.08518206236343888,644.7629585453072,644.7629617121697,3.2525070327233446e-11,4.911669361155557e-09,4.896355751470765,0.11753696623235746,5
7,0.01873,0.018578318897138145,300.0,2844.011034255354,3396.5260088357772,552.5149745804233,615.0772308886025,0.0,-62.562256308179144,0.10171447286025434,615.0772277313505,615.0772308886025,2.3619444452026698e-11,5.133098428731456e-09,4.877818370023414,0.11846626972373059,6
8,0.018578318897138145,0.018443526619709376,300.0,3396.5260088166056,3932.578342678222,536.0523338616163,604.0057221644167,0.0,-67.95338830280048,0.11250454392930875,604.0057188773433,604.0057221644167,2.4826744056795346e-11,5.442123059279143e-09,4.850685663082007,0.11790591232654721,6
9,0.018443526619709376,0.018318960879497432,300.0,3932.578342653567,4442.210431827465,509.6320891738983,583.4765213404157,0.0,-73.84443216651744,0.1265593892225093,583.4765180950269,583.4765213404157,2.4933814784580306e-11,5.562158384332648e-09,4.749195528305913,0.11549588450280332,6
10,0.018318960879497432,0.01819795938828606,300.0,4442.210431801852,4879.145070438427,436.9346386365751,518.2036148941434,0.0,-81.26897625756828,0.1568282696641736,518.2036124527103,518.2036148941434,1.936801728165658e-11,4.711339240701257e-09,4.3723480828459795,0.10749124408491371,6
11,0.01819795938828606,0.018073859857859004,300.0,4879.145070419283,5286.843676740373,407.69860632108976,498.2366979749917,0.0,-90.53809165390197,0.1817170273122804,498.23669535055546,498.2366979749917,2.564495115195437e-11,5.267448731985102e-09,4.168675102103591,0.10165543313185743,5
12,0.018073859857859004,0.01794,300.0,5286.843676196664,5627.758630064156,340.91495386749193,444.54480145576616,0.0,-103.62984758827423,0.23311451905165465,444.54479688231584,444.54480145576616,4.3843354908884755e-11,1.0287940182923268e-08,3.8065259953284456,0.09305049709904888,5
13,0.01794,0.017794147603485837,300.0,5627.758629606847,5903.125570667244,275.36694106039704,393.1721954943018,0.0,-117.80525443390474,0.29962763334726217,393.17219198750524,393.1721954943018,3.4520405095978266e-11,8.91923836825253e-09,3.4174733775192525,0.08348358006960416,5
14,0.017794147603485837,0.017640997821350764,300.0,5903.125570288443,6110.776572489655,207.65100220121258,336.3040877979896,0.0,-128.65308559677703,0.38254987157353876,336.3040853193694,336.3040877979896,2.749134803542955e-11,7.370175705402928e-09,2.982790246172478,0.07297074580829455,5
15,0.017640997821350764,0.017484279411764708,300.0,6110.776572198669,6274.083537081943,163.3069648832743,299.4275595140731,0.0,-136.1205946307988,0.4546027588499285,299.4275575288091,299.4275595140731,2.527511561588186e-11,6.630198048414912e-09,2.6464708607718834,0.06414021000363541,5
16,0.017484279411764708,0.017327721132897603,300.0,6274.083536831906,6408.783247707435,134.6997108755295,275.02679461009643,0.0,-140.32708373456694,0.5102305901994301,275.0267928506393,275.02679461009643,2.532250669515588e-11,6.397402561946903e-09,2.4032580461752713,0.0573019882880694,5
17,0.017327721132897603,0.017175051742919386,300.0,6408.783247476242,6483.786665464904,75.00341798866248,216.27292860167657,0.0,-141.2695106130141,0.6532001555922842,216.27292758079182,216.27292860167657,1.9386424392968872e-11,4.72035385720416e-09,1.986169339098894,0.04796374821287584,5
18,0.017175051742919386,0.01703,300.0,6483.786665334373,6535.835861554182,52.049196219809346,190.05839704296568,0.0,-138.00920082315633,0.726141033337018,190.05839623711586,190.05839704296568,1.7689547865927102e-11,4.240011675175223e-09,1.7185361238428605,0.04099445168769371,5
19,0.01703,0.016886403508771932,300.0,6535.835861480766,6576.776943043116,40.94108156235052,179.70335681976374,0.0,-138.76227525741322,0.7721740857439129,179.70335602993626,179.70335681976374,1.8378558071832465e-11,4.395173777593782e-09,1.5752587500009063,0.03656433873429554,5
20,0.016886403508771932,0.01673982456140351,300.0,6576.776942958155,6594.835790469651,18.058847511496424,160.782359342598,0.0,-142.72351183110158,0.8876814124053479,160.78235868084718,160.782359342598,1.6692222167136194e-11,4.1158173098370344e-09,1.4155708432582927,0.03237897703784796,5
21,0.01673982456140351,0.01659657894736842,300.0,6594.835790382802,6581.205060761489,-13.63072962131264,127.77709154747419,0.0,-141.40782116878682,1.1066758481996617,127.77708968824749,127.77709154747419,3.221332518331559e-11,1.4550547967487038e-08,1.1731893038972503,0.02706416275747439,5
22,0.01659657894736842,0.016462982456140352,300.0,6581.205060691848,6545.620593516811,-35.58446717503739,98.82578895925909,0.0,-134.41025613429647,1.3600726849720075,98.8257867707093,98.82578895925909,3.0963776886048457e-11,2.2145533153742606e-08,0.9353824831946531,0.021815195829899103,5
23,0.016462982456140352,0.016345350877192983,300.0,6545.620593459731,6520.972244337777,-24.648349121954197,97.19783331941757,0.0,-121.84618244137177,1.2535894914545396,97.19783078979572,97.19783331941757,3.2707068633886065e-11,2.6025496310383513e-08,0.8597646402746459,0.019260633668239057,5
24,0.016345350877192983,0.01625,300.0,6520.972244268903,6487.760605333306,-33.211638935596966,71.12134516302659,0.0,-104.33298409862356,1.4669714677002832,71.12134273554062,71.12134516302659,2.353843016844408e-11,3.413160931279543e-08,0.6748826010524588,0.015512600391019642,5
25,0.01625,0.016174763278058158,300.0,6487.760605279709,6456.546190679386,-31.214414600322925,56.92216164994767,0.0,-88.1365762502706,1.5483701548841589,56.92215890396892,56.92216164994767,3.1062760750644916e-11,4.8240942857810134e-08,0.5409829928188266,0.012495575993601061,5
26,0.016174763278058158,0.016110716173996637,300.0,6456.546190628115,6414.879636780234,-41.666553847881005,37.26894702635086,0.0,-78.93550087423186,1.8944571505100898,37.26894565180266,37.26894702635086,3.2752970885589094e-11,3.688186298792013e-08,0.3836357191498472,0.009279054992886273,5
27,0.016110716173996637,0.016054037490987747,300.0,6414.879636767821,6369.710885686674,-45.16875108114618,27.40421993967716,0.0,-72.57297102082335,1.6067074976336,27.40421997275837,27.40421993967716,2.07661825194302e-11,1.20715753605055e-09,0.2812613206161795,0.006928825767427737,5
28,0.016054037490987747,0.016000906032203797,300.0,6369.710885652389,6339.285271085722,-30.42561456666681,38.79496752268562,0.0,-69.22058208935243,1.784267045690275,38.79496636294426,38.79496752268562,2.5632708622533562e-11,2.989411856754009e-08,0.3205737710539449,0.006906743840057827,5
29,0.016000906032203797,0.01594750060081711,300.0,6339.285271039765,6294.188849377688,-45.096421662076864,23.95944604743579,0.0,-69.05586770951265,1.5312937293999118,23.959446581860206,23.95944604743579,2.2285583118683223e-11,2.2305373957882055e-08,0.23405290123887373,0.005385792214475314,5
