step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,194.78300322916624,194.78300322916624,194.78300522997068,0.0,-2.0008044430142036e-06,1.0271966184380165e-08,194.78300322916624,194.78300522997068,3.615421914108063e-11,1.0271966184380165e-08,0.9822899027854999,0.02187019131278302,5
2,0.019753705501618122,0.019519190938511326,300.0,194.7830032170553,504.61211720369226,309.82911398663697,316.50692514754695,0.0,-6.677811160909982,0.021098467775379538,316.506922971661,316.50692514754695,2.991434582798025e-11,6.8746866241767e-09,1.8936031312273778,0.04545538119694685,5
3,0.019519190938511326,0.01929800970873786,300.0,504.61211716285254,902.3940736009864,397.7819564381339,413.5679853465203,0.0,-15.786028908386413,0.03817033587636049,413.5679832681303,413.5679853465203,2.0000757564175e-11,5.025509812691281e-09,2.708830833594234,0.06738059316994574,6
4,0.01929800970873786,0.019091715210355985,300.0,902.3940736006125,1372.8916469718924,470.49757337127994,496.53476795354203,0.0,-26.03719458226209,0.052437807506559624,496.534763513426,496.53476795354203,4.94649779299567e-11,8.942205665884723e-09,3.437580766560971,0.08715344926702977,5
5,0.019091715210355985,0.018901860841423947,300.0,1372.891646753316,1860.2644071159684,487.37276036265234,523.898778882228,0.0,-36.5260185195757,0.06971960995501139,523.8987758409547,523.898778882228,3.774694233947161e-11,5.805078078685902e-09,3.847900853789314,0.09984316733212897,5
6,0.018901860841423947,0.01873,300.0,1860.2644068281222,2376.4961808476637,516.2317740195415,561.5055509049017,0.0,-45.273776885360235,0.08062925969725264,561.5055485884749,561.5055509049017,2.4816282233960418e-11,4.125385475503751e-09,4.221594135952556,0.11046171287040576,5
7,0.01873,0.018578318897138145,300.0,2376.496180447178,2873.829243008601,497.33306256142305,549.5302835843025,0.0,-52.19722102287949,0.0949851583836726,549.5302811632293,549.5302835843025,2.04857973888633e-11,4.405713867169535e-09,4.301038809824582,0.11457595421862626,6
8,0.018578318897138145,0.018443526619709376,300.0,2873.829242995027,3365.2952977717437,491.46605477671665,548.8530500331563,0.0,-57.386995256439604,0.1045580328887174,548.8530474779133,548.8530500331563,2.178541007963633e-11,4.65560496737064e-09,4.355611123932125,0.11689606434871175,6
9,0.018443526619709376,0.018318960879497432,300.0,3365.2952977542245,3841.6613274969823,476.36602974275775,539.4136911976525,0.0,-63.04766145489475,0.11688183389433615,539.4136886027459,539.4136911976525,2.2505648316037084e-11,4.810605775889671e-09,4.3398271346351445,0.1172050937824967,6
10,0.018318960879497432,0.01819795938828606,300.0,3841.6613274787296,4265.084854961577,423.423527482847,493.5281190266382,0.0,-70.10459154379117,0.1420478162055996,493.5281145834608,493.5281190266382,4.819483447091815e-11,9.002885961659394e-09,4.09689189110252,0.11241582003870128,5
11,0.01819795938828606,0.018073859857859004,300.0,4265.084854540992,4665.81961439595,400.7347598549586,479.6754110771545,0.0,-78.94065122219587,0.16457097737181797,479.675406776994,479.6754110771545,4.729391396433361e-11,8.96472983642683e-09,3.9666591663569695,0.10865567255168615,5
12,0.018073859857859004,0.01794,300.0,4665.81961396338,5013.628139828122,347.80852586474157,439.03304300811516,0.0,-91.22451714337359,0.2077850826861052,439.0330393487469,439.03304300811516,4.104951056820118e-11,8.335063396531066e-09,3.7035731119419566,0.10215702765200596,5
13,0.01794,0.017794147603485837,300.0,5013.628139448385,5306.983433076883,293.35529362849775,398.05204448539985,0.0,-104.6967508569021,0.2630227687745045,398.0520414401776,398.05204448539985,3.6925955188125086e-11,7.650311739975224e-09,3.4038413460277614,0.09429714968219144,5
14,0.017794147603485837,0.017640997821350764,300.0,5306.983432748087,5542.846566135273,235.86313338718628,351.2564301284776,0.0,-115.3932967412913,0.32851582730908124,351.2564277271694,351.2564301284776,3.399400949373631e-11,6.8363393796565125e-09,3.054998095291827,0.08515389078117183,5
