step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,225.9098884064176,225.9098884064176,225.90989004876198,0.0,-1.6423443867097376e-06,7.269909194127103e-09,225.90988840641756,225.90989004876198,2.300614043922345e-11,7.269909319937041e-09,1.1381808992669487,0.024682916772104622,5
2,0.019753705501618122,0.019519190938511326,300.0,225.90988839960232,579.1560977835919,353.2462093839896,360.6838640809258,0.0,-7.4376546969361925,0.020620979859712892,360.68386222822426,360.6838640809258,2.1182760949546114e-11,5.136635470762145e-09,2.1603451625001693,0.050309399219971525,5
3,0.019519190938511326,0.01929800970873786,300.0,579.1560977597082,1026.8385234526208,447.6824256929126,465.1888717398842,0.0,-17.506446046971575,0.037632985461355815,465.1888685593857,465.1888717398842,4.1643949290478795e-11,6.837004654849639e-09,3.0521803814936836,0.07333690251586544,5
4,0.01929800970873786,0.019091715210355985,300.0,1026.8385233998147,1550.7720002066733,523.9334768068586,552.6707163086909,0.0,-28.737239501832278,0.051997036669084645,552.6707135477925,552.6707163086909,2.357719076763997e-11,4.995557574034827e-09,3.832781490355544,0.09348186175096876,6
5,0.019091715210355985,0.018901860841423947,300.0,1550.7720002055362,2086.0439083922556,535.2719081867194,575.3841054108897,0.0,-40.112197224170245,0.06971377354180748,575.3841010023583,575.3841054108897,4.035815053380501e-11,7.661892857413311e-09,4.238985954996302,0.10539259227333092,5
6,0.018901860841423947,0.01873,300.0,2086.043908217328,2648.0069946191943,561.9630864018663,611.3830993396349,0.0,-49.42001293776855,0.08083313554324274,611.3830941057815,611.3830993396349,4.999976097124489e-11,8.560677198102793e-09,4.606904898375793,0.11504947215468647,5
7,0.01873,0.018578318897138145,300.0,2648.0069943900944,3181.690944368685,533.6839499785906,590.3092484215282,0.0,-56.625298442937606,0.09592480313386959,590.3092436442239,590.3092484215282,4.74364502392326e-11,8.092884044601944e-09,4.6378038330745115,0.11750213074766006,5
8,0.018578318897138145,0.018443526619709376,300.0,3181.690944121582,3704.083668001711,522.3927238801289,584.2432221059166,0.0,-61.85049822578776,0.10586429741169504,584.2432181107699,584.2432221059166,4.370514331458264e-11,6.8381566916566825e-09,4.650453543479385,0.11827087282920434,5
9,0.018443526619709376,0.018318960879497432,300.0,3704.0836677317143,4205.419665079089,501.3359973473748,568.9111696778504,0.0,-67.57517233047554,0.11877983054672739,568.9111657767559,568.9111696778504,4.111603248639429e-11,6.857124091367839e-09,4.589626624732655,0.11708236436540427,5
10,0.018318960879497432,0.01819795938828606,300.0,4205.419664798526,4642.976186564942,437.55652176641524,512.3628181995022,0.0,-74.80629643308691,0.14600258601114782,512.3628145905501,512.3628181995022,3.985264669803388e-11,7.043743082281417e-09,4.27507664579969,0.11049870458031519,5
11,0.01819795938828606,0.018073859857859004,300.0,4642.97618632534,5054.014078862338,411.0378925369978,494.95152307877254,0.0,-83.91363054177475,0.16953908944415902,494.9515197601577,494.95152307877254,3.9476468435627734e-11,6.7049290763444775e-09,4.103700637997126,0.1055214418013352,5
12,0.018073859857859004,0.01794,300.0,5054.0140786198235,5404.186453258082,350.1723746382586,446.88795069271976,0.0,-96.71557605446117,0.216420191917331,446.8879479520473,446.88795069271976,3.129652829476988e-11,6.132795630185622e-09,3.7857275009566433,0.09778322010106125,5
13,0.01794,0.017794147603485837,300.0,5404.186453046202,5693.274435693178,289.08798264697634,399.78961011624244,0.0,-110.7016274692661,0.2768997109181467,399.7896079512183,399.78961011624244,2.392526892863506e-11,5.415408794587923e-09,3.435425620206558,0.08888394377206946,5
