question,ladder,level,nr,nz,dt_s,baseline_final_max_C,candidate_final_max_C,candidate_minus_baseline_final_max_C,baseline_final_mean_C,candidate_final_mean_C,candidate_minus_baseline_final_mean_C,baseline_event_time_s,candidate_event_time_s,candidate_minus_baseline_event_time_s,candidate_temperature_range_C,candidate_max_abs_internal_minus_environment_C
Q2,spatial,L,8,8,120.0,1.7217183891465297,1.759966371321822,0.03824798217529235,1.313649957634833,1.3352011604899607,0.021551202855127682,,,,0.2396948242135295,0.39038998998154284
Q2,spatial,M,12,12,120.0,1.7265427082028952,1.7648196126969389,0.03827690449404364,1.311043942755252,1.3323227805316495,0.021278837776397497,,,,0.24915772889698928,0.39079281192869075
Q2,spatial,H,18,18,120.0,1.7287784429025774,1.7670685584349872,0.038290115532409796,1.309820246273838,1.3309726822925314,0.021152436018693432,,,,0.2541315630069221,0.3909754675115664
Q2,time,L,12,12,240.0,1.7290574468237598,1.7672210896081553,0.038163642784395435,1.3136192868207206,1.334577244091738,0.020957957271017458,,,,0.26565734033499666,0.4235069332550552
Q2,time,M,12,12,120.0,1.7265427082028952,1.7648196126969389,0.03827690449404364,1.311043942755252,1.3323227805316495,0.021278837776397497,,,,0.24915772889698928,0.39079281192869075
Q2,time,H,12,12,60.0,1.7249426372916659,1.763312873195944,0.03837023590427813,1.3096508666970645,1.3311196135520311,0.02146874685496658,,,,0.22362767877660872,0.34899525002805376
Q2,joint,L,8,8,240.0,1.7241982521282297,1.7623214320676317,0.03812317993940195,1.3162033272873042,1.33743350202933,0.02123017474202582,,,,0.25533033280277095,0.42306196795192363
Q2,joint,M,12,12,120.0,1.7265427082028952,1.7648196126969389,0.03827690449404364,1.311043942755252,1.3323227805316495,0.021278837776397497,,,,0.24915772889698928,0.39079281192869075
Q2,joint,H,18,18,60.0,1.7271689035437785,1.7655494971342667,0.03838059359048818,1.3084221222992738,1.3297643645202704,0.021342242220996566,,,,0.227993873219134,0.349140853341396
Q3,spatial,L,8,8,300.0,0.1499570573405631,0.14995785912892948,8.017883663669068e-07,0.1238776268862919,0.12387628589070786,-1.3409955840482102e-06,221580.0,221880.0,300.0,5.115907697472721e-13,6.252776074688882e-13
Q3,spatial,M,12,12,300.0,0.14993629910724604,0.14993638714134797,8.803410192492755e-08,0.12289941508536498,0.12289735811913033,-2.0569662346481277e-06,213120.0,213420.0,300.0,9.663381206337363e-13,1.1937117960769683e-12
Q3,spatial,H,18,18,300.0,0.1499955641981583,0.1499952950261403,-2.6917201798037915e-07,0.12229494104208061,0.12229254694102548,-2.394101055125386e-06,210000.0,210300.0,300.0,1.9895196601282805e-12,2.5011104298755527e-12
Q3,time,L,12,12,600.0,0.1499494548660489,0.14986481871778942,-8.463614825948707e-05,0.12290977715033988,0.1228476398415277,-6.213730881217405e-05,214080.0,214320.0,240.0,1.0231815394945443e-12,1.2505552149377763e-12
Q3,time,M,12,12,300.0,0.14993629910724604,0.14993638714134797,8.803410192492755e-08,0.12289941508536498,0.12289735811913033,-2.0569662346481277e-06,213120.0,213420.0,300.0,9.663381206337363e-13,1.1937117960769683e-12
Q3,time,H,12,12,150.0,0.149970806300947,0.1499719437876814,1.137486734387183e-06,0.12292336432288377,0.12292202230679608,-1.342016087688136e-06,212640.0,212940.0,300.0,9.094947017729282e-13,1.1368683772161603e-12
Q3,joint,L,8,8,600.0,0.14997099272970082,0.1498926659620626,-7.832676763822044e-05,0.12388844573512132,0.12383030057168717,-5.814516343415066e-05,222540.0,222840.0,300.0,5.684341886080801e-13,6.821210263296962e-13
Q3,joint,M,12,12,300.0,0.14993629910724604,0.14993638714134797,8.803410192492755e-08,0.12289941508536498,0.12289735811913033,-2.0569662346481277e-06,213120.0,213420.0,300.0,9.663381206337363e-13,1.1937117960769683e-12
Q3,joint,H,18,18,150.0,0.14998866837646388,0.14998947604200816,8.076655442779135e-07,0.12228947049142254,0.1222878069020791,-1.6635893434341353e-06,209520.0,209820.0,300.0,1.8758328224066645e-12,2.3874235921539366e-12
Q4,spatial,L,8,8,300.0,0.1499986305194078,0.14999223099787928,-6.399521528505092e-06,0.11770658867614146,0.11769997556747779,-6.613108663677814e-06,189600.0,189900.0,300.0,3.979039320256561e-13,5.115907697472721e-13
Q4,spatial,M,12,12,300.0,0.149967501458462,0.14995942641406115,-8.075044400840392e-06,0.11698914866981108,0.11698131617841888,-7.832491392203988e-06,186540.0,186840.0,300.0,1.0800249583553523e-12,1.3073986337985843e-12
Q4,spatial,H,18,18,300.0,0.1499500768898145,0.14994121191675344,-8.864973061045722e-06,0.11658739253381097,0.1165790169346745,-8.37559913646757e-06,185340.0,185640.0,300.0,1.8758328224066645e-12,2.3305801732931286e-12
Q4,time,L,12,12,600.0,0.1497221445847906,0.14986407050327413,0.00014192591848352643,0.11682728740588441,0.11691905085547272,9.176344958830573e-05,187260.0,187560.0,300.0,9.094947017729282e-13,1.1368683772161603e-12
Q4,time,M,12,12,300.0,0.149967501458462,0.14995942641406115,-8.075044400840392e-06,0.11698914866981108,0.11698131617841888,-7.832491392203988e-06,186540.0,186840.0,300.0,1.0800249583553523e-12,1.3073986337985843e-12
Q4,time,H,12,12,150.0,0.14994000771865426,0.14993178010324973,-8.227615404532429e-06,0.11697038583537028,0.11696244671332265,-7.939122047634362e-06,186240.0,186480.0,240.0,9.663381206337363e-13,1.1368683772161603e-12
Q4,joint,L,8,8,600.0,0.14976107268751565,0.14990044683146816,0.00013937414395251424,0.11754812883736737,0.11763933934084923,9.121050348186166e-05,190320.0,190620.0,300.0,3.979039320256561e-13,5.115907697472721e-13
Q4,joint,M,12,12,300.0,0.149967501458462,0.14995942641406115,-8.075044400840392e-06,0.11698914866981108,0.11698131617841888,-7.832491392203988e-06,186540.0,186840.0,300.0,1.0800249583553523e-12,1.3073986337985843e-12
Q4,joint,H,18,18,150.0,0.14999857028432736,0.149989554895147,-9.015389180355715e-06,0.11661883553383598,0.11661035448486662,-8.481048969360971e-06,184980.0,185280.0,300.0,1.8758328224066645e-12,2.2737367544323206e-12
