question,parameter,metric,low,base,high,low_high_span,source_status
Q2,h,final_max_C,1.7701069587674028,1.759966371321822,1.7535243053278422,0.016582653439560557,audit envelope; not identified
Q2,hm,final_max_C,1.851782637560423,1.759966371321822,1.6861716932427526,0.16561094431767032,audit envelope; not identified
Q2,rho,final_max_C,1.7505303435754276,1.759966371321822,1.7701634656223235,0.019633122046895934,audit envelope; not identified
Q2,cp,final_max_C,1.750530343575428,1.759966371321822,1.7701634656223248,0.019633122046896823,audit envelope; not identified
Q2,k,final_max_C,1.7624585097912868,1.759966371321822,1.7583662025014997,0.004092307289787156,audit envelope; not identified
Q3,h,t_star_s,221910.43801288772,221841.08277370883,221795.17856588122,115.25944700650871,audit envelope; not identified
Q3,hm,t_star_s,226304.64863940995,221841.08277370883,219359.44525922858,6945.203380181367,audit envelope; not identified
Q3,rho,t_star_s,221776.3788074227,221841.08277370883,221906.77572055426,130.39691313155345,audit envelope; not identified
Q3,cp,t_star_s,221776.37880742215,221841.08277370883,221906.77572055437,130.39691313222283,audit envelope; not identified
Q3,k,t_star_s,221853.60266180438,221841.08277370883,221832.78237364843,20.820288155955495,audit envelope; not identified
Q4,h,t_star_s,189951.64287559479,189886.1250996116,189843.26351811131,108.37935748347081,audit envelope; not identified
Q4,hm,t_star_s,191772.54291250434,189886.1250996116,188920.65072940328,2851.8921831010666,audit envelope; not identified
Q4,rho,t_star_s,189822.36850210023,189886.1250996116,189952.1045908497,129.73608874945785,audit envelope; not identified
Q4,cp,t_star_s,189822.3685021003,189886.1250996116,189952.10459084914,129.73608874884667,audit envelope; not identified
Q4,k,t_star_s,189902.6923825631,189886.1250996116,189875.36337046555,27.329012097558007,audit envelope; not identified
