question,parameter,level,multiplier,source_status,t_star_s,reported_event_time_s,final_max_C,final_mean_C,runtime_s,status
Q2,base,base,1.0,protocol reference,,,1.759966371321822,1.3352011604899607,0.7351546999998391,
Q2,h,low,0.8,audit envelope; not identified,,,1.7701069587674028,1.3399158797386452,0.6624516000010772,OK
Q2,h,high,1.2,audit envelope; not identified,,,1.7535243053278422,1.332015942681687,0.6606339999998454,OK
Q2,hm,low,0.8,audit envelope; not identified,,,1.851782637560423,1.4658313378346701,0.6509063999983482,OK
Q2,hm,high,1.2,audit envelope; not identified,,,1.6861716932427526,1.2327452149031854,0.8471561000042129,OK
Q2,rho,low,0.8,audit envelope; not identified,,,1.7505303435754276,1.3307318605764222,0.34700180000800174,OK
Q2,rho,high,1.2,audit envelope; not identified,,,1.7701634656223235,1.339601327884219,0.2696481000020867,OK
Q2,cp,low,0.8,audit envelope; not identified,,,1.750530343575428,1.3307318605764225,0.33730949999880977,OK
Q2,cp,high,1.2,audit envelope; not identified,,,1.7701634656223248,1.339601327884219,0.3651642999902833,OK
Q2,k,low,0.8,audit envelope; not identified,,,1.7624585097912868,1.3359945331317549,0.3484025999932783,OK
Q2,k,high,1.2,audit envelope; not identified,,,1.7583662025014997,1.334667786609177,0.6750844000052894,OK
Q3,base,base,1.0,protocol reference,221841.08277370883,221880.0,0.14995785912892948,0.12387628589070786,4.29176500000176,
Q3,h,low,0.8,audit envelope; not identified,221910.43801288772,221940.0,0.14997580064532734,0.12388869600446353,4.33825159999833,OK
Q3,h,high,1.2,audit envelope; not identified,221795.17856588122,221820.0,0.1499459954933351,0.1238680805829998,4.322907099995064,OK
Q3,hm,low,0.8,audit envelope; not identified,226304.64863940995,226320.0,0.14994813971895846,0.12374179285421258,4.393676499996218,OK
Q3,hm,high,1.2,audit envelope; not identified,219359.44525922858,219360.0,0.14993702206382886,0.12394426399035818,4.370274999993853,OK
Q3,rho,low,0.8,audit envelope; not identified,221776.3788074227,221820.0,0.1499411394118891,0.12386466816286514,4.348981899995124,OK
Q3,rho,high,1.2,audit envelope; not identified,221906.77572055426,221940.0,0.14997485273646735,0.12388810421566321,4.301570299998275,OK
Q3,cp,low,0.8,audit envelope; not identified,221776.37880742215,221820.0,0.14994113941188894,0.12386466816286518,4.339656600001035,OK
Q3,cp,high,1.2,audit envelope; not identified,221906.77572055437,221940.0,0.14997485273646738,0.12388810421566322,4.233954900002573,OK
Q3,k,low,0.8,audit envelope; not identified,221853.60266180438,221880.0,0.14996109638503538,0.1238785981155555,4.375600999992457,OK
Q3,k,high,1.2,audit envelope; not identified,221832.78237364843,221880.0,0.1499557132699907,0.12387475208381885,4.335309899994172,OK
Q4,base,base,1.0,protocol reference,189886.1250996116,189900.0,0.14999223099787928,0.11769997556747779,3.990553799987538,
Q4,h,low,0.8,audit envelope; not identified,189951.64287559479,189960.0,0.149878176409828,0.11762274927847759,4.065217500014114,OK
Q4,h,high,1.2,audit envelope; not identified,189843.26351811131,189900.0,0.1499713348004269,0.11768641426060203,2.8035286999947857,OK
Q4,hm,low,0.8,audit envelope; not identified,191772.54291250434,191820.0,0.14988809438283718,0.11760418606292605,2.8675807999970857,OK
Q4,hm,high,1.2,audit envelope; not identified,188920.65072940328,188940.0,0.14996037555864009,0.1176964692182528,2.6432509000005666,OK
Q4,rho,low,0.8,audit envelope; not identified,189822.36850210023,189840.0,0.14996115569303398,0.11767967661809556,2.693840200008708,OK
Q4,rho,high,1.2,audit envelope; not identified,189952.1045908497,189960.0,0.14987840037064792,0.11762306387934678,2.767376500007231,OK
Q4,cp,low,0.8,audit envelope; not identified,189822.3685021003,189840.0,0.149961155693034,0.11767967661809559,2.892378500007908,OK
Q4,cp,high,1.2,audit envelope; not identified,189952.10459084914,189960.0,0.14987840037064767,0.11762306387934675,2.751841200006311,OK
Q4,k,low,0.8,audit envelope; not identified,189902.6923825631,189960.0,0.1498544469814661,0.11760754713897724,2.8996694999950705,OK
Q4,k,high,1.2,audit envelope; not identified,189875.36337046555,189900.0,0.1499869823380422,0.11769644060272562,2.8855733999953372,OK
