implementation,question,ladder,level,source_case,nr,nz,dt_s,metric,value,reported_value,adjacent_change,refinement_status
prescribed-T-baseline,Q2,spatial,L,spatial-L,8,8,120.0,final_max_C,1.7217183891465297,1.7217183891465297,,NA
prescribed-T-baseline,Q2,spatial,M,spatial-M,12,12,120.0,final_max_C,1.7265427082028952,1.7265427082028952,0.004824319056365489,DECREASING
prescribed-T-baseline,Q2,spatial,H,spatial-H,18,18,120.0,final_max_C,1.7287784429025774,1.7287784429025774,0.0022357346996821903,DECREASING
prescribed-T-baseline,Q3,spatial,L,spatial-L,8,8,300.0,interpolated_event_time_s,221537.98118517897,221580.0,,NA
prescribed-T-baseline,Q3,spatial,M,spatial-M,12,12,300.0,interpolated_event_time_s,213073.87641462096,213120.0,8464.104770558013,DECREASING
prescribed-T-baseline,Q3,spatial,H,spatial-H,18,18,300.0,interpolated_event_time_s,209987.95033904279,210000.0,3085.9260755781725,DECREASING
prescribed-T-baseline,Q4,spatial,L,spatial-L,8,8,300.0,interpolated_event_time_s,189599.24276876322,189600.0,,NA
prescribed-T-baseline,Q4,spatial,M,spatial-M,12,12,300.0,interpolated_event_time_s,186537.3033848835,186540.0,3061.9393838797114,DECREASING
prescribed-T-baseline,Q4,spatial,H,spatial-H,18,18,300.0,interpolated_event_time_s,185303.73147967656,185340.0,1233.5719052069471,DECREASING
internal-temperature,Q2,spatial,L,spatial-L,8,8,120.0,final_max_C,1.759966371321822,1.759966371321822,,NA
internal-temperature,Q2,spatial,M,spatial-M,12,12,120.0,final_max_C,1.7648196126969389,1.7648196126969389,0.004853241375116779,DECREASING
internal-temperature,Q2,spatial,H,spatial-H,18,18,120.0,final_max_C,1.7670685584349872,1.7670685584349872,0.002248945738048347,DECREASING
internal-temperature,Q3,spatial,L,spatial-L,8,8,300.0,interpolated_event_time_s,221841.08277370883,221880.0,,NA
internal-temperature,Q3,spatial,M,spatial-M,12,12,300.0,interpolated_event_time_s,213374.19495377087,213420.0,8466.887819937954,DECREASING
internal-temperature,Q3,spatial,H,spatial-H,18,18,300.0,interpolated_event_time_s,210287.00624195047,210300.0,3087.188711820403,DECREASING
internal-temperature,Q4,spatial,L,spatial-L,8,8,300.0,interpolated_event_time_s,189886.1250996116,189900.0,,NA
internal-temperature,Q4,spatial,M,spatial-M,12,12,300.0,interpolated_event_time_s,186821.2146792596,186840.0,3064.910420352011,DECREASING
internal-temperature,Q4,spatial,H,spatial-H,18,18,300.0,interpolated_event_time_s,185586.26261226917,185640.0,1234.9520669904305,DECREASING
