implementation,question,ladder,level,source_case,nr,nz,dt_s,metric,value,reported_value,adjacent_change,refinement_status
prescribed-T-baseline,Q2,time,L,time-L,12,12,240.0,final_max_C,1.7290574468237598,1.7290574468237598,,NA
prescribed-T-baseline,Q2,time,M,time-M,12,12,120.0,final_max_C,1.7265427082028952,1.7265427082028952,0.0025147386208645983,DECREASING
prescribed-T-baseline,Q2,time,H,time-H,12,12,60.0,final_max_C,1.7249426372916659,1.7249426372916659,0.0016000709112293787,DECREASING
prescribed-T-baseline,Q3,time,L,time-L,12,12,600.0,interpolated_event_time_s,214021.40263932114,214080.0,,NA
prescribed-T-baseline,Q3,time,M,time-M,12,12,300.0,interpolated_event_time_s,213073.87641462096,213120.0,947.526224700181,DECREASING
prescribed-T-baseline,Q3,time,H,time-H,12,12,150.0,interpolated_event_time_s,212598.43229646937,212640.0,475.44411815158674,DECREASING
prescribed-T-baseline,Q4,time,L,time-L,12,12,600.0,interpolated_event_time_s,187245.62076418687,187260.0,,NA
prescribed-T-baseline,Q4,time,M,time-M,12,12,300.0,interpolated_event_time_s,186537.3033848835,186540.0,708.3173793033639,DECREASING
prescribed-T-baseline,Q4,time,H,time-H,12,12,150.0,interpolated_event_time_s,186182.49531246268,186240.0,354.80807242082665,DECREASING
internal-temperature,Q2,time,L,time-L,12,12,240.0,final_max_C,1.7672210896081553,1.7672210896081553,,NA
internal-temperature,Q2,time,M,time-M,12,12,120.0,final_max_C,1.7648196126969389,1.7648196126969389,0.0024014769112163936,DECREASING
internal-temperature,Q2,time,H,time-H,12,12,60.0,final_max_C,1.763312873195944,1.763312873195944,0.0015067395009948914,DECREASING
internal-temperature,Q3,time,L,time-L,12,12,600.0,interpolated_event_time_s,214315.00717468484,214320.0,,NA
internal-temperature,Q3,time,M,time-M,12,12,300.0,interpolated_event_time_s,213374.19495377087,213420.0,940.8122209139692,DECREASING
internal-temperature,Q3,time,H,time-H,12,12,150.0,interpolated_event_time_s,212902.53380224042,212940.0,471.66115153045394,DECREASING
internal-temperature,Q4,time,L,time-L,12,12,600.0,interpolated_event_time_s,187530.75895693287,187560.0,,NA
internal-temperature,Q4,time,M,time-M,12,12,300.0,interpolated_event_time_s,186821.2146792596,186840.0,709.5442776732671,DECREASING
internal-temperature,Q4,time,H,time-H,12,12,150.0,interpolated_event_time_s,186466.07990531749,186480.0,355.13477394211804,DECREASING
