step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,37.5,0.0,4.61922329471315,4.61922329471315,4.6192224098811785,0.0,8.848319712484454e-07,1.9155427542573317e-07,4.61922329471315,4.6192224098811785,1.9680022575053183e-11,1.9155427542573317e-07,0.18841803684528982,0.004504729374556655,5
2,0.02,0.02,37.5,4.6192232947066225,14.014679471858917,9.395456177152294,9.4179759576241,0.0,-0.022519780471805362,0.002391148647345506,9.417977563696452,9.4179759576241,2.8853796433225703e-11,1.70532616114487e-07,0.4561575832588388,0.011757958655493856,5
3,0.02,0.02,37.5,14.014679471865598,28.638359095663294,14.623679623797695,14.681295825611866,0.0,-0.057616201814170154,0.003924462969655399,14.681298280836183,14.681295825611866,3.4030483655779075e-11,1.672348228489514e-07,0.7889364252050682,0.021238072704196156,4
4,0.02,0.02,37.5,28.638359095722084,47.03073779858142,18.392378702859336,18.496344005000335,0.0,-0.10396530214099897,0.005620856863004538,18.4963463064362,18.496344005000335,2.8376273724880424e-11,1.244265126009572e-07,1.1016469502948893,0.03081770752314271,4
5,0.02,0.02,37.5,47.03073779871695,68.51769983671596,21.486962037999014,21.640198948843114,0.0,-0.1532369108441003,0.007081123015844193,21.6402017146293,21.640198948843114,3.60530390106475e-11,1.2780778208256753e-07,1.393127048724116,0.04007509792475315,4
6,0.02,0.02,37.5,68.51769983694672,92.03978389661185,23.522084059665133,23.725944084471948,0.0,-0.20386002480681498,0.008592282949037059,23.72594678478855,23.725944084471948,3.728911369095859e-11,1.1381280703796814e-07,1.6395686012326565,0.048304322308451816,4
7,0.02,0.02,37.5,92.03978389693896,119.89566427220267,27.85588037526371,28.108738456291466,0.0,-0.25285808102775675,0.008995710761653217,28.108741822151323,28.108738456291466,3.1973367358780736e-11,1.1974423753266115e-07,1.967231716928887,0.05838744335560047,4
8,0.02,0.02,37.5,119.89566427273789,153.43479404119168,33.53912976845379,33.84948398651101,0.0,-0.3103542180572205,0.009168654334018693,33.84948539764404,33.84948398651101,2.1604171971396495e-11,4.168846322893634e-08,2.380434984030832,0.07093241417913801,4
9,0.02,0.02,37.5,153.43479404205573,189.44515687945804,36.01036283740231,36.38945602087725,0.0,-0.3790931834749358,0.010417665580311056,36.389459307383824,36.38945602087725,3.945532817553725e-11,9.03147955141445e-08,2.6991393988453387,0.08176950650284376,4
10,0.02,0.02,37.5,189.44515688058644,228.14715969972346,38.70200281913702,39.1476578011707,0.0,-0.44565498203368037,0.011383950076838394,39.14766142768593,39.1476578011707,4.285927499158561e-11,9.263682932979627e-08,3.002409682026861,0.09208293728514844,4
