step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,227.1856252545246,227.1856252545246,227.18562705220432,0.0,-1.7976797153096413e-06,7.912823265428485e-09,227.1856252545246,227.18562705220432,4.849640608413175e-11,7.912823265428485e-09,4.68745503736684,0.15076239724023768,5
2,0.019753705501618122,0.019519190938511326,300.0,227.1856252471276,580.9639730862928,353.7783478391651,361.7853203586128,0.0,-8.006972519447686,0.022131833628603083,361.785317104457,361.7853203586128,4.947968604630235e-11,8.994714828396363e-09,8.642488561428108,0.27427301382228875,5
3,0.019519190938511326,0.01929800970873786,300.0,580.9639730313828,1028.2923327507608,447.328359719378,465.7764077024428,0.0,-18.448047983064782,0.03960708974948804,465.77640422020977,465.7764077024428,3.754508066431893e-11,7.47619019464981e-09,12.038882713391404,0.3768117105267543,6
4,0.01929800970873786,0.019091715210355985,300.0,1028.2923327502274,1550.9361964070486,522.6438636568212,552.6095290584285,0.0,-29.96566540160734,0.0542257486089043,552.6095258712262,552.6095290584285,4.147092319812138e-11,5.76754858987638e-09,14.993721679003905,0.4633231795121732,6
5,0.019091715210355985,0.018901860841423947,300.0,1550.9361964122609,2083.8416448535604,532.9054484412995,574.4945552726281,0.0,-41.589106831328536,0.07239251695186616,574.4945522377609,574.4945552726281,4.524028092178961e-11,5.28267352452201e-09,16.439450610249565,0.5027334271477497,6
6,0.018901860841423947,0.01873,300.0,2083.8416448577386,2642.6474165727896,558.8057717150509,609.8617923016404,0.0,-51.05602058658951,0.08371736224678422,609.861789917842,609.8617923016404,4.1571353940460145e-11,3.908751933717582e-09,17.806921939041672,0.5391421152483133,6
7,0.01873,0.018578318897138145,300.0,2642.647416574292,3172.357657970231,529.7102413959387,588.1154067014147,0.0,-58.405165305475975,0.09930902105261151,588.1154043195302,588.1154067014147,4.856623462506136e-11,4.050029152281234e-09,17.822067325765904,0.5357644877729599,6
8,0.018578318897138145,0.018443526619709376,300.0,3172.3576579708706,3690.2481736502223,517.8905156793517,581.6007898376604,0.0,-63.71027415830872,0.1095429636127074,581.6007872858829,581.6007898376604,4.012169839628965e-11,4.387506885829517e-09,17.834105063513643,0.5323657095480515,6
9,0.018443526619709376,0.018318960879497432,300.0,3690.2481736531836,4186.633628117662,496.38545446447824,565.8804726157508,0.0,-69.49501815127257,0.12280865220536016,565.8804699925122,565.8804726157508,3.918514063312007e-11,4.635676182390713e-09,17.564385874870897,0.5208626818332196,6
10,0.018318960879497432,0.01819795938828606,300.0,4186.6336281226595,4618.888576882816,432.25494876015637,509.02003181947595,0.0,-76.76508305931958,0.1508095521995966,509.0200283269884,509.02003181947595,4.063174164652522e-11,6.8611986692211684e-09,16.284363268409162,0.48060271154837675,6
11,0.01819795938828606,0.018073859857859004,300.0,4618.888576884172,5024.5315852610165,405.6430083768446,491.4890228793869,0.0,-85.84601450254229,0.1746651715629653,491.4890190679621,491.4890228793869,4.123955845058207e-11,7.754852321364093e-09,15.63740690259324,0.4578893653070421,6
12,0.018073859857859004,0.01794,300.0,5024.5315852618005,5369.232759269162,344.70117400736126,443.306666257149,0.0,-98.60549224978774,0.22243178313179174,443.3066629345376,443.306666257149,3.8074985815900176e-11,7.495063030786377e-09,14.381188734419245,0.41809735961760247,6
13,0.01794,0.017794147603485837,300.0,5369.232759269354,5652.948915181907,283.7161559125534,396.21632407976654,0.0,-112.50016816721313,0.28393622708125604,396.21632104644004,396.21632407976654,3.8213801032686035e-11,7.655733266772938e-09,13.021238686347825,0.3754249224378011,6
14,0.017794147603485837,0.017640997821350764,300.0,5652.948915174833,5873.114673676855,220.16575850202207,343.47224757810636,0.0,-123.30648907608429,0.35899986082003355,343.47224529164066,343.47224757810636,3.745115727821479e-11,6.656915419921587e-09,11.48013103493677,0.3283034376914699,6
15,0.017640997821350764,0.017484279411764708,300.0,5873.114673665985,6050.300320706177,177.18564704019263,308.1165956652532,0.0,-130.93094862506058,0.42493961853099194,308.1165937700001,308.1165956652532,3.337694415428008e-11,6.151090590077865e-09,10.281610540184934,0.2909775995152243,6
16,0.017484279411764708,0.017327721132897603,300.0,6050.30032069093,6198.792763616021,148.49244292509138,283.9137457462994,0.0,-135.42130282120803,0.47698043807367557,283.9137440620751,283.9137457462994,3.23460093776822e-11,5.932168880090795e-09,9.398482974871484,0.2626760321440774,6
