step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,227.25166344252347,227.25166344252347,227.25166526737743,0.0,-1.8248539674914355e-06,8.030101629153598e-09,227.25166344252347,227.25166526737743,4.6685060171017796e-11,8.030101629153598e-09,6.368237431615193,0.2101500240926509,5
2,0.019753705501618122,0.019519190938511326,300.0,227.25166343584692,581.0978546491206,353.84619121327364,361.86224501163605,0.0,-8.016053798362407,0.022152224800641034,361.86224160978645,361.86224501163605,4.8554642535045456e-11,9.400952001984566e-09,11.712032143088054,0.37956513059018937,5
3,0.019519190938511326,0.01929800970873786,300.0,581.0978545919539,1028.4861935075473,447.3883389155934,465.8507530389723,0.0,-18.462414123378892,0.03963160733977467,465.85075005187923,465.8507530389723,3.6957830907360375e-11,6.412124590138591e-09,16.294969829549974,0.5195409579954171,6
4,0.01929800970873786,0.019091715210355985,300.0,1028.4861935102936,1551.1781527126905,522.6919592023969,552.6760600155075,0.0,-29.984100813110558,0.05425257756282991,552.6760575347766,552.6760600155075,4.111555996440196e-11,4.488580188526949e-09,20.2802390608309,0.637343943651524,6
5,0.019091715210355985,0.018901860841423947,300.0,1551.1781527130727,2084.1049891855328,532.9268364724601,574.5372233234194,0.0,-41.610386850959344,0.07242417925554662,574.5372208606681,574.5372233234194,4.947148865087579e-11,4.286495729056647e-09,22.21943275983237,0.689789204039725,6
6,0.018901860841423947,0.01873,300.0,2084.1049891862604,2642.9191515803427,558.8141623940824,609.8922062540788,0.0,-51.078043859996455,0.0837492975581943,609.8922039726738,609.8922062540788,4.805006257359186e-11,3.7406692886530456e-09,24.06129296866236,0.7388883427577027,6
7,0.01873,0.018578318897138145,300.0,2642.919151575798,3172.6127132845636,529.6935617087656,588.1214226725616,0.0,-58.42786096379598,0.09934659529708352,588.1214204837679,588.1214226725616,4.408304670805173e-11,3.7216697378680447e-09,24.070168335733115,0.7328610967605962,6
8,0.018578318897138145,0.018443526619709376,300.0,3172.612713279082,3690.4748094703027,517.8620961912206,581.5946987413986,0.0,-63.732602550177944,0.10958250253672985,581.5946963696722,581.5946987413986,4.6250150795131065e-11,4.077971138414608e-09,24.082813884997268,0.7275906670449275,6
9,0.018443526619709376,0.018318960879497432,300.0,3690.474809466493,4186.820609547534,496.3458000810415,565.8627095635965,0.0,-69.51690948255498,0.1228511939515641,565.8627071541562,565.8627095635965,4.541958070181157e-11,4.257994488967379e-09,23.714955470928956,0.7112887306855734,6
10,0.018318960879497432,0.01819795938828606,300.0,4186.8206095460455,4619.017247541524,432.19663799547834,508.9834496948965,0.0,-76.78681169941814,0.15086308159026976,508.98344647789884,508.9834496948965,4.731881653569919e-11,6.3204366323674226e-09,21.97847489632691,0.6552447776382597,6
