step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019984290870246765,0.019984290870246765,18.75,0.0,1.16163124288631,1.16163124288631,1.161630191332313,0.0,1.0515539969890852e-06,9.052390794657732e-07,1.16163124288631,1.161630191332313,1.619398244507546e-11,9.052390794657732e-07,0.054170733933753906,0.0009217996312440226,3
2,0.019984290870246765,0.019968622067152105,18.75,1.161631241506938,3.4139496644461795,2.2523184229392417,2.2572911256650765,0.0,-0.004972702725834832,0.0022029514355928286,2.2572925621653,2.2572911256650765,2.3164496176019832e-11,6.363819416848822e-07,0.13173818353516958,0.002507710938297467,3
3,0.019968622067152105,0.019952993969963594,18.75,3.413949659612718,6.704621192106625,3.2906715324939073,3.3040340298862936,0.0,-0.013362497392386263,0.004044297749816495,3.304034952003999,3.3040340298862936,2.2905751164224136e-11,2.7908836277442124e-07,0.22261216308833723,0.0045779654624535085,3
4,0.019952993969963594,0.0199374069579288,18.75,6.704621182009027,11.229632074267453,4.525010892258426,4.549524743582176,0.0,-0.024513851323749947,0.005388222441988168,4.5495255204858935,4.549524743582176,2.6135738420134838e-11,1.7076587742184166e-07,0.33350309226448394,0.007195900996178748,3
5,0.0199374069579288,0.01992186141029531,18.75,11.229632055462059,16.997625238700657,5.767993183238598,5.807021792831043,0.0,-0.03902860959244503,0.006720933894311731,5.8070223232883595,5.807021792831043,2.950534401271508e-11,9.134755934503566e-08,0.4583133357013881,0.010265855356327961,3
6,0.01992186141029531,0.019906357706310683,18.75,16.997625208270506,23.962210243981055,6.964585035710549,7.021189549512303,0.0,-0.05660451380175413,0.008061954944043053,7.021189792496348,7.021189549512303,3.2970986916284176e-11,3.460724642261261e-08,0.5917796568873132,0.01367281146578726,3
7,0.019906357706310683,0.01989089622522249,18.75,23.962210199109073,31.857731465424674,7.895521266315601,7.9723781195972485,0.0,-0.07685685328164737,0.00964039238087845,7.972378194325343,7.9723781195972485,2.6949849728768164e-11,9.373375547640153e-09,0.7206737344164004,0.017154472324152587,4
8,0.01989089622522249,0.019875477346278318,18.75,31.85773146543312,40.51195511677653,8.654223651343408,8.752873083642491,0.0,-0.09864943229908363,0.01127052013166297,8.752873073830127,8.752873083642491,2.9840516841059686e-11,1.1210449598310027e-09,0.8424718332315757,0.02058170903319805,4
9,0.019875477346278318,0.019860101448725725,18.75,40.51195511678481,49.91162809023487,9.399672973450059,9.521133347448691,0.0,-0.12146037399863197,0.012756923946578147,9.521133220431278,9.521133347448691,3.290841581083652e-11,1.334057709737031e-08,0.9622288194565736,0.023979327856212547,4
10,0.019860101448725725,0.019844768911812298,18.75,49.911628090242466,59.92071010921982,10.009082018977352,10.15449033435509,0.0,-0.1454083153777379,0.014319607443594338,10.154490131135425,10.15449033435509,3.4754160160087424e-11,2.00127882743955e-08,1.075594634269684,0.027265520116885662,4
