implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source
prescribed-T-baseline,Q3,spatial,L,Q3-spatial-L,8,8,300.0,259200.0,0,1,1.6353247999941232,True,221537.98118517897,221580.0,221580.0,0.1499570573405631,0.1238776268862919,4.99947832932694e-11,5,9.886499349742728e-08,8.28408090871381e-10,0.0,0.0,0.0,"[221400.0, 221700.0, 0.1500347199123142, 0.1499570573405631]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,spatial,M,Q3-spatial-M,12,12,300.0,259200.0,1,1,2.5338532000023406,True,213073.87641462096,213120.0,213120.0,0.14993629910724604,0.12289941508536498,4.9996596081789475e-11,6,9.979609778831833e-08,6.225082448398065e-10,0.0,0.0,0.0,"[213000.0, 213300.0, 0.15001948489166855, 0.14993629910724604]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,spatial,H,Q3-spatial-H,18,18,300.0,259200.0,2,1,3.7518377999949735,True,209987.95033904279,210000.0,210000.0,0.1499955641981583,0.12229494104208061,4.999351570502116e-11,8,9.952085572306757e-08,5.800743577394837e-10,0.0,0.0,0.0,"[209700.0, 210000.0, 0.15008110524003243, 0.1499955641981583]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,time,L,Q3-time-L,12,12,600.0,259200.0,1,0,1.5957794999994803,True,214021.40263932114,214080.0,214080.0,0.1499494548660489,0.12290977715033988,4.999498010685082e-11,8,9.86337362757217e-08,4.848114547168983e-10,0.0,0.0,0.0,"[213600.0, 214200.0, 0.15011590234465472, 0.1499494548660489]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,time,M,Q3-time-M,12,12,300.0,259200.0,1,1,2.51261199999135,True,213073.87641462096,213120.0,213120.0,0.14993629910724604,0.12289941508536498,4.9996596081789475e-11,6,9.979609778831833e-08,6.225082448398065e-10,0.0,0.0,0.0,"[213000.0, 213300.0, 0.15001948489166855, 0.14993629910724604]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q3,time,H,Q3-time-H,12,12,150.0,259200.0,1,2,3.3944909000128973,True,212598.43229646937,212640.0,212640.0,0.149970806300947,0.12292336432288377,4.9980036237153883e-11,5,9.986597604427772e-08,1.4567686348856246e-09,0.0,0.0,0.0,"[212550.0, 212700.0, 0.1500124440923998, 0.149970806300947]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q4,spatial,L,Q4-spatial-L,8,8,300.0,259200.0,0,1,1.609179099992616,True,189599.24276876322,189600.0,189600.0,0.1499986305194078,0.11770658867614146,4.99927793318908e-11,5,9.930165481564224e-08,4.530111278913787e-10,4.440892098500626e-16,0.0,4.0792193595404256e-15,"[189300.0, 189600.0, 0.1501450114031786, 0.1499986305194078]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q4,spatial,M,Q4-spatial-M,12,12,300.0,259200.0,1,1,2.2065108999959193,True,186537.3033848835,186540.0,186540.0,0.149967501458462,0.11698914866981108,4.995032556008601e-11,6,9.93169985002984e-08,8.257924512688225e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186300.0, 186600.0, 0.15011822032013966, 0.149967501458462]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q4,spatial,H,Q4-spatial-H,18,18,300.0,259200.0,2,1,3.210039699988556,True,185303.73147967656,185340.0,185340.0,0.1499500768898145,0.11658739253381097,4.998739731805519e-11,7,9.999814835903731e-08,5.58541578252244e-10,4.440892098500626e-16,0.0,1.2641259571463846e-14,"[185100.0, 185400.0, 0.15010253517011568, 0.1499500768898145]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
prescribed-T-baseline,Q4,time,L,Q4-time-L,12,12,600.0,259200.0,1,0,1.618064999987837,True,187245.62076418687,187260.0,187260.0,0.1497221445847906,0.11682728740588441,4.998387370268755e-11,7,9.963109148802829e-08,3.7159619165307e-10,4.440892098500626e-16,0.0,6.762125337742086e-15,"[187200.0, 187800.0, 0.1500217828800128, 0.1497221445847906]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package
