implementation,question,family,level,label,nr,nz,dt_s,duration_s,space_level,time_level,runtime_s,completed_to_event,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C,max_linear_relative_residual,max_picard_iterations,max_picard_update,normalized_moisture_balance_error,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,temperature_solver_calls,internal_temperature_min_C,internal_temperature_max_C,internal_temperature_mean_C,internal_temperature_range_C,max_abs_internal_minus_environment_C,environment_temperature_C_at_last_record,parameter_multipliers,source,adjacent_change_s,refinement_status,ladder
prescribed-T-baseline,Q3,time,L,Q3-time-L,12,12,600.0,259200.0,1,0,1.5957794999994803,True,214021.40263932114,214080.0,214080.0,0.1499494548660489,0.12290977715033988,4.999498010685082e-11,8,9.86337362757217e-08,4.848114547168983e-10,0.0,0.0,0.0,"[213600.0, 214200.0, 0.15011590234465472, 0.1499494548660489]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,,NA,time
prescribed-T-baseline,Q3,time,M,Q3-time-M,12,12,300.0,259200.0,1,1,2.51261199999135,True,213073.87641462096,213120.0,213120.0,0.14993629910724604,0.12289941508536498,4.9996596081789475e-11,6,9.979609778831833e-08,6.225082448398065e-10,0.0,0.0,0.0,"[213000.0, 213300.0, 0.15001948489166855, 0.14993629910724604]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,947.526224700181,DECREASING,time
prescribed-T-baseline,Q3,time,H,Q3-time-H,12,12,150.0,259200.0,1,2,3.3944909000128973,True,212598.43229646937,212640.0,212640.0,0.149970806300947,0.12292336432288377,4.9980036237153883e-11,5,9.986597604427772e-08,1.4567686348856246e-09,0.0,0.0,0.0,"[212550.0, 212700.0, 0.1500124440923998, 0.149970806300947]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,475.44411815158674,DECREASING,time
prescribed-T-baseline,Q3,time,X,Q3-time-X,12,12,75.0,259200.0,M,X,5.077585199993337,True,212360.43495025407,212400.0,212400.0,0.14998801141124135,0.12293532328910334,4.9994445069005e-11,5,9.976078191309412e-08,3.5111383717631284e-09,0.0,0.0,0.0,"[212325.0, 212400.0, 0.15000884151665486, 0.14998801141124135]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,237.99734621529933,DECREASING,time
prescribed-T-baseline,Q3,time,Y,Q3-time-Y,12,12,37.5,259200.0,M,Y,8.586988299997756,True,212241.1135316349,212280.0,212280.0,0.14999653125241633,0.12294124634203805,4.998653863858476e-11,4,9.994573663130168e-08,7.0883065729775525e-09,0.0,0.0,0.0,"[212212.5, 212250.0, 0.15000694911816276, 0.14999653125241633]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,119.3214186191617,DECREASING,time
prescribed-T-baseline,Q3,time,Z,Q3-time-Z,12,12,18.75,259200.0,M,Z,14.013358699987293,True,212181.4583783719,212220.0,212220.0,0.14999558539047345,0.12294050691847834,4.999453570882757e-11,4,9.998629069141174e-08,5.9064812005075e-09,0.0,0.0,0.0,"[212175.0, 212193.75, 0.15000079413595552, 0.14999558539047345]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,59.655153263011016,PASS_60S,time
prescribed-T-baseline,Q4,time,L,Q4-time-L,12,12,600.0,259200.0,1,0,1.618064999987837,True,187245.62076418687,187260.0,187260.0,0.1497221445847906,0.11682728740588441,4.998387370268755e-11,7,9.963109148802829e-08,3.7159619165307e-10,4.440892098500626e-16,0.0,6.762125337742086e-15,"[187200.0, 187800.0, 0.1500217828800128, 0.1497221445847906]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,,NA,time
prescribed-T-baseline,Q4,time,M,Q4-time-M,12,12,300.0,259200.0,1,1,2.1154237000009743,True,186537.3033848835,186540.0,186540.0,0.149967501458462,0.11698914866981108,4.995032556008601e-11,6,9.93169985002984e-08,8.257924512688225e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186300.0, 186600.0, 0.15011822032013966, 0.149967501458462]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,708.3173793033639,DECREASING,time
prescribed-T-baseline,Q4,time,H,Q4-time-H,12,12,150.0,259200.0,1,2,3.276488999996218,True,186182.49531246268,186240.0,186240.0,0.14994000771865426,0.11697038583537028,4.993913611614288e-11,5,9.966251927895353e-08,9.423424433404574e-10,6.661338147750939e-16,0.0,8.096214461664643e-15,"[186150.0, 186300.0, 0.15001531400972498, 0.14994000771865426]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},existing-completion-package,354.80807242082665,DECREASING,time
prescribed-T-baseline,Q4,time,X,Q4-time-X,12,12,75.0,259200.0,M,X,4.501637800000026,True,186005.26598336615,186060.0,186060.0,0.14996397045414164,0.11698602112517642,4.997237436345878e-11,4,9.993837608857081e-08,3.85102973783648e-09,6.661338147750939e-16,0.0,7.91717151666865e-15,"[186000.0, 186075.0, 0.15000164526575002, 0.14996397045414164]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,177.22932909653173,DECREASING,time
prescribed-T-baseline,Q4,time,Y,Q4-time-Y,12,12,37.5,259200.0,M,Y,8.026107800003956,True,185916.30964036667,185940.0,185940.0,0.14999463130175966,0.11700624990173271,4.99992756612172e-11,4,9.98563904897054e-08,3.951650655663065e-09,6.661338147750939e-16,0.0,8.458699278555036e-15,"[185887.5, 185925.0, 0.15001348278672977, 0.14999463130175966]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,88.95634299947415,DECREASING,time
prescribed-T-baseline,Q4,time,Z,Q4-time-Z,12,12,18.75,259200.0,M,Z,12.41691629998968,True,185871.80437172455,185880.0,185880.0,0.14999111041817428,0.11700386055000792,4.999350462693841e-11,3,9.997986281928828e-08,1.2127353594630192e-08,6.661338147750939e-16,0.0,8.426338897534696e-15,"[185868.75, 185887.5, 0.1500005353138609, 0.14999111041817428]",0,49.99893442622948,49.99893442622948,49.99893442622948,0.0,0.0,49.99893442622948,{},new-refinement-run,44.505268642125884,PASS_60S,time
internal-temperature,Q3,time,L,Q3-time-L,12,12,600.0,259200.0,1,0,2.6590714000049047,True,214315.00717468484,214320.0,214320.0,0.14986481871778942,0.1228476398415277,4.9983496415731463e-11,8,9.939769762823403e-08,5.503379156196833e-10,0.0,0.0,0.0,"[214200.0, 214800.0, 0.15003081863598208, 0.14986481871778942]",241,49.99893442622971,49.99893442623073,49.99893442623017,1.0231815394945443e-12,1.2505552149377763e-12,49.99893442622948,{},existing-completion-package,,NA,time
internal-temperature,Q3,time,M,Q3-time-M,12,12,300.0,259200.0,1,1,4.161268299998483,True,213374.19495377087,213420.0,213420.0,0.14993638714134797,0.12289735811913033,4.9961524537958594e-11,6,9.979815110416901e-08,5.159444118141093e-10,0.0,0.0,0.0,"[213300.0, 213600.0, 0.15001957331415186, 0.14993638714134797]",273,49.99893442622971,49.998934426230676,49.99893442623012,9.663381206337363e-13,1.1937117960769683e-12,49.99893442622948,{},existing-completion-package,940.8122209139692,DECREASING,time
internal-temperature,Q3,time,H,Q3-time-H,12,12,150.0,259200.0,1,2,6.440948499992373,True,212902.53380224042,212940.0,212940.0,0.1499719437876814,0.12292202230679608,4.9998686609928506e-11,5,9.989338436988682e-08,1.6594230524897539e-09,0.0,0.0,0.0,"[212850.0, 213000.0, 0.1500135831656512, 0.1499719437876814]",571,49.99893442622971,49.99893442623062,49.99893442623004,9.094947017729282e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package,471.66115153045394,DECREASING,time
internal-temperature,Q3,time,X,Q3-time-X,12,12,75.0,259200.0,M,X,8.946618200003286,True,212666.57099660204,212700.0,212700.0,0.1499897150833393,0.12293436754330783,4.9996226804341995e-11,5,9.978481202432832e-08,1.9798952842196723e-09,0.0,0.0,0.0,"[212625.0, 212700.0, 0.15001054635794422, 0.1499897150833393]",1351,49.99893442622965,49.99893442623073,49.99893442623008,1.0800249583553523e-12,1.2505552149377763e-12,49.99893442622948,{},new-refinement-run,235.96280563838081,DECREASING,time
internal-temperature,Q3,time,Y,Q3-time-Y,12,12,37.5,259200.0,M,Y,14.771043400003691,True,212548.3022911776,212580.0,212580.0,0.14999852832905303,0.12294049088487222,4.999846710214472e-11,5,9.998728461857453e-08,3.0695550936340267e-09,0.0,0.0,0.0,"[212512.5, 212550.0, 0.15000894687684976, 0.14999852832905303]",2074,49.998934426227834,49.998934426230676,49.99893442622957,2.8421709430404007e-12,1.6484591469634324e-12,49.99893442622948,{},new-refinement-run,118.26870542444522,DECREASING,time
internal-temperature,Q3,time,Z,Q3-time-Z,12,12,18.75,259200.0,M,Z,27.874686299997848,True,212489.1856483684,212520.0,212520.0,0.14999773193516688,0.12293985388863629,4.999810864804011e-11,4,9.996124994415823e-08,5.023268003364926e-09,0.0,0.0,0.0,"[212475.0, 212493.75, 0.150002941046458, 0.14999773193516688]",7866,49.99893442622738,49.99893442622914,49.99893442622832,1.7621459846850485e-12,2.1032064978498966e-12,49.99893442622948,{},new-refinement-run,59.11664280918194,PASS_60S,time
internal-temperature,Q4,time,L,Q4-time-L,12,12,600.0,259200.0,1,0,2.604159599999548,True,187530.75895693287,187560.0,187560.0,0.14986407050327413,0.11691905085547272,4.9984118810436245e-11,7,9.950339048547807e-08,5.051488878805279e-10,4.440892098500626e-16,0.0,6.762125337742086e-15,"[187200.0, 187800.0, 0.1501647590502849, 0.14986407050327413]",218,49.99893442622971,49.99893442623062,49.99893442623011,9.094947017729282e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package,,NA,time
internal-temperature,Q4,time,M,Q4-time-M,12,12,300.0,259200.0,1,1,3.515455300002941,True,186821.2146792596,186840.0,186840.0,0.14995942641406115,0.11698131617841888,4.9971273697610745e-11,6,9.99937673495932e-08,8.934328808464882e-10,4.440892098500626e-16,0.0,7.218180869947748e-15,"[186600.0, 186900.0, 0.150110115345325, 0.14995942641406115]",314,49.99893442622971,49.99893442623079,49.99893442623015,1.0800249583553523e-12,1.3073986337985843e-12,49.99893442622948,{},existing-completion-package,709.5442776732671,DECREASING,time
internal-temperature,Q4,time,H,Q4-time-H,12,12,150.0,259200.0,1,2,5.8650199999974575,True,186466.07990531749,186480.0,186480.0,0.14993178010324973,0.11696244671332265,4.9987857677868163e-11,5,9.957245031277928e-08,1.0716019596358608e-09,6.661338147750939e-16,0.0,8.096214461664643e-15,"[186450.0, 186600.0, 0.15000707115300924, 0.14993178010324973]",643,49.99893442622965,49.99893442623062,49.99893442623009,9.663381206337363e-13,1.1368683772161603e-12,49.99893442622948,{},existing-completion-package,355.13477394211804,DECREASING,time
internal-temperature,Q4,time,X,Q4-time-X,12,12,75.0,259200.0,M,X,8.398926599998958,True,186288.75206463513,186300.0,186300.0,0.14999334572994624,0.11700303091694814,4.999959231930476e-11,5,9.988843693853333e-08,2.3872600295392523e-09,6.661338147750939e-16,0.0,7.91717151666865e-15,"[186225.0, 186300.0, 0.15003104778283638, 0.14999334572994624]",1337,49.99893442622965,49.998934426230505,49.99893442622997,8.526512829121202e-13,1.0231815394945443e-12,49.99893442622948,{},new-refinement-run,177.32784068235196,DECREASING,time
internal-temperature,Q4,time,Y,Q4-time-Y,12,12,37.5,259200.0,M,Y,14.301143599994248,True,186199.75379788363,186240.0,186240.0,0.14998631117197428,0.11699824095280122,4.999760770490673e-11,4,9.995572541887654e-08,2.7137279183788126e-09,6.661338147750939e-16,0.0,8.458699278555036e-15,"[186187.5, 186225.0, 0.150005158800967, 0.14998631117197428]",4062,49.99893442622829,49.99893442622931,49.99893442622878,1.0231815394945443e-12,1.1937117960769683e-12,49.99893442622948,{},new-refinement-run,88.99826675149961,DECREASING,time
internal-temperature,Q4,time,Z,Q4-time-Z,12,12,18.75,259200.0,M,Z,23.70314060000237,True,186155.23103687423,186180.0,186180.0,0.14999220435951838,0.11700209798213039,4.9998885993165606e-11,5,9.99550188313103e-08,1.3100602010529203e-08,6.661338147750939e-16,0.0,8.426338897534696e-15,"[186150.0, 186168.75, 0.15000162950979395, 0.14999220435951838]",7206,49.998934426227834,49.99893442622931,49.99893442622839,1.4779288903810084e-12,1.6484591469634324e-12,49.99893442622948,{},new-refinement-run,44.52276100940071,PASS_60S,time
