step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,248.1635733530312,248.1635733530312,248.1635747594473,0.0,-1.4064160893667577e-06,5.667294608928972e-09,248.1635733530312,248.1635747594473,4.874552425828692e-11,5.667294608928972e-09,32.539987493238044,1.2144135665691063,5
2,0.02,0.02,300.0,248.16357335131482,648.1558098312997,399.9922364799849,403.7880640105495,0.0,-3.7958275305645657,0.009400544168797905,403.78806148530896,403.7880640105495,4.962539748240619e-11,6.253876087727569e-09,58.93202767587221,2.230272489976303,5
3,0.02,0.02,300.0,648.155809824702,1167.1577153108087,519.0019054861067,527.3735266150462,0.0,-8.371621128939523,0.015874177800832896,527.3735243258145,527.3735266150462,4.299043875722215e-11,4.3408164923883295e-09,81.1075435689351,3.110617424626645,6
4,0.02,0.02,300.0,1167.1577153088253,1785.9295263890656,618.7718110802402,632.2862567885244,0.0,-13.514445708284143,0.021373935560336257,632.2862548349623,632.2862567885244,4.4970535279936634e-11,3.0896798467439305e-09,100.21776335228907,3.8874776441348184,6
5,0.02,0.02,300.0,1785.9295263845881,2429.763702236083,643.834175851495,662.9914140237207,0.0,-19.157238172225675,0.028895152738041736,662.9914120317997,662.9914140237207,4.7239683876688026e-11,3.0044447410147104e-09,108.81757600275736,4.274464479617678,6
6,0.02,0.02,300.0,2429.763702229364,3112.7836433220627,683.0199410926989,707.5667012782877,0.0,-24.546760185588823,0.034691796746854714,707.5666993593121,707.5667012782877,4.903906196482624e-11,2.7120773343532844e-09,117.35930545840856,4.651340672598354,6
7,0.02,0.02,300.0,3112.783643313129,3767.7278954047797,654.9442520916509,685.0461309606428,0.0,-30.10187886899189,0.04394138950435339,685.0461290267738,685.0461309606428,4.9023825283758125e-11,2.8229763751194037e-09,116.51272913635204,4.668306329771204,6
8,0.02,0.02,300.0,3767.7278953946607,4411.277632101308,643.5497367066473,678.7165093009532,0.0,-35.16677259430594,0.05181363958646902,678.7165074103502,678.7165093009532,4.931682011185867e-11,2.785556252802353e-09,116.11472550778801,4.687889972483319,6
9,0.02,0.02,300.0,4411.277632090798,5032.593937633419,621.3163055426212,661.3952243660137,0.0,-40.07891882339254,0.06059753283191687,661.3952227591429,661.3952243660137,4.7337367784366584e-11,2.4295167809271374e-09,113.97715865808601,4.630805247876711,6
10,0.02,0.02,300.0,5032.593937622146,5582.637162748397,550.043225126251,594.8043696336994,0.0,-44.76114450744842,0.07525355695522856,594.8043680547073,594.8043696336994,4.543140477164659e-11,2.654640981035917e-09,104.7590990728612,4.298651286777915,6
11,0.02,0.02,300.0,5582.637162736802,6108.731132156521,526.0939694197195,574.8574230393294,0.0,-48.76345361960989,0.08482704000201054,574.8574216656184,574.8574230393294,4.4867738972711056e-11,2.3896551985190976e-09,100.54469521645377,4.141383950007746,6
12,0.02,0.02,300.0,6108.7311321462585,6574.9369023739955,466.20577022773705,518.844846847525,0.0,-52.63907661978794,0.10145436914256797,518.8448453182223,518.844846847525,4.265109591017132e-11,2.9475145240126364e-09,92.03185936115149,3.81672901013589,6
