step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,248.16083077209709,248.16083077209709,248.16083221523525,0.0,-1.4431381600843451e-06,5.815334141177767e-09,248.16083077209709,248.16083221523525,4.99924855660193e-11,5.815334141177767e-09,24.308689800599183,0.9036475076657969,5
2,0.02,0.02,300.0,248.16083077029504,648.1499296372411,399.9890988669461,403.7846868455079,0.0,-3.795587978561798,0.009400029526166821,403.7846843136382,403.7846868455079,4.852374130518668e-11,6.270346037635866e-09,44.041955568776054,1.6614718518857168,5
3,0.02,0.02,300.0,648.1499296308826,1167.1488584381696,518.9989288072869,527.3700875362862,0.0,-8.371158728999262,0.015873404515805566,527.3700851310249,527.3700875362862,4.27144481539555e-11,4.560860278600154e-09,60.625147595408706,2.3187291231925005,6
4,0.02,0.02,300.0,1167.1488584361023,1785.9180738401294,618.7692154040271,632.2829999762488,0.0,-13.513784572221653,0.021373000021713832,632.282997886329,632.2829999762488,4.424077605162612e-11,3.305355044366272e-09,74.91657698764638,2.8989640368005722,6
5,0.02,0.02,300.0,1785.9180738361738,2429.7507840555554,643.8327102193816,662.9891125989664,0.0,-19.156402379584733,0.02889399239829176,662.9891106137723,662.9891125989664,4.767793080569613e-11,2.9943087534945194e-09,81.3540118321103,3.188929665997726,6
6,0.02,0.02,300.0,2429.750784049555,3112.7698594340545,683.0190753844995,707.5648928612375,0.0,-24.545817476737966,0.03469055308479206,707.5648907613527,707.5648928612375,4.950635815865521e-11,2.967762839863171e-09,87.74260477575076,3.470799581031031,6
7,0.02,0.02,300.0,3112.769859426938,3767.7144329191215,654.9445734921833,685.0454263003478,0.0,-30.100852808164518,0.04393993690422401,685.0454241006364,685.0454263003478,4.8315775072423344e-11,3.21104455936454e-09,87.11607388755847,3.4845960044786812,6
8,0.02,0.02,300.0,3767.714432910344,4411.2650874093815,643.5506544990376,678.7163741245987,0.0,-35.16571962556111,0.05181209849389222,678.7163721358914,678.7163741245987,4.7436971940442967e-11,2.9301005984288145e-09,86.81981804823391,3.499740478330455,6
9,0.02,0.02,300.0,4411.265087400236,5032.582872395884,621.3177849956483,661.3956506513589,0.0,-40.07786565571064,0.06059590143394647,661.3956489913808,661.3956506513589,4.597326387556721e-11,2.5098110686096505e-09,85.2232235872849,3.45761911780245,6
10,0.02,0.02,300.0,5032.582872386085,5582.628478207223,550.0456058211385,594.8057106078105,0.0,-44.76010478667206,0.07525163929736539,594.8057089462695,594.8057106078105,4.504196180786258e-11,2.7934179986189982e-09,78.33546195696489,3.2105173114164614,6
11,0.02,0.02,300.0,5582.628478196248,6108.724885657431,526.0964074611829,574.858876429696,0.0,-48.762468968513076,0.08482511268046257,574.8588750306563,574.858876429696,4.4978213878876834e-11,2.433709764905817e-09,75.18243891043102,3.0931182644712845,6
12,0.02,0.02,300.0,6108.724885647879,6574.933547972643,466.2086623247642,518.8468062205312,0.0,-52.63814389576703,0.10145218832356781,518.8468046462647,518.8468062205312,4.249904861836466e-11,3.0341644766008046e-09,68.81961346976672,2.851183120021843,6
13,0.02,0.02,300.0,6574.933547965606,6982.950187451713,408.0166394861071,464.0109921187034,0.0,-55.9943526325963,0.12067462535084042,464.01098995157247,464.0109921187034,4.176718734657194e-11,4.670430216203193e-09,62.0624764153114,2.589169642695403,6
14,0.02,0.02,300.0,6982.950187448267,7326.140718794464,343.19053134619753,402.07489520231934,0.0,-58.88436385612181,0.14645123224242063,402.07489330316844,402.07489520231934,3.789334122947665e-11,4.723375980393999e-09,54.41725982684624,2.289524054535396,6
15,0.02,0.02,300.0,7326.140718792866,7626.351802803562,300.21108401069614,361.4665121335672,0.0,-61.25542812287108,0.1694636323605997,361.4665104811588,361.4665121335672,3.6637867810887783e-11,4.571401069987962e-09,48.74576927176451,2.05969288272949,6
16,0.02,0.02,300.0,7626.351802803477,7898.132177589278,271.78037478580154,335.0832239637802,0.0,-63.30284917797866,0.18891679633839617,335.0832224763405,335.0832239637802,3.724532973595895e-11,4.439015735421907e-09,44.81832822313777,1.8937889276924251,6
17,0.02,0.02,300.0,7898.132177589872,8102.238422879589,204.10624528971675,269.2360177724309,0.0,-65.12977248271415,0.24190586765313268,269.2360165499832,269.2360177724309,4.7980541470801595e-11,4.540431437062324e-09,37.198034446531636,1.5908566464294283,5
18,0.02,0.02,300.0,8102.2384228119645,8274.677573796558,172.43915098459365,238.8679066977636,0.0,-66.42875571316995,0.2780982871726731,238.86790559364744,238.8679066977636,4.6810228575292394e-11,4.622287610213401e-09,32.6228997217475,1.3998300346229477,5
19,0.02,0.02,300.0,8274.677573772567,8434.588626755682,159.91105298311413,227.388368752971,0.0,-67.47731576985686,0.2967491967153453,227.38836762440127,227.388368752971,4.867492608154038e-11,4.9631813949885555e-09,30.40784982086415,1.2975634511542564,5
20,0.02,0.02,300.0,8434.588626753355,8572.639531381064,138.05090462770931,206.4684786511206,0.0,-68.41757402341128,0.3313705533667424,206.46847754492364,206.4684786511206,4.892505038273962e-11,5.357703774458401e-09,27.689825739636806,1.179282954334033,5
21,0.02,0.02,300.0,8572.639531376717,8671.609224749813,98.96969337309565,168.1771472254817,0.0,-69.20745385238604,0.41151520877921,168.17714625595957,168.1771472254817,4.959321095235546e-11,5.764886225452616e-09,23.185727573537253,0.9963942249974651,5
22,0.02,0.02,300.0,8671.609224722797,8735.206718985435,63.597494262638065,133.29583918479412,0.0,-69.69834492215605,0.5228846252697359,133.29583794709177,133.29583918479412,4.330940179689366e-11,9.285378726512803e-09,18.73335411079536,0.8155255294558603,5
23,0.02,0.02,300.0,8735.20671894841,8796.169234107801,60.96251515939184,130.83098314622356,0.0,-69.86846798683172,0.5340360999102411,130.8309813240974,130.83098314622356,4.6490477764346606e-11,1.3927329151617238e-08,17.56731105959164,0.7571465546452725,5
24,0.02,0.02,300.0,8796.169234101886,8825.220336879931,29.05110277804488,99.1005958097414,0.0,-70.04949303169653,0.7068523903345775,99.10059352724485,99.1005958097414,4.879253239780517e-11,2.3032117355121708e-08,13.946298856055058,0.6095366933643143,5
25,0.02,0.02,300.0,8825.220336843093,8836.058560550478,10.838223707385623,80.76916920376311,0.0,-69.93094549637749,0.865812366101685,80.76916879718439,80.76916920376311,4.8864695790528785e-11,5.033835619717292e-09,11.372430632900562,0.5014433286450611,5
26,0.02,0.02,300.0,8836.058560514935,8821.901318663166,-14.157241851769868,55.53629971459553,0.0,-69.6935415663654,1.2549187094661476,55.536300426443375,55.53629971459553,4.1547416239950706e-11,1.2817703753765821e-08,8.221894347662031,0.37266834909634183,6
27,0.02,0.02,300.0,8821.901318660579,8794.642097462141,-27.259221198437444,41.95411399557295,0.0,-69.2133351940104,1.6497389314743691,41.95411576769498,41.95411399557295,3.959737996811629e-11,4.22395274834025e-08,6.19041320501978,0.28594556839227614,6
28,0.02,0.02,300.0,8794.642097461016,8781.071445900034,-13.570651560981787,55.08647363539111,0.0,-68.6571251963729,1.2463517931970713,55.086475838714314,55.08647363539111,4.842247338951065e-11,3.9997534278901495e-08,7.083942892347149,0.3092901365974283,5
29,0.02,0.02,300.0,8781.071445864487,8749.348653994708,-31.72279186977903,36.488396107503284,0.0,-68.21118797728232,1.8693939787409763,36.488398284977876,36.488396107503284,4.101751255030276e-11,5.967580639579194e-08,5.229942900848902,0.2333918289450792,6
