step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.02,0.02,300.0,0.0,248.1420566014973,248.1420566014973,248.1420581855598,0.0,-1.584062488291238e-06,6.383692066851003e-09,248.1420566014973,248.1420581855598,4.921580154309017e-11,6.383692066851003e-09,11.961802320362246,0.4373736641134516,5
2,0.02,0.02,300.0,248.142056599634,648.1096719069312,399.96761530729725,403.76156460459345,0.0,-3.7939492972961943,0.009396509301254654,403.7615620105928,403.76156460459345,4.858664493221249e-11,6.424585387665402e-09,21.706992972343876,0.8080775296143897,5
3,0.02,0.02,300.0,648.1096718998695,1167.088216007788,518.9785441079187,527.3465377876311,0.0,-8.367993679712413,0.015868111535952297,527.3465349020079,527.3465377876311,4.9894880228556124e-11,5.471967638949505e-09,29.901817036099107,1.1306539262130482,5
4,0.02,0.02,300.0,1167.0882159935047,1785.8396526955628,618.7514367020581,632.2606940982301,0.0,-13.509257396172075,0.021366593752027912,632.2606916407668,632.2606940982301,4.336912435869106e-11,3.886788072276274e-09,36.9651946463761,1.4159127513645553,6
5,0.02,0.02,300.0,1785.8396526921492,2429.6623174760734,643.8226647839242,662.9733440766637,0.0,-19.150679292739483,0.028886047174959982,662.9733417957866,662.9733440766637,4.361153099381519e-11,3.4403752489109884e-09,40.15918968992504,1.560347288402263,6
6,0.02,0.02,300.0,2429.6623174722586,3112.675455054589,683.0131375823303,707.552497230804,0.0,-24.539359648473692,0.03468203383425971,707.5524948573986,707.552497230804,4.49154081112467e-11,3.3543875998329336e-09,43.31819993480092,1.699698760263808,6
7,0.02,0.02,300.0,3112.6754550509568,3767.6222171785703,654.9467621276135,685.0405855880153,0.0,-30.093823460401836,0.043929986184059924,685.0405828503435,685.0405855880153,4.633050685773858e-11,3.996364417512827e-09,43.02183279135488,1.7087655503962036,6
8,0.02,0.02,300.0,3767.622217174537,4411.179143264909,643.5569260903717,678.7154325458309,0.0,-35.158506455459246,0.05180154269305661,678.7154300909373,678.7154325458309,4.605472908254161e-11,3.616970446051156e-09,42.878277163765766,1.717263213478533,6
9,0.02,0.02,300.0,4411.179143261288,5032.50704571883,621.3279024575422,661.398553324866,0.0,-40.07065086732382,0.06058472711482013,661.398551353465,661.398553324866,4.357319842158351e-11,2.9806552158752e-09,42.09320096264144,1.6976024835442174,6
10,0.02,0.02,300.0,5032.507045714703,5582.568940088565,550.0618943738618,594.8148767427801,0.0,-44.75298236891831,0.07523850548928208,594.8148748264699,594.8148767427801,4.0966253942909704e-11,3.2216918239559517e-09,38.700912981241075,1.578117172255881,6
11,0.02,0.02,300.0,5582.5689400802175,6108.682030270893,526.1130901906754,574.8688140368737,0.0,-48.75572384619829,0.08481191300641848,574.8688123791644,574.8688140368737,4.1831636997135106e-11,2.883630553680238e-09,37.13997852137819,1.520531269866299,6
12,0.02,0.02,300.0,6108.682030264645,6574.910484445207,466.22845418056204,518.8602093590546,0.0,-52.63175517849254,0.10143725463840884,518.8602071713892,518.8602093590546,4.2542497748093005e-11,4.216290475984657e-09,34.00216348978394,1.4027040849138337,6
13,0.02,0.02,300.0,6574.910484440052,6982.94852214139,408.038037701338,464.02645135758155,0.0,-55.98841365624355,0.12065780623591767,464.0264490938779,464.02645135758155,3.948872990584035e-11,4.8783935851219156e-09,30.666393418417904,1.2746068460426017,6
14,0.02,0.02,300.0,6982.94852213972,7326.161733190966,343.2132110512457,402.09210705811074,0.0,-58.878896006865034,0.14643136478765995,402.09210510444245,402.09210705811074,3.7339000716335956e-11,4.858758115828291e-09,26.892171168280207,1.1279843225999975,6
15,0.02,0.02,300.0,7326.161733191925,7626.394527116958,300.23279392503264,361.48327424989253,0.0,-61.25048032485989,0.16944208677969863,361.4832725380542,361.48327424989253,3.6759900522373874e-11,4.735594785098214e-09,24.088312462059488,1.0149501658626234,6
16,0.02,0.02,300.0,7626.394527119946,7898.19493256175,271.8004054418034,335.0988246935525,0.0,-63.298419251749124,0.18889478144137167,335.09882314187416,335.0988246935525,4.789806243477774e-11,4.630509639172542e-09,22.145412564601596,0.9330765311784319,5
17,0.02,0.02,300.0,7898.194932524866,8102.322701372468,204.12776884760206,269.2535152862706,0.0,-65.12574643866856,0.24187519471909882,269.2535141139734,269.2535152862706,4.537091460353368e-11,4.353879021733727e-09,18.386710143296686,0.7849662511037946,5
18,0.02,0.02,300.0,8102.322701308751,8274.781269669262,172.45856836051098,238.8837360710303,0.0,-66.42516771051933,0.2780648394194919,238.8837350167193,238.8837360710303,4.2610357922460867e-11,4.413490139364702e-09,16.123101883562967,0.6906803740052173,5
19,0.02,0.02,300.0,8274.781269655077,8434.709038610217,159.92776895513998,227.401919728908,0.0,-67.47415077376803,0.2967175952349294,227.4019186555161,227.401919728908,4.900108625945878e-11,4.720241153144636e-09,15.02480627694431,0.6397637308156354,5
20,0.02,0.02,300.0,8434.70903860468,8572.775535449291,138.0664968446108,206.4812642421919,0.0,-68.4147673975811,0.331336441825221,206.48126317247096,206.4812642421919,4.9220428235166395e-11,5.1807167867963355e-09,13.682280871174111,0.5814748116052003,5
21,0.02,0.02,300.0,8572.77553544726,8671.760966320982,98.98543087372309,168.19035126053512,0.0,-69.20492038681203,0.41146783907722634,168.19035030901603,168.19035126053512,4.6112589504710647e-11,5.657394083838927e-09,11.460201372092412,0.4918840131537968,5
22,0.02,0.02,300.0,8671.760966303653,8735.373570024301,63.61260372064862,133.30864759234558,0.0,-69.69604387169696,0.5228171249987148,133.3086463128603,133.30864759234558,4.762495753713925e-11,9.597916550587818e-09,9.261370108006545,0.40305913351525596,5
23,0.02,0.02,300.0,8735.373569996873,8796.348298192406,60.97472819553332,130.84116027458566,0.0,-69.86643207905234,0.5339790011983184,130.84115836492728,130.84116027458566,4.394124053578366e-11,1.4595241863226652e-08,8.68051029555821,0.3736438436133438,5
24,0.02,0.02,300.0,8796.348298187668,8825.411786494966,29.06348830729803,99.11110076762651,0.0,-70.04761246032848,0.7067584954440211,99.11109829815659,99.11110076762651,4.8194387012128855e-11,2.4916178915310917e-08,6.894837721642088,0.3013636676602095,5
25,0.02,0.02,300.0,8825.41178646022,8836.26113686712,10.849350406901067,80.7785762869364,0.0,-69.92922588003533,0.8656902497468796,80.77857571209753,80.7785762869364,4.467134657386968e-11,7.116229214871461e-09,5.622352575968168,0.24804676949622168,5
26,0.02,0.02,300.0,8836.261136833284,8822.114502844406,-14.146633988877511,55.545291995918355,0.0,-69.69192598479586,1.2546864636145407,55.545292629275444,55.545291995918355,4.415270268245636e-11,1.140253403053311e-08,4.066881492096723,0.18479856555994353,5
27,0.02,0.02,300.0,8822.114502804629,8794.8644755758,-27.250027228828912,41.961804039447394,0.0,-69.21183126827631,1.6494007551060423,41.9618057978232,41.961804039447394,3.654379465656157e-11,4.1904197781049394e-08,3.0618857831441364,0.14191430807871458,6
28,0.02,0.02,300.0,8794.864475572143,8781.300257682684,-13.564217889459542,55.091537975463325,0.0,-68.65575586492287,1.2462123655996094,55.091540344316286,55.091537975463325,4.900464866676703e-11,4.299848844475701e-08,3.4985830949465404,0.15261878702890186,5
29,0.02,0.02,300.0,8781.300257648689,8749.584408907738,-31.715848740950605,36.49402286205865,0.0,-68.20987160300925,1.8690696791864039,36.49402517909641,36.49402286205865,3.9762182538357706e-11,6.349087967922432e-08,2.5861049217177112,0.11559751963372107,6
30,0.02,0.02,300.0,8749.584408903915,8739.50322873317,-10.081180170744119,57.545318477352716,0.0,-67.62649864809683,1.1751867995084886,57.5453206713839,57.545318477352716,4.5855349350559745e-11,3.8127012881570085e-08,3.4968563051012858,0.14574769868659548,5
31,0.02,0.02,300.0,8739.503228695925,8711.616520378682,-27.886708317242665,39.30158868063609,0.0,-67.18829699787875,1.7095567699272793,39.30159093525984,39.30158868063609,3.867661313478296e-11,5.736723878201868e-08,2.6975764009991003,0.11481957924712856,6
32,0.02,0.02,300.0,8711.616520374597,8654.19071790664,-57.4258024679566,9.193743479610434,0.0,-66.61954594756703,1.160097779821893,9.19374362467547,9.193743479610434,3.697431307507695e-11,1.5778668784075508e-08,1.0537910118263136,0.05433781483175176,6
33,0.02,0.02,300.0,8654.190717911106,8607.444901945479,-46.745815965627116,19.10166412655833,0.0,-65.84748009218545,1.4086283174649057,19.10166562829196,19.10166412655833,3.886789148068085e-11,7.861794153940278e-08,1.2568415262356099,0.05728057297261151,6
34,0.02,0.02,300.0,8607.444901944998,8554.435722246555,-53.009179698443404,12.110538255737467,0.0,-65.11971795418087,1.2284611519105075,12.110540212381435,12.110538255737467,3.678514485555987e-11,1.6156537481502395e-07,0.8883128083879749,0.04170874941565593,6
35,0.02,0.02,300.0,8554.435722248869,8490.19393827538,-64.24178397348805,0.12881454822412972,0.0,-64.37059852171218,1.0020051521028321,0.12881385978099869,0.12881454822412972,3.6724602940549397e-11,5.344451698364907e-06,0.2654992689133441,0.025745247289903864,6
36,0.02,0.02,300.0,8490.193938285032,8461.02775143334,-29.166186851693055,34.37102355508219,0.0,-63.537210406775245,1.8485690513391901,34.37102515049102,34.37102355508219,3.720319465254967e-11,4.641726063201217e-08,1.8265001128686584,0.07233952467149998,6
37,0.02,0.02,300.0,8461.027751431226,8415.245574507526,-45.78217692369981,17.1761351568005,0.0,-62.958312080500306,1.3751707828447324,17.176137778495676,17.1761351568005,4.270775468668682e-11,1.5263589586935016e-07,1.1990007025924099,0.0493826256416727,6
38,0.02,0.02,300.0,8415.245574514636,8377.74184666966,-37.50372784497631,24.74484337445323,0.0,-62.248571219429536,1.6597969001038344,24.74484527289858,24.74484337445323,3.825295131177597e-11,7.672084146043427e-08,1.5150415699105326,0.060547262839732593,6
39,0.02,0.02,300.0,8377.741846673342,8305.584289585226,-72.15755708811594,-10.526979926502321,0.0,-61.630577161613616,0.8541111929046158,-10.52698134813096,-10.526979926502321,3.6799651813490926e-11,1.350461819770899e-07,0.3662112344770163,0.030207100470615224,6
