step_index,old_radius_m,new_radius_m,dt_total_s,sensible_energy_old_J,sensible_energy_new_J,delta_sensible_energy_J,conductive_boundary_heat_J,latent_heat_J,residual_J,relative_residual,linear_storage_delta_last_J,linear_boundary_heat_last_J,linear_solver_relative_residual_last,linear_storage_boundary_balance_relative_last,internal_radial_flux_abs_last_W,internal_axial_flux_abs_last_W,picard_calls
1,0.019753705501618122,0.019753705501618122,300.0,0.0,227.31629990056865,227.31629990056865,227.31630177582025,0.0,-1.8752515984488127e-06,8.249525369712329e-09,227.31629990056865,227.31630177582025,4.758820156944789e-11,8.249525369712329e-09,13.09083930816291,0.4471934994108136,5
2,0.019753705501618122,0.019519190938511326,300.0,227.31629989350228,581.2278103327747,353.9115104392724,361.93708702651867,0.0,-8.025576587246292,0.022173954742190506,361.9370842292197,361.93708702651867,4.0812362626652476e-11,7.72868842634079e-09,23.989570610409466,0.7999805812104119,6
3,0.019519190938511326,0.01929800970873786,300.0,581.2278103334262,1028.6737200430964,447.4459097096702,465.9226186125638,0.0,-18.476708902893563,0.0396561750058711,465.92261637005873,465.9226186125638,4.2948050777888626e-11,4.813041818213806e-09,33.31896539867414,1.0895136747636265,6
4,0.01929800970873786,0.019091715210355985,300.0,1028.6737200439557,1551.4122643300384,522.7385442860827,552.7401726958922,0.0,-30.001628409809427,0.054277995144593534,552.7401707120052,552.7401726958922,4.1170728801638864e-11,3.589185353383071e-09,41.426389577493886,1.3323292923810222,6
5,0.019091715210355985,0.018901860841423947,300.0,1551.4122643264425,2084.3597498329864,532.9474855065439,574.5780502522742,0.0,-41.63056474573034,0.07245415088072373,574.5780482621377,574.5780502522742,4.7353550280625415e-11,3.463648714105888e-09,45.340088094501546,1.4369153746281855,6
6,0.018901860841423947,0.01873,300.0,2084.359749828366,2643.18165035366,558.821900525294,609.9210315195318,0.0,-51.099130994237726,0.08377991306010794,609.9210296687656,609.9210315195318,4.306103927846642e-11,3.0344356557657007e-09,49.08004057128727,1.5367461797427513,6
7,0.01873,0.018578318897138145,300.0,2643.1816503473888,3172.8582779442863,529.6766275968976,588.1263854995098,0.0,-58.44975790261219,0.09938298866317555,588.1263834037118,588.1263854995098,4.721973534159545e-11,3.563516334338441e-09,49.06444680924801,1.52021687726675,6
8,0.018578318897138145,0.018443526619709376,300.0,3172.858277940538,3690.6919163617154,517.8336384211775,581.587818269229,0.0,-63.754179848051535,0.10962089962231363,581.587816327212,581.587818269229,4.6300077861795514e-11,3.339163978183934e-09,49.07997769607102,1.5075116475291854,6
9,0.018443526619709376,0.018318960879497432,300.0,3690.6919163591783,4186.9983122550775,496.3063958958992,565.8444231844387,0.0,-69.53802728853952,0.12289248500002163,565.8444211957744,565.8444231844387,4.8429007855312214e-11,3.5145071664213467e-09,48.319943225836624,1.4720782956435954,6
10,0.018318960879497432,0.01819795938828606,300.0,4186.998312254259,4619.137395434918,432.1390831806593,508.9468467076952,0.0,-76.80776352703589,0.1509150985488846,508.94684434441547,508.9468467076952,4.3073133252015746e-11,4.6434706555005915e-09,44.75800468247304,1.3530454919273338,6
