question,scenario,status,delta_final_max_C,delta_final_mean_C,delta_event_time_s,max_physical_heat_balance_relative,water_balance_max_abs_kg_s,component_mode,bound_fraction,release_tau_s
Q2,nominal_proxy,PASS,0.7703687954993896,0.43190428106048984,,0.0004892659971086201,4.507418743804337e-14,liquid_surface,0.0,0.0
Q2,component_bound_low,PASS,0.7703687954993896,0.43190428106048984,,0.0004892659971086201,4.507418743804337e-14,liquid_gas_bound,0.0,21600.0
Q2,component_bound_nominal,PASS,0.7630331632877339,0.41398234411611945,,0.0003987952416756801,4.723363186849832e-14,liquid_gas_bound,0.1,7200.0
Q2,component_bound_high,PASS,0.7655690519727536,0.41804568172851386,,0.00032697486341048753,4.4421994091514184e-14,liquid_gas_bound,0.2,1800.0
Q3,nominal_proxy,PASS,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,0.0022665870426927578,2.28699539503701e-14,liquid_surface,0.0,0.0
Q3,component_bound_low,PASS,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,0.0022665870426927578,2.28699539503701e-14,liquid_gas_bound,0.0,21600.0
Q3,component_bound_nominal,PASS,-5.653247061135347e-05,-0.00023025001563607705,27360.0,0.001876605792828409,2.0096375057771995e-14,liquid_gas_bound,0.1,7200.0
Q3,component_bound_high,PASS,-9.3650795689737e-06,-0.00019722735273948466,27540.0,0.0016087374431914265,2.104488594023915e-14,liquid_gas_bound,0.2,1800.0
Q4,nominal_proxy,PASS,-9.103448797076474e-05,-0.0005169962668389178,59820.0,0.0059300923179213,1.5600518991324037e-14,liquid_surface,0.0,0.0
Q4,component_bound_low,PASS,-9.103448797076474e-05,-0.0005169962668389178,59820.0,0.0059300923179213,1.5600518991324037e-14,liquid_gas_bound,0.0,21600.0
Q4,component_bound_nominal,PASS,-3.5819979043727468e-06,-0.0004605529914804146,59400.0,0.005189289748504049,1.7015192762246702e-14,liquid_gas_bound,0.1,7200.0
Q4,component_bound_high,PASS,-5.868145664011948e-05,-0.0004962658517999458,59580.0,0.004634000564949645,1.1495810034423907e-14,liquid_gas_bound,0.2,1800.0
