scenario,question,level,time_s,sensible_inventory_change_J,fixed_volume_sensible_change_J,geometry_heat_term_J,geometry_reference_temperature_K,surface_convection_in_W,surface_latent_out_W,moisture_enthalpy_correction_J,linear_solver_relative_residual,physical_heat_balance_residual_J,physical_heat_balance_relative
no_latent,Q2,L,120.0,48.018482783050636,48.018482783050636,0.0,301.15,0.4001546549768274,0.0,0.0,2.1890436928160845e-11,-7.581416865320989e-05,1.5788514038736726e-06
no_latent,Q2,L,240.0,76.23693348103905,76.23693348103905,0.0,301.24165543027993,0.6353078408329097,0.0,0.4275344007464148,3.693144336287345e-11,-7.418910115575272e-06,9.731384848339605e-08
no_latent,Q2,L,360.0,118.39810867607753,118.39810867607753,0.0,301.38852704304463,0.9866502433829751,0.0,0.9202812159445333,1.58916668986098e-11,7.947012051090496e-05,6.712110640916174e-07
no_latent,Q2,L,480.0,139.17712568837064,139.17712568837064,0.0,301.61808934244124,1.1598075127273408,0.0,1.6053452400591222,1.9138824938767562e-11,0.00022416108973288829,1.6106173239617258e-06
no_latent,Q2,L,600.0,168.75057061540065,168.75057061540065,0.0,301.88999591546894,1.4062527896794608,0.0,2.283107221232775,2.71127518865145e-11,0.00023585386534819008,1.3976478093560023e-06
no_latent,Q2,L,720.0,195.05715714633678,195.05715714633678,0.0,302.2217067313857,1.6254737309847918,0.0,3.0558848287406595,1.1370673099702166e-11,0.00030942816175638654,1.5863461063581778e-06
no_latent,Q2,L,840.0,211.49405277365014,211.49405277365014,0.0,302.60750323264887,1.7624463627415425,0.0,3.89245345349864,1.4656665211250172e-11,0.000489244665033084,2.313278593969232e-06
no_latent,Q2,L,960.0,229.87604868113067,229.87604868113067,0.0,303.02859448608643,1.9156296469420875,0.0,4.73400978624222,1.9848855288663328e-11,0.0004910480801640915,2.136142860386651e-06
no_latent,Q2,L,1080.0,247.837431866021,247.837431866021,0.0,303.4891088232425,2.0653077796736725,0.0,5.611041483680231,2.3523550052423667e-11,0.0004983051803151284,2.0106130723001854e-06
no_latent,Q2,L,1200.0,257.89256844289474,257.89256844289474,0.0,303.9885840001061,2.14909883055414,0.0,6.527217894627954,2.8236912570313967e-11,0.0007087763979143347,2.7483397532305366e-06
no_latent,Q2,L,1320.0,270.1499595213793,270.1499595213793,0.0,304.5117052358938,2.2512441269731975,0.0,7.441061794121481,3.242660516904037e-11,0.0006642845955866505,2.458947603633011e-06
no_latent,Q2,L,1440.0,273.6770689021366,273.6770689021366,0.0,305.0630325305422,2.2806343961703073,0.0,8.376660817468595,2.3443635607530572e-11,0.0009413616997449026,3.439680582378355e-06
no_latent,Q2,L,1560.0,273.7209175026704,273.7209175026704,0.0,305.625358640731,2.2809984826849843,0.0,9.29078765718794,2.4341027095521145e-11,0.0010995804722711,4.017159091469042e-06
no_latent,Q2,L,1680.0,272.2970889093641,272.2970889093641,0.0,306.1917323501808,2.269132710058457,0.0,10.177778427836852,2.4847449391389255e-11,0.0011637023492880871,4.2736496153854704e-06
no_latent,Q2,L,1800.0,284.25823651177313,284.25823651177313,0.0,306.75917111055645,2.368813751603465,0.0,11.039776390925624,2.809112006897035e-11,0.0005863193573532044,2.0626292646718816e-06
