scenario,question,level,time_s,proxy_scale,L_v_J_per_kg,j_w_outer_max_kg_m2_s,raw_boundary_loss_rate_kg_s,proxy_boundary_loss_rate_kg_s,latent_power_W,boundary_latent_heat_flux_max_W_m2,component_mode,bound_fraction,release_tau_s,free_flux_factor,total_water_kg,bound_water_kg,liquid_water_kg,phase_split_residual_kg,moisture_predictor_relative_residual,source_definition
no_latent,Q2,L,120.0,0.0,2400000.0,0.0011507785550210832,1.934280750795052e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.25803835426530713,0.0,0.25803835426530713,0.0,1.9663612281684128e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,240.0,0.0,2400000.0,0.0010950364705310087,1.842394425286474e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.25582762798726005,0.0,0.25582762798726005,0.0,1.7885105173176803e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,360.0,0.0,2400000.0,0.0010522570162029374,1.7712080720691578e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.25370149167074024,0.0,0.25370149167074024,0.0,4.411024432862013e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,480.0,0.0,2400000.0,0.0010182236190096972,1.7140952958622555e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2516425322580648,0.0,0.2516425322580648,0.0,2.5863169219144684e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,600.0,0.0,2400000.0,0.0009898197979421228,1.6659969331497093e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2496410512477813,0.0,0.2496410512477813,0.0,1.1139301008895853e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,720.0,0.0,2400000.0,0.0009658881068459322,1.625144265278805e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2476878664720894,0.0,0.2476878664720894,0.0,7.61703525106798e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,840.0,0.0,2400000.0,0.0009450854471708116,1.589362185212953e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2457771392126566,0.0,0.2457771392126566,0.0,1.3462435719683886e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,960.0,0.0,2400000.0,0.0009268421962127533,1.5577334971795866e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.24390427924872174,0.0,0.24390427924872174,0.0,1.808625676248139e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1080.0,0.0,2400000.0,0.000910511902707775,1.529226193254299e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.24206536177181395,0.0,0.24206536177181395,0.0,2.214925116126965e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1200.0,0.0,2400000.0,0.0008959567814056275,1.5036426552510416e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2402569008368992,0.0,0.2402569008368992,0.0,2.616549591340625e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1320.0,0.0,2400000.0,0.0008828763956166435,1.48049075512257e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2384762665577352,0.0,0.2384762665577352,0.0,2.9926938427601037e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1440.0,0.0,2400000.0,0.0008709421992915096,1.459249435713438e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.236720994264335,0.0,0.236720994264335,0.0,3.41951740237e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1560.0,0.0,2400000.0,0.0008599549557646285,1.4395902670282905e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.23498948900091746,0.0,0.23498948900091746,0.0,3.856740717369302e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1680.0,0.0,2400000.0,0.0008497679805923631,1.4212854832281633e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.23328013448453064,0.0,0.23328013448453064,0.0,4.3429579050301074e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1800.0,0.0,2400000.0,0.0008402326838511131,1.4041052570918474e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.23159155173672336,0.0,0.23159155173672336,0.0,4.919002061623518e-11,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,1920.0,0.0,2400000.0,0.0008315154445185753,1.3883659421069004e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2299215308027047,0.0,0.2299215308027047,0.0,6.16282762284911e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,2040.0,0.0,2400000.0,0.0008232887946376406,1.3734916308098522e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.22826978609487208,0.0,0.22826978609487208,0.0,6.539600606993425e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,2160.0,0.0,2400000.0,0.0008155610649804803,1.3595255604765526e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.22663476996018544,0.0,0.22663476996018544,0.0,5.66162171274661e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,2280.0,0.0,2400000.0,0.0008081046799777527,1.3460781927387888e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.225016202586541,0.0,0.225016202586541,0.0,4.888712868884316e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,2400.0,0.0,2400000.0,0.000801242327717364,1.3337134352371442e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.22341247559470634,0.0,0.22341247559470634,0.0,6.235548610376482e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
no_latent,Q2,L,2520.0,0.0,2400000.0,0.0007946210333365031,1.3218409029066056e-05,0.0,0.0,0.0,single_field,0.0,0.0,1.0,0.2218230188529778,0.0,0.2218230188529778,0.0,9.754132589200687e-12,q_lat=Lv*proxy_scale*j_w; j_w from existing mass Robin boundary flux
