scenario,question,axis,space_level,time_level,nr,nz,dt_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,temperature_range_C,max_physical_heat_balance_relative,water_balance_max_abs_kg_s
no_latent,Q2,space,L,M,8,8,120.0,1.747467002968668,1.3317969571077535,,,22.716743534518002,9.069040861842126e-06,3.501694173881943e-14
no_latent,Q2,space,M,M,12,12,120.0,1.7521286817753359,1.3289469129341325,,,22.719344785421583,1.3030436366467946e-05,3.2564808461572545e-14
no_latent,Q2,space,H,M,18,18,120.0,1.7542889589164772,1.3276096402772173,,,22.72053744747359,1.4327095345434415e-05,3.6017357106228436e-14
no_latent,Q3,space,L,M,8,8,300.0,0.14992704178577806,0.12385711894245327,221460.0,221421.80744961643,22.842651357761326,4.67749136818231e-05,2.274024779515705e-14
no_latent,Q3,space,M,M,12,12,300.0,0.14998767519012757,0.12293712186947013,213000.0,212959.23122233478,22.844686212981742,4.4263758131546974e-05,1.3638277383517042e-14
no_latent,Q3,space,H,M,18,18,300.0,0.14996303530515817,0.12227334112784088,209880.0,209873.75777823443,22.845635082157855,4.3192491321976446e-05,1.4158657156860405e-14
no_latent,Q4,space,L,M,8,8,300.0,0.14998392270181696,0.1176974131851493,189600.0,189569.09284688224,22.458760950641647,7.759287132030505e-05,2.509453182633712e-14
no_latent,Q4,space,M,M,12,12,300.0,0.14995157868849326,0.11697932131519771,186540.0,186505.58574063616,22.460187436557135,5.861615565849506e-05,2.138733289048459e-14
no_latent,Q4,space,H,M,18,18,300.0,0.14993357109210512,0.1165772630529344,185280.0,185271.21771387104,22.46087546086534,4.714537015859898e-05,1.576305783763856e-14
nominal_proxy,Q2,space,L,M,8,8,120.0,2.5151222314000705,1.769579345601608,,,34.00651660435847,0.0007550166743735508,2.633526229934343e-14
nominal_proxy,Q2,space,M,M,12,12,120.0,2.5224974772747255,1.7608511939946223,,,34.12737995178247,0.0004892659971086201,4.507418743804337e-14
nominal_proxy,Q2,space,H,M,18,18,120.0,2.5259726648319147,1.7560750573002926,,,34.14174762841333,0.00030361867168531297,2.979106524458267e-14
nominal_proxy,Q3,space,L,M,8,8,300.0,0.14993118134826885,0.12368794365709047,249960.0,249936.57649474245,52.59954294190641,0.002842535189290242,2.2631917363400908e-14
nominal_proxy,Q3,space,M,M,12,12,300.0,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,0.0022665870426927578,2.28699539503701e-14
nominal_proxy,Q3,space,H,M,18,18,300.0,0.14992014892534414,0.12204494630703082,237360.0,237321.48444589484,52.51944107514032,0.0018821532523363932,1.9371728207000574e-14
nominal_proxy,Q4,space,L,M,8,8,300.0,0.149894469787525,0.11721186117287431,250920.0,250882.17480295536,47.91127754250516,0.0060283438396106885,1.4759798980625623e-14
nominal_proxy,Q4,space,M,M,12,12,300.0,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,0.0059300923179213,1.5600518991324037e-14
nominal_proxy,Q4,space,H,M,18,18,300.0,0.14988094348927986,0.11607113731625013,244320.0,244264.1064798287,47.50952912820719,0.0054356729310050525,1.7071725435212348e-14
no_latent,Q2,time,M,L,12,12,240.0,1.7547940828577406,1.331273336841561,,,22.68046019334554,4.187289046740132e-05,2.546449040670938e-14
no_latent,Q2,time,M,M,12,12,120.0,1.7521286817753359,1.3289469129341325,,,22.719344785421583,1.3030436366467946e-05,3.2564808461572545e-14
no_latent,Q2,time,M,H,12,12,60.0,1.7504842279196013,1.3277066392823111,,,22.765050527959716,7.929992577114682e-06,6.540542779143003e-14
no_latent,Q2,time,M,X,12,12,30.0,1.7498081372615863,1.32713152591008,,,22.769028073098752,1.2791932743061452e-06,1.0656904198891922e-13
no_latent,Q3,time,M,L,12,12,600.0,0.14991639229372683,0.12288761558786238,213960.0,213901.95203419938,22.81116767923919,0.00020025783208503826,1.1023920356212011e-14
no_latent,Q3,time,M,M,12,12,300.0,0.14998767519012757,0.12293712186947013,213000.0,212959.23122233478,22.844686212981742,4.4263758131546974e-05,1.3638277383517042e-14
no_latent,Q3,time,M,H,12,12,150.0,0.14998141197009976,0.12293210418002258,212520.0,212486.67010729018,22.843755946087242,1.0212204795355124e-05,4.6064590876015825e-14
no_latent,Q3,time,M,X,12,12,75.0,0.14997822966456456,0.12292957881292874,212280.0,212250.2032159675,22.815156254337467,7.820419662518674e-06,6.808553151610094e-14
no_latent,Q4,time,M,L,12,12,600.0,0.14970730654209025,0.11681818358925129,187260.0,187215.77504432233,22.424477545305592,0.00026999282229298906,1.0008271948279586e-14
no_latent,Q4,time,M,M,12,12,300.0,0.14995157868849326,0.11697932131519771,186540.0,186505.58574063616,22.460187436557135,5.861615565849506e-05,2.138733289048459e-14
no_latent,Q4,time,M,H,12,12,150.0,0.1499989132945124,0.11701021502013483,186180.0,186149.82756822318,22.460883049251606,1.3625850109876287e-05,3.3705892284597964e-14
no_latent,Q4,time,M,X,12,12,75.0,0.14998502665269708,0.11700072582624588,186000.0,185972.201213128,22.433270103281984,3.100209200426901e-06,1.146195463574192e-13
nominal_proxy,Q2,time,M,L,12,12,240.0,2.5204805920321354,1.761572523513864,,,33.81535620685253,0.0015893992610515532,1.8162868195667654e-14
nominal_proxy,Q2,time,M,M,12,12,120.0,2.5224974772747255,1.7608511939946223,,,34.12737995178247,0.0004892659971086201,4.507418743804337e-14
nominal_proxy,Q2,time,M,H,12,12,60.0,2.523485545812577,1.7604424336271434,,,34.52751358821462,0.0001474420504662406,8.068126380747845e-14
nominal_proxy,Q2,time,M,X,12,12,30.0,2.524007696463113,1.7603038056391822,,,34.73253714137263,5.4158662195147714e-05,4.10041949735194e-14
nominal_proxy,Q3,time,M,L,12,12,600.0,0.1499565145909875,0.12272537823026046,241680.0,241646.15436192707,52.21281017653621,0.0063982867495569855,4.830413751822672e-15
nominal_proxy,Q3,time,M,M,12,12,300.0,0.14996209066826477,0.12272816362785702,240780.0,240766.36593171614,52.56022128238811,0.0022665870426927578,2.28699539503701e-14
nominal_proxy,Q3,time,M,H,12,12,150.0,0.1499651714631016,0.12272969925300238,240360.0,240327.53051963114,52.71388305885972,0.0007196742621973529,4.061805213462395e-14
nominal_proxy,Q3,time,M,X,12,12,75.0,0.14998769449555388,0.12274521841872192,240120.0,240109.09955328933,52.77625438834713,0.00021603675072335288,7.185760639944958e-14
nominal_proxy,Q4,time,M,L,12,12,600.0,0.1499480745837424,0.11652173403821749,247140.0,247097.17565146514,47.64868307487751,0.010344563573227867,4.581136190610468e-15
nominal_proxy,Q4,time,M,M,12,12,300.0,0.1498605442005225,0.1164623250483588,246360.0,246319.84026507995,47.74364314310577,0.0059300923179213,1.5600518991324037e-14
